"","Module","Mean","SD","Median","Min","Max"
"c1_2","c1_2",3.71628957115818e-16,4.36815265295247,-1.14165917169062,-4.17158458374792,21.1368756338112
"c1_3","c1_3",4.6368305370167e-17,3.89269416242912,-0.793568191905897,-3.64359255345683,16.5938027050382
"c1_4","c1_4",2.34017040718248e-16,3.92694849375447,-0.700608287197858,-3.83787409811581,18.8795301044181
