"","Module","Mean","SD","Median","Min","Max"
"c1_2","c1_2",1.68438805708371e-16,4.29255184417584,-0.877015332001878,-4.17021645309102,19.0316543224817
"c1_3","c1_3",1.56807626992395e-16,3.86909446340302,-1.11814341450528,-3.21350125025239,19.6678982973608
"c1_6","c1_6",2.51250523118936e-16,2.88873774209566,-0.621500254003201,-3.5193538203519,14.1582017328192
