"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t2","c1_4",-0.921345320214312,1.58592227250005,-5.39773955156838,7.1895603072399e-07,1.77872704943915e-06
"t","c1_2",-1.4573083300032,2.50848155164485,-5.38499225461647,8.89363524719574e-07,1.77872704943915e-06
"t3","c1_5",-0.905110353408929,1.55797683783504,-4.88478175032755,6.62378833539246e-06,8.83171778052328e-06
"t1","c1_3",-1.0596881074477,1.82405329970505,-4.62346252048321,1.77426236091394e-05,1.77426236091394e-05
