"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t","c1_2",-1.5080771443713,2.59587049440962,-5.33878768717772,1.09280790490824e-06,4.37123161963294e-06
"t2","c1_4",-0.953194470251679,1.64074457994141,-5.12023190798599,2.32917144833072e-06,4.65834289666145e-06
"t3","c1_5",-0.947309710207302,1.630615074947,-4.86630052896104,7.25558516699735e-06,9.67411355599647e-06
"t1","c1_3",-1.0374896184908,1.78584278592679,-4.75716415476381,1.07220818333812e-05,1.07220818333812e-05
