"","Module","Mean","SD","Median","Min","Max"
"c1_3","c1_3",-1.88999544612162e-16,3.18665517050942,-0.995352055946861,-3.6790596813979,13.496481848886
"c1_5","c1_5",8.36648601036683e-17,3.07939489119269,-0.729275712383958,-2.88801286173753,10.6770205949776
