classifier,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std
logreg,0.46634552455747835,0.007786679595647621,0.45474969474969473,0.017533781599446456,0.697457778220407,0.00630863884212333
rf,1.0,0.0,0.41286935286935283,0.025683736739703717,0.6501196780795062,0.02403372155502679
