from,to,distance,weight
ENSG00000206337,ENSG00000146122,0.0,1.0
ENSG00000206337,ENSG00000100055,0.0,1.0
ENSG00000206337,ENSG00000166278,0.0,1.0
ENSG00000206337,ENSG00000069535,0.0,1.0
ENSG00000206337,ENSG00000110092,0.0,1.0
ENSG00000206337,ENSG00000128262,2.4410292666643187e-06,0.6997703785746436
ENSG00000206337,ENSG00000262001,0.0,1.0
ENSG00000206337,ENSG00000131386,1.9508768806940635e-32,1.0
ENSG00000206337,ENSG00000148735,8.130541067451231e-06,5.040412531798211e-14
ENSG00000206337,ENSG00000204252,0.0,1.0
ENSG00000206337,ENSG00000006756,0.0,1.0
ENSG00000242574,ENSG00000188501,1.5978707600307016e-07,0.9803473010372294
ENSG00000242574,ENSG00000125730,0.0,1.0
ENSG00000242574,ENSG00000095303,0.0,1.0
ENSG00000242574,ENSG00000196735,0.0,1.0
ENSG00000242574,ENSG00000079931,0.0,1.0
ENSG00000242574,ENSG00000198734,0.0,1.0
ENSG00000242574,ENSG00000243649,0.0,1.0
ENSG00000242574,ENSG00000112936,0.0,1.0
ENSG00000242574,ENSG00000231852,1.2457013197189379e-10,0.9999846787402046
ENSG00000242574,ENSG00000204264,0.0,1.0
ENSG00000242574,ENSG00000153029,0.0,1.0
ENSG00000242574,ENSG00000113578,0.0,1.0
ENSG00000242574,ENSG00000198483,0.0,1.0
ENSG00000242574,ENSG00000166710,0.0,1.0
ENSG00000242574,ENSG00000107562,0.0,1.0
ENSG00000242574,ENSG00000159403,0.0,1.0
ENSG00000242574,ENSG00000133321,0.0,1.0
ENSG00000242574,ENSG00000234745,0.0,1.0
ENSG00000242574,ENSG00000204257,0.0,1.0
ENSG00000242574,ENSG00000163661,0.0,1.0
ENSG00000242574,ENSG00000151468,0.0,1.0
ENSG00000242574,ENSG00000204287,0.0,1.0
ENSG00000242574,ENSG00000231389,0.0,1.0
ENSG00000242574,ENSG00000149131,0.0,1.0
ENSG00000242574,ENSG00000240065,0.0,1.0
ENSG00000242574,ENSG00000129009,0.0,1.0
ENSG00000242574,ENSG00000197943,0.0,1.0
ENSG00000242574,ENSG00000056998,0.0,1.0
ENSG00000242574,ENSG00000174348,0.0,1.0
ENSG00000242574,ENSG00000026297,0.0,1.0
ENSG00000242574,ENSG00000157150,0.0,1.0
ENSG00000242574,ENSG00000101104,0.0,1.0
ENSG00000242574,ENSG00000130055,0.0,1.0
ENSG00000242574,ENSG00000222009,0.0,1.0
ENSG00000242574,ENSG00000101160,0.0,1.0
ENSG00000242574,ENSG00000171631,0.0,1.0
ENSG00000242574,ENSG00000160219,0.0,1.0
ENSG00000242574,ENSG00000164761,0.0,1.0
ENSG00000242574,ENSG00000166741,0.0,1.0
ENSG00000242574,ENSG00000165633,0.0,1.0
