,z0,z1,z2,z3
0,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
1,-0.09945181012153625,-0.3308688700199127,0.5506120920181274,-0.1209162101149559
2,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
3,-0.12502071261405945,-0.3554491102695465,-0.1965407431125641,-0.1209162101149559
4,-0.09945181012153625,-0.3308688700199127,-0.4316355288028717,-0.1385146677494049
5,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
6,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
7,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
8,0.19335180521011353,0.4508768916130066,0.5506120920181274,0.1443518102169037
9,0.039732541888952255,0.0049848249182105064,0.5506120920181274,-0.1385146677494049
10,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
11,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
12,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
13,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
14,-0.09945181012153625,-0.2538611888885498,-0.03308860585093498,0.09973229467868805
15,-0.09945181012153625,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
16,-0.09945181012153625,0.4508768916130066,-0.14640697836875916,-0.1209162101149559
17,-0.09945181012153625,-0.3554491102695465,-0.17273086309432983,-0.1385146677494049
18,-0.09945181012153625,-0.2538611888885498,-0.34769049286842346,-0.1209162101149559
19,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
20,-0.05781841650605202,0.40729331970214844,-0.14640697836875916,0.09973229467868805
21,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
22,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1209162101149559
23,-0.12502071261405945,-0.3554491102695465,-0.34769049286842346,-0.1385146677494049
24,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
25,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
26,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
27,-0.09945181012153625,0.0049848249182105064,-0.0988217145204544,0.09973229467868805
28,0.039732541888952255,-0.3308688700199127,-0.328252375125885,0.1443518102169037
29,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
30,-0.09945181012153625,-0.30770954489707947,-0.4316355288028717,-0.1209162101149559
31,-0.09945181012153625,-0.30770954489707947,-0.4316355288028717,0.09973229467868805
32,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
33,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
34,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
35,-0.05781841650605202,0.0049848249182105064,0.02762112393975258,0.09973229467868805
36,-0.09945181012153625,-0.3554491102695465,-0.4316355288028717,0.06165851280093193
37,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
38,-0.12502071261405945,-0.3308688700199127,-0.4316355288028717,-0.1385146677494049
39,-0.09945181012153625,-0.3308688700199127,-0.055734314024448395,-0.0907140001654625
40,0.19335180521011353,0.4508768916130066,-0.14640697836875916,0.1443518102169037
41,-0.09945181012153625,-0.2538611888885498,-0.14640697836875916,0.09973229467868805
42,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
43,-0.12502071261405945,-0.3554491102695465,-0.328252375125885,-0.1385146677494049
44,-0.12502071261405945,-0.3308688700199127,-0.4316355288028717,-0.1385146677494049
45,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
46,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
47,-0.09945181012153625,-0.11476515233516693,-0.4316355288028717,-0.1385146677494049
48,-0.09945181012153625,-0.3308688700199127,-0.328252375125885,0.09973229467868805
49,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
50,-0.09945181012153625,-0.2538611888885498,-0.328252375125885,0.09973229467868805
51,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
52,-0.09945181012153625,-0.30770954489707947,-0.14640697836875916,-0.0907140001654625
53,-0.09945181012153625,0.0049848249182105064,-0.34769049286842346,0.1443518102169037
54,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
55,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
56,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
57,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
58,-0.09945181012153625,-0.30770954489707947,-0.4316355288028717,-0.1209162101149559
59,0.039732541888952255,-0.3308688700199127,0.41912776231765747,-0.1209162101149559
60,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
61,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
62,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
63,-0.12502071261405945,-0.3554491102695465,-0.14640697836875916,-0.1385146677494049
64,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
65,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
66,-0.09945181012153625,-0.30770954489707947,-0.14640697836875916,0.09973229467868805
67,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
68,0.19335180521011353,0.4508768916130066,0.5506120920181274,0.1443518102169037
69,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
70,-0.07956168800592422,-0.11476515233516693,-0.14640697836875916,0.1443518102169037
71,0.19335180521011353,0.4508768916130066,0.5506120920181274,0.1443518102169037
72,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1209162101149559
73,-0.12502071261405945,-0.3554491102695465,-0.328252375125885,0.12413594126701355
74,0.07979745417833328,-0.11476515233516693,-0.1965407431125641,-0.0669829323887825
75,0.07979745417833328,0.2684010863304138,-0.3953588604927063,0.12413594126701355
76,-0.12502071261405945,-0.3554491102695465,-0.4316355288028717,-0.1385146677494049
