,z0,z1,z2,z3,z4,z5,z6,z7
0,0.035996485501527786,0.011645184829831123,-0.029395516961812973,-0.008494725450873375,-1.04838228225708,0.1474796086549759,-0.04243721067905426,0.016413245350122452
1,0.03372209519147873,-0.008042165078222752,-0.03283609449863434,-0.009543105959892273,-1.018700122833252,-0.22216399013996124,-0.04243721067905426,0.019525539129972458
2,0.04562240466475487,0.011645184829831123,0.03513077646493912,0.0055254255421459675,-1.2218457460403442,0.10585427284240723,-0.079180508852005,-0.0037224399857223034
3,-0.282972127199173,-0.006614807993173599,-0.03012472204864025,-0.009153511375188828,0.2992269694805145,-0.3291783928871155,-0.021517377346754074,-0.0050078327767550945
4,-0.36278340220451355,-0.006614807993173599,-0.030283553525805473,-0.006083413492888212,0.28634703159332275,-0.3172643780708313,0.10233251005411148,-0.0038162213750183582
5,-0.36278340220451355,-0.006614807993173599,-0.02855071611702442,-0.02419785037636757,0.31328052282333374,-0.3168690800666809,0.04646003246307373,-0.0050078327767550945
6,0.03372209519147873,-0.008042165078222752,-0.027913114055991173,-0.010329957120120525,-1.05226469039917,-0.20630908012390137,0.1532660275697708,-0.003820517100393772
7,-0.134037584066391,0.0028453567065298557,-0.031273018568754196,0.009396785870194435,-0.9512999057769775,0.28991904854774475,0.0833178237080574,-0.0037224399857223034
8,0.1126016154885292,0.004272713791579008,0.025224601849913597,-0.002422553487122059,0.7014636397361755,0.3501288890838623,-0.04543820396065712,-0.0013891563285142183
9,0.137240931391716,-0.006614807993173599,-0.00607727188616991,-0.014318821020424366,0.3470486104488373,-0.035008661448955536,0.11141563206911087,0.015974540263414383
10,0.03445848450064659,0.011645184829831123,0.053048476576805115,-0.010329957120120525,-1.0888235569000244,-0.21161241829395294,-0.079180508852005,-0.005355870816856623
11,0.03372209519147873,-0.012863689102232456,0.020959803834557533,-0.010329957120120525,-1.1129627227783203,-0.19780303537845612,-0.079180508852005,-0.005012128502130508
12,0.03445848450064659,-0.008042165078222752,0.053311675786972046,-0.010329957120120525,-1.0501278638839722,-0.19677774608135223,0.1532660275697708,-0.003820517100393772
13,0.035996485501527786,-0.008042165078222752,-0.03749009221792221,-0.0103456387296319,-1.0189638137817383,-0.08962637931108475,0.14989645779132843,0.015974540263414383
14,0.09571539610624313,-0.006614807993173599,-0.027503209188580513,-0.006260816007852554,0.15233618021011353,-0.30674248933792114,-0.025151703506708145,-0.01632373221218586
15,0.027948543429374695,-0.008042165078222752,0.03581041470170021,-0.010180232115089893,-0.9846702218055725,-0.276284396648407,-0.079180508852005,-0.0050078327767550945
16,0.137240931391716,-0.006614807993173599,0.004254655446857214,-0.022107690572738647,0.6225689053535461,0.017138488590717316,0.08221293240785599,0.011987828649580479
17,0.03372209519147873,0.011645184829831123,-0.02273028902709484,-0.009543105959892273,-1.0201059579849243,-0.24583372473716736,-0.0778074562549591,0.019525539129972458
18,-0.30628469586372375,-0.006614807993173599,-0.010722802020609379,0.01007498987019062,-0.055321600288152695,-0.3137490749359131,-0.06709302961826324,-0.0050078327767550945
