,z0,z1,z2,z3,z4,z5,z6,z7
0,0.0,-0.2920840382575989,-0.02616574987769127,-0.2247108668088913,-0.5053243041038513,0.06462106108665466,0.1291314661502838,-0.26905715465545654
1,0.0,-0.2920840382575989,-0.02616574987769127,0.4851384162902832,-0.4671689569950104,-0.03785132244229317,0.3990010917186737,0.06141975522041321
2,0.0,-0.2920840382575989,0.03610861301422119,-0.25001010298728943,-0.5238425135612488,-0.03785132244229317,0.1291314661502838,-0.49946823716163635
3,0.0,-0.10394162684679031,-0.01015499234199524,-0.33085742592811584,0.6842366456985474,-0.012931552715599537,-0.34440678358078003,-0.11753873527050018
4,0.0,-0.2920840382575989,-0.02616574987769127,-0.12477460503578186,-0.56504225730896,-0.03785132244229317,0.2077324241399765,0.4273764491081238
5,0.0,-0.2920840382575989,0.03610861301422119,-0.28802403807640076,-0.5511055588722229,-0.03785132244229317,-0.34440678358078003,-0.11868761479854584
6,0.0,-0.2920840382575989,-0.02616574987769127,-0.3277682363986969,-0.5377792119979858,-0.03785132244229317,-0.34440678358078003,-0.5714879631996155
7,0.0,0.1065225824713707,0.01401384174823761,-0.20119686424732208,0.3969155550003052,0.022077186033129692,0.5268151760101318,-0.4763515293598175
8,0.0,-0.10394162684679031,0.01401384174823761,-0.18675187230110168,0.6250590085983276,0.022077186033129692,0.5268151760101318,0.04669031500816345
9,0.0,-0.2920840382575989,0.03610861301422119,0.45448100566864014,-0.5262190699577332,-0.03785132244229317,0.183766171336174,0.3954595923423767
10,0.0,0.29980888962745667,-0.02616574987769127,-0.3277682363986969,-0.36681464314460754,-0.03785132244229317,-0.34440678358078003,-0.5714879631996155
11,0.0,-0.2920840382575989,0.03610861301422119,-0.3277682363986969,-0.5238425135612488,-0.03785132244229317,-0.34440678358078003,-0.5714879631996155
12,0.0,-0.2920840382575989,-0.02616574987769127,-0.35437142848968506,-0.56504225730896,-0.03785132244229317,-0.34440678358078003,-0.13443656265735626
13,0.0,-0.2920840382575989,-0.02616574987769127,-0.3277682363986969,-0.5377792119979858,-0.03785132244229317,-0.34440678358078003,-0.5714879631996155
14,0.0,-0.2920840382575989,-0.02616574987769127,0.4706934094429016,-0.48043784499168396,0.06462106108665466,0.3990010917186737,-0.43357762694358826
15,0.0,-0.2920840382575989,-0.02616574987769127,-0.28802403807640076,-0.56504225730896,-0.03785132244229317,-0.34440678358078003,-0.11868761479854584
16,0.0,-0.2920840382575989,-0.02616574987769127,0.45448100566864014,-0.5401557683944702,-0.03785132244229317,0.023154491558670998,0.5560712814331055
