,z0,z1,z2,z3
0,-0.16923880577087402,0.3032638132572174,0.8302018642425537,-2.5620322227478027
1,0.052705567330121994,-0.8687223196029663,0.012843010947108269,-0.49182164669036865
2,-0.09945541620254517,0.8085638284683228,-0.5373867750167847,-2.4499003887176514
3,0.2519488036632538,-0.8660374879837036,0.9600811004638672,0.4637625217437744
4,-0.25648340582847595,-0.783610999584198,0.5464255809783936,-2.450429916381836
5,-0.1266702264547348,-0.8394689559936523,0.9395055174827576,-0.47356635332107544
6,0.16264069080352783,-0.884479820728302,0.8933157920837402,-0.11989230662584305
7,-0.18036311864852905,0.30186882615089417,-0.8779758214950562,0.06851579993963242
8,-0.4675428569316864,0.8692424297332764,-0.34201303124427795,-0.22708530724048615
9,0.34989938139915466,-0.3256172239780426,-0.30892595648765564,-2.367992401123047
10,-0.27246764302253723,-0.4127216041088104,-0.6241817474365234,-1.916269302368164
11,-0.11650598049163818,-0.8367321491241455,-0.7770738005638123,-2.2892379760742188
12,-0.008479293435811996,-0.8367321491241455,-0.7274720072746277,-2.3321433067321777
13,-0.0051333121955394745,-0.7672292590141296,-0.02820923924446106,-2.287395715713501
14,-0.467597633600235,0.5768206715583801,-0.32754889130592346,0.7421892285346985
15,0.24405354261398315,0.45534801483154297,-0.7318792939186096,-2.4411563873291016
16,-0.11465653777122498,-0.3326442539691925,0.7649015784263611,-2.531604766845703
17,-0.36469730734825134,-0.8758772611618042,0.9486960172653198,-0.050951335579156876
18,-0.1822631061077118,0.3550790548324585,-0.8256310820579529,0.05699261650443077
19,-0.1925351321697235,-0.9166666865348816,-0.6596081256866455,-0.2307155281305313
20,0.24856418371200562,0.8085638284683228,-0.5417940616607666,-2.429997682571411
21,-0.25880298018455505,-0.7672292590141296,-0.03261655196547508,-2.363497734069824
22,-0.7975233197212219,-0.4348832368850708,-0.681580126285553,-0.3468535542488098
23,-0.10381612926721573,0.7951858639717102,-0.2529601752758026,-2.32246994972229
24,-0.19006521999835968,-0.8367321491241455,-0.7318792939186096,-2.340689182281494
25,0.059924814850091934,-0.9453206658363342,-0.340041846036911,0.579230010509491
26,0.06339475512504578,-0.9432351589202881,-0.7600529193878174,0.02602296695113182
27,-0.12166109681129456,-0.884479820728302,0.7832934856414795,0.6120179891586304
28,-0.17643138766288757,0.9326414465904236,-0.8106634020805359,0.4245864450931549
29,-0.008479293435811996,-0.783610999584198,0.5508328676223755,-2.4418840408325195
30,-0.41119417548179626,0.15742453932762146,-0.7861185073852539,-0.5105130076408386
31,-0.7366641163825989,-0.4348832368850708,-0.795622706413269,-0.5666919946670532
32,-0.2927223742008209,0.23954322934150696,-0.32959842681884766,-1.9157509803771973
33,-0.10381612926721573,1.1115772724151611,-0.5786654949188232,-2.4294967651367188
34,-0.05745420604944229,-0.9432351589202881,-0.5885971784591675,-0.058504555374383926
35,-0.18055960536003113,0.7704116702079773,0.4482715129852295,-2.5596415996551514
36,-0.17391884326934814,0.3550790548324585,-0.6504176259040833,-0.05508818104863167
37,-0.0051333121955394745,-0.7967312932014465,-0.6134294271469116,-2.2162253856658936
38,-0.11120090633630753,-0.7195336818695068,0.8302018642425537,-2.3948662281036377
39,-0.04503524303436279,0.3753514289855957,-0.8244458436965942,1.5481687784194946
40,-0.1252143234014511,-0.3956906199455261,-0.8867060542106628,0.5165969729423523
41,0.3204382359981537,0.8708702325820923,0.0023955870419740677,0.0343354232609272
42,-0.12921388447284698,-0.7967312932014465,-0.6178367137908936,-2.292327404022217
43,0.044581566005945206,-0.9014636874198914,-0.74866783618927,1.0654412508010864
