sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
34,1,MGS2,-0.418928,-0.351679,-1.7490839,-1.0796419,-0.36920455,-0.45340115,1.3921907,-0.20626904,1.1792954,0.15162694,0.14758973,-1.0544055,0.20013258,0.99749553,0.34850606,0.77036846
35,0,MGS1,-0.3786965,-0.64697087,-0.23380765,-0.117155805,0.6117363,0.5487215,1.6088265,-1.5097395,1.0145725,-0.492691,-0.11116525,-1.0881643,1.7084258,1.410215,-0.21235232,0.19508041
37,1,MGS2,-2.2858624,-0.5793045,-0.032768924,-0.3851186,1.4263529,-1.4733171,-0.27758813,0.7219877,1.9714426,-0.03659278,0.10313855,0.9454868,2.3486304,1.2604113,1.4574572,1.8339088
38,1,MGS2,-1.0248038,-0.39670047,0.07371706,-1.0430653,0.15197942,-1.3308194,0.971268,-0.6093248,0.22407417,0.36007643,0.17859876,-0.16314891,-0.04500614,0.6696607,0.76894933,-2.490536
39,1,MGS2,0.54836357,-1.5618484,-0.8337209,-0.49140716,0.59288913,-0.8997965,-0.47909093,-0.8523597,0.52157706,0.6470274,-0.21515255,-1.2227075,1.0864685,-0.08687085,-0.0060822624,-0.5243762
40,1,MGS2,-1.5754896,-0.33406866,1.3513291,2.167251,3.5849118,-1.2904229,0.48499358,-1.2731793,0.82729745,-1.1886592,-0.10305364,0.5647445,-1.6106741,-0.2756217,-0.2342073,-0.18164438
41,0,MGS1,0.055397313,0.93927723,1.5405151,-0.49395028,-1.7761841,0.69610244,0.0090179825,-0.8802484,-0.28695342,-0.76600283,1.0720075,-0.89265096,-1.313014,0.47301173,-1.4497842,0.41981664
42,0,MGS1,0.026722373,1.5826771,-1.120935,0.0049398565,0.30703643,1.847309,1.3436774,-1.4433692,0.7416747,-1.41503,-0.2125881,-1.8259306,-1.704447,0.6026616,0.36701837,-0.37332448
43,0,MGS1,1.0855926,-1.3112723,-0.1668921,0.33562157,0.14904161,-0.3476439,0.44185174,-0.9949241,0.9098928,-0.9590182,-0.43707046,-0.5741577,1.7565022,-1.1586452,-0.47935492,-2.1370702
45,2,MGS3,0.54433084,-1.8501241,-1.1056739,-0.0028681695,-0.7863861,1.004937,-0.19093463,1.1570789,-0.20548064,0.51957077,0.6262549,-0.7852998,-0.21318926,0.4355377,0.18214329,-0.9322652
46,3,MGS4,0.37918845,-1.216107,0.30012056,0.8620591,0.02915931,0.6325277,0.2212188,0.7036993,0.074862696,0.83702755,0.51349753,-1.5113895,0.98467714,0.560914,0.51284444,0.4100611
47,3,MGS4,-0.88319665,0.17314343,-0.73370135,-1.5317547,1.2010999,0.8408105,1.5759759,-0.028912231,0.846467,1.4130623,-0.82935333,-1.242658,-0.9733292,-0.6952756,-3.6375124,-0.96954983
48,1,MGS2,-1.3835784,-0.24537002,0.23478848,0.972569,0.21438079,-0.82711166,-1.0201027,0.7124241,1.9136703,0.9914462,-0.6536343,1.3289971,0.97870195,0.083912164,0.21129572,1.2974554
49,1,MGS2,-1.242407,0.07830216,-0.33219388,0.35983965,-0.1625002,-0.29683217,0.77008426,-0.08907456,1.0667485,1.72052,-0.8281171,-1.0674545,0.7390893,1.7633754,-0.22027978,-0.9452885
50,1,MGS2,0.99293596,-0.787764,0.30261853,-1.0405743,-0.21615036,-0.49695265,-0.6239645,1.8345151,-0.017426386,-1.3547664,-0.86814994,-1.5848721,1.2872058,0.30821347,-1.134305,1.045414
51,1,MGS2,-0.39132583,-1.4462247,-0.74703896,0.42414445,-0.58993095,-0.8280319,0.12334833,-0.341318,0.9071581,0.79199874,-0.65516526,-1.3344592,-1.0105923,-0.6365116,0.0002694931,1.3973303
53,1,MGS2,-1.909396,0.21576919,1.492163,-1.2752934,1.767829,0.5547873,0.37054121,-0.15515381,0.37421963,-0.8554569,-0.31560975,-2.575342,-1.4052608,-0.766898,-2.5324357,1.4074161
55,2,MGS3,0.4515107,-2.1766276,-0.10572269,0.04442275,0.32589635,-0.2067573,0.23062195,1.2114531,0.6299459,0.16970092,1.3025408,-1.7765046,0.77175903,-0.51507926,-2.675305,0.08677415
56,1,MGS2,1.2952288,0.062220793,-0.39396828,0.24044937,-0.3785016,-0.9385994,-0.5478644,0.10379757,0.241916,0.8295688,-0.8118556,-1.733281,0.54435253,0.29052487,0.43377167,-0.30134216
57,1,MGS2,-0.7072287,-0.66810775,1.8471441,0.29146674,0.85030365,-0.4115851,0.13778986,0.77419317,-0.24440226,0.82393754,-2.0361896,-2.3251739,-0.9044697,3.2031615,1.153784,-0.9959329
58,1,MGS2,-0.27335897,-0.92365384,-0.7395489,0.18499115,0.856876,-0.17151546,-0.20847045,-0.36439574,0.17019281,1.7537,-0.5074215,-2.3482792,0.13183548,-0.24079067,-1.3243984,0.7609796
59,2,MGS3,-0.49308872,1.7765723,-0.58722526,0.42279324,-1.7722963,1.3207089,1.6724024,1.1265274,1.2838773,-1.14997,0.8428943,-1.8331301,0.76008594,0.6581871,0.08052693,-0.82343787
60,3,MGS4,-0.16213503,0.2226436,-0.5829602,-0.9773657,-0.5686608,0.20965841,0.6070916,1.3979791,0.7875602,-1.9698051,1.0703837,-1.3180563,0.5719312,-0.4648291,0.59191483,-0.627549
62,1,MGS2,0.68446004,-0.8411277,-0.031316135,-0.590529,1.1163435,-1.4705482,-2.5243635,-0.7692604,-0.14241269,0.7921592,1.2256132,-1.5838145,1.4474083,2.047957,-1.8026859,1.941954
63,1,MGS2,-1.0790482,-1.6124717,1.0558109,0.24758828,-1.1903645,0.7079597,0.8785898,1.0982856,0.1319979,0.14334205,-1.4153565,-2.5965865,0.76482564,-1.1585813,-1.3073773,0.5900825
65,1,MGS2,0.29456055,-1.7157812,-0.38925654,0.0829376,0.35173464,0.7016873,0.65180993,1.4662106,-0.12660435,-0.3591469,0.13725813,-0.21465072,1.6382833,0.38990098,-0.13678631,-0.81146723
66,2,MGS3,0.42752042,-2.3496299,-0.25412878,-1.472536,-0.50098914,-0.043050848,-0.031734,1.163278,-0.8157036,0.09183713,-0.27611536,-1.027998,0.54345995,0.55243796,-0.21210746,0.09594405
67,2,MGS3,0.8693367,-1.330127,-0.6982566,0.3286983,1.0775748,-0.47018987,-1.2792317,0.36866957,0.34799528,-0.35424462,-0.30827463,-0.08158567,1.2280599,-0.20053549,0.5199435,-0.94961715
68,1,MGS2,-0.67251706,-0.00022005674,-0.6227508,-0.8203885,-0.5088015,0.63712096,1.5565429,0.015464078,0.7975077,1.5259662,-0.3382607,-1.7544267,-0.24843846,0.27046558,-0.008205766,-0.6525975
70,2,MGS3,-0.039019484,0.49044496,-0.18889096,0.5829243,-1.6110668,1.0949055,-0.5805331,2.541509,1.1236043,0.49699166,-0.2149438,-0.3546354,0.42783788,0.28978604,0.4248651,-0.79123306
71,1,MGS2,-1.1127964,1.4651357,1.39553,0.50143075,-0.25721684,2.4475937,0.6818789,-0.84205836,-0.15304333,-1.9160687,0.38160238,-1.3588834,-0.1267549,0.3989049,-0.8223676,0.89065737
72,1,MGS2,-0.48675162,-0.62449485,1.1948929,-2.0034978,-1.0299852,0.42273653,-0.75587714,0.17153272,0.33258665,2.112329,0.7588255,1.1217871,-0.7010161,-0.25186956,0.041214887,1.200629
73,3,MGS4,0.5290006,-0.67505765,-0.30928934,-0.94721746,-0.9050311,-0.64529747,-0.08417262,1.5408328,-0.085616745,0.42949608,0.2877498,-1.3750995,-1.3485307,0.58108866,0.45153227,-1.1749275
75,1,MGS2,0.20941597,-0.75000244,1.057989,-0.36724472,0.95450884,0.28005248,-0.46476996,0.9852789,-0.11412179,-0.723339,0.14857528,-0.8517124,1.118286,1.3545566,0.51399654,1.5469562
76,2,MGS3,-0.64886534,-0.69137126,0.41993168,-1.1534194,-1.781863,0.85867834,0.20233406,0.7403264,-0.3394461,-0.75706303,-0.8159927,-1.6892899,0.21278277,-1.7034693,-0.60676295,-0.65274996
77,1,MGS2,-0.48075944,0.8528654,0.92488873,0.4484999,-0.21188398,0.9779116,-0.0077172797,0.5709114,0.22020318,1.3739984,-0.39664048,-0.9561327,-0.1489194,0.19491994,0.4893087,-0.13415949
78,2,MGS3,-0.1583241,-0.8154525,-0.40060744,1.508198,-1.3551437,1.4204042,0.22727332,2.3907015,-1.0412601,-0.48437518,-1.0180794,-0.74340034,1.6130763,1.322188,-2.3547266,-1.2121679
79,2,MGS3,-1.0185434,1.6086558,-0.41717827,-0.3503994,-0.91315657,0.930712,-0.8855519,0.45207715,0.626752,-0.11263301,-1.1652186,-0.7004946,-0.025198964,0.49842483,1.283559,-1.1240264
80,1,MGS2,0.4346232,0.02050536,-0.2919001,-0.2344376,-0.4219386,2.3853462,0.9458012,0.49795195,1.0057496,0.7588246,-0.16355005,-0.9597768,-0.33070928,-1.0929115,0.62404543,-0.27514812
81,0,MGS1,0.5150426,-1.2526641,0.089938544,0.25935185,0.7956671,-0.34465855,0.016135575,0.027305216,0.43903473,-0.692792,-0.06819117,-0.033480152,1.3068428,0.25423002,1.5330029,-1.5082638
82,1,MGS2,1.7668226,-2.150421,-1.8052357,0.29985413,0.12176169,0.92245376,0.41930157,-0.2440292,-1.4152172,-0.3969277,-1.1485857,-1.8221607,-0.23769401,1.7245895,-0.94152856,0.5698426
84,1,MGS2,-0.7738247,0.3460518,0.010344213,-1.3056868,-0.66614276,0.51516116,0.008164201,-0.9231216,1.2489316,1.4341581,0.16579942,-0.79868674,-0.24614902,0.7158794,0.6741649,-1.0300643
85,1,MGS2,-1.1942577,-0.76181024,-0.6524071,-0.07305964,1.0413195,-1.7355984,0.6034411,0.46973905,1.0384303,0.6672456,-0.41688097,-1.9702636,-0.52931947,0.8211442,-0.5349099,-1.3300064
86,1,MGS2,-0.61992025,0.40714088,0.49974078,0.06060641,0.89049083,1.4212217,1.2767162,-0.13798241,0.38955396,-0.32708734,-0.036856458,-1.4249549,-0.922827,-0.0398443,0.117237195,-0.1156159
87,1,MGS2,-0.35399452,0.040855322,0.66577494,0.45908353,2.5500662,-0.587897,-0.24761428,-0.3129063,0.4173906,-0.22851837,-1.2091668,-0.93840766,-0.28267384,-0.42579067,-0.14505315,-0.456231
89,0,MGS1,-0.36548907,1.0389652,0.35038266,0.273716,0.11102533,-0.28166622,-1.4231123,-1.3109317,-1.1110451,-1.1952587,0.85036033,-0.57022035,0.19469099,0.3127871,0.5836191,-3.0707116
90,1,MGS2,-0.40252095,0.5347481,2.1548412,1.4847312,0.4510993,0.6408806,-1.2966137,-0.48442414,-0.39900252,-0.9526345,-0.8353706,-0.7338111,1.5523332,-1.9486914,-1.1591158,-0.99257
91,1,MGS2,-1.2333785,0.27567843,2.1610942,0.72270644,-0.38725516,-1.0709196,-1.3747017,0.48746464,1.1328132,0.21296306,-0.76359856,0.20338172,-0.43248308,-0.566027,-1.3640481,2.6350734
92,2,MGS3,0.4692143,-1.1110408,0.6615716,-1.6607071,0.21891786,-1.0047947,-0.29642415,0.48805952,0.5218218,-2.5919337,0.23873529,-0.8632778,1.3720939,-1.3965769,-0.56799304,-0.8289825
93,1,MGS2,-1.0163914,-0.34700432,-0.42921776,0.14996076,1.0300571,0.43137622,-1.2565624,1.0065602,1.3393537,0.91090757,-1.2611523,1.3627453,0.31537935,-1.6135837,-0.9711958,1.1550276
94,3,MGS4,-0.2890466,0.43239054,-0.9643281,-0.7876864,-1.9721868,-0.24853435,0.6653932,2.003106,1.6332462,0.47247237,-0.075184904,-1.2809701,0.9637788,1.3865802,0.36997753,-0.9387868
95,3,MGS4,-0.34080914,-0.30276614,0.38906166,-0.7318548,-1.0382614,0.15265483,0.39556122,0.8207341,0.0306666,1.429236,-0.34982643,-0.3211698,-0.05245153,0.09668334,0.17591387,-1.8832173
96,2,MGS3,-0.12758589,0.77155113,-0.6752355,0.8230745,2.1921194,-0.6292799,-0.37146455,1.343399,1.029388,1.2831352,0.5915012,-1.2285945,-1.645657,0.08231771,-1.2273861,-1.0049983
97,1,MGS2,-0.60005337,-0.72400486,0.1945602,-0.014839452,-0.18103126,-0.034059394,-0.2213134,0.7592344,-0.3720197,0.46548632,-0.9919679,-0.12726746,0.9391619,-0.29844406,0.6965296,2.0404217
