,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
0,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
1,0.0,0.5007347464561462,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
2,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
3,0.0,0.4683309495449066,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
4,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
5,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
6,0.0,0.46966296434402466,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
7,0.0,0.19035878777503967,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
8,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
9,0.0,0.4683309495449066,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
10,0.0,0.46966296434402466,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
11,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
12,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
13,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
14,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
15,0.0,-0.36287498474121094,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
16,0.0,0.46966296434402466,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
17,0.0,0.5020667910575867,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
18,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
19,0.0,-0.5267392992973328,0.0742555782198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
20,0.0,0.5020667910575867,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
21,0.0,-0.5267392992973328,0.1280236393213272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
22,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
23,0.0,0.19035878777503967,0.12250756472349167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.00612456351518631,0.0,0.0,0.0
24,0.0,0.46966296434402466,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
25,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
26,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
27,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
28,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
29,0.0,-0.5267392992973328,0.0742555782198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
30,0.0,0.5020667910575867,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
31,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
32,0.0,-0.5267392992973328,0.1280236393213272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
33,0.0,0.4683309495449066,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
34,0.0,0.18222787976264954,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
35,0.0,0.19035878777503967,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
36,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
37,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
38,0.0,0.46966296434402466,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
39,0.0,0.5007347464561462,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
40,0.0,0.18902678787708282,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
41,0.0,0.5007347464561462,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.00612456351518631,0.0,0.0,0.0
42,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
43,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
44,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
45,0.0,0.5020667910575867,0.12250756472349167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
46,0.0,0.19035878777503967,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
47,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
48,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
49,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
50,0.0,0.4683309495449066,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
51,0.0,-0.5267392992973328,0.1280236393213272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
52,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
53,0.0,0.5020667910575867,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
54,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
55,0.0,0.5007347464561462,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.00612456351518631,0.0,0.0,0.0
56,0.0,0.5020667910575867,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
57,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
58,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
59,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
60,0.0,0.19035878777503967,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
61,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
62,0.0,0.18902678787708282,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
63,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
64,0.0,0.19035878777503967,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
65,0.0,0.19035878777503967,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
66,0.0,-0.36287498474121094,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
67,0.0,-0.36287498474121094,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
68,0.0,-0.5267392992973328,0.1280236393213272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
69,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
70,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
71,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
72,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
73,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
74,0.0,0.5020667910575867,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
75,0.0,0.46966296434402466,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
76,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
77,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
78,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
79,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
80,0.0,-0.5267392992973328,0.0742555782198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
81,0.0,0.46966296434402466,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
82,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
83,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
84,0.0,0.18222787976264954,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.00612456351518631,0.0,0.0,0.0
85,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
86,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,0.03209737315773964,0.0,0.0,0.0
87,0.0,0.5020667910575867,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
88,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
89,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
90,0.0,0.18902678787708282,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
91,0.0,-0.37180295586586,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
92,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
93,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
94,0.0,-0.364206999540329,-0.09642165899276733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
95,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
96,0.0,-0.5267392992973328,0.1280236393213272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
97,0.0,-0.5216195583343506,-0.09186185896396637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
98,0.0,-0.5267392992973328,-0.08674214780330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
99,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
100,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
101,0.0,0.5020667910575867,0.07614751905202866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
102,0.0,-0.36287498474121094,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
103,0.0,0.19035878777503967,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
104,0.0,-0.5267392992973328,0.1280236393213272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
105,0.0,0.19035878777503967,0.12991555035114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025392133742570877,0.0,-0.013488704338669777,0.0,0.0,0.0
106,0.0,0.46966296434402466,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
107,0.0,-0.36287498474121094,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.00612456351518631,0.0,0.0,0.0
108,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,-0.013488704338669777,0.0,0.0,0.0
109,0.0,0.5020667910575867,-0.08485020697116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019800422713160515,0.0,0.03209737315773964,0.0,0.0,0.0
