sample_id,z0,z1,z2,z3,mgs_level
2,-0.019702498,0.075627774,0.041568987,-0.00089349505,MGS1
4,-0.008750528,0.04225335,0.013843223,0.00893393,MGS1
6,0.009323508,0.086732656,-0.01058244,0.010444131,MGS1
9,0.0042634234,0.048676703,-0.017284323,0.0009395182,MGS1
17,-0.0010475926,0.05667645,0.014766492,-0.013054749,MGS1
18,0.010401145,0.09286794,-0.015302215,-0.009485792,MGS1
32,-0.023099557,0.12262589,0.0026474372,-0.017865514,MGS1
35,-0.00781896,0.08204429,0.0055882335,0.008593625,MGS1
41,0.036748864,-0.049275607,-0.016558647,0.0040936144,MGS1
42,0.028965846,-0.00244743,0.005571902,0.0017779516,MGS1
43,0.022452831,0.1080305,-0.0037678555,0.008311256,MGS1
81,0.04206354,0.11657302,0.021330416,-0.0063483007,MGS1
89,0.021327205,0.11225876,0.011509195,-0.0036924053,MGS1
99,0.008579165,0.078955546,0.027922712,0.009939935,MGS1
109,0.041476376,0.02331299,-0.0069823824,0.007803172,MGS1
115,-0.01026478,0.060273442,-0.00075650215,0.0104145305,MGS1
117,0.00716972,-0.0046825483,0.0057605654,-0.017110534,MGS1
119,-0.0050262474,0.047922563,-0.013800722,-0.008670386,MGS1
120,0.0067108646,0.055625785,0.0091317445,-2.7809292e-06,MGS1
126,-0.023331514,0.054570984,-0.028472286,-0.013736971,MGS1
137,0.00046527758,-0.0068898723,-0.0068677776,0.0029615029,MGS1
139,-0.012375046,0.15314117,0.007713318,-0.013767295,MGS1
142,-0.0034417622,0.1168149,0.026617572,-0.0036330828,MGS1
145,-0.0037565678,0.08789839,0.011840664,0.0017341748,MGS1
149,0.00034394488,0.121421605,0.022178955,-0.017049199,MGS1
153,-0.0056893155,0.086480334,0.021512248,-0.011093188,MGS1
162,-0.015326403,0.038102705,0.00926812,-0.009531623,MGS1
163,-0.03161273,0.029809829,-0.0059223548,0.018905088,MGS1
172,0.0008703843,0.012617886,0.012905858,0.005131737,MGS1
173,0.013971023,0.065821394,0.021989211,-0.0036203284,MGS1
177,0.0112218335,0.04529902,-0.003607221,0.0014797477,MGS1
189,0.0011166185,0.029189784,-0.021106489,0.0056339074,MGS1
217,-0.00040398166,0.06875235,0.012177847,0.0090450775,MGS1
