"","from","to","NA"
"97","ENSG00000095303","ENSG00000188488",0.793885772126663
"98","ENSG00000166278","ENSG00000110092",0.793141846608445
"99","ENSG00000198734","ENSG00000197943",0.790035511043487
"100","ENSG00000182326","ENSG00000166741",0.786832052683547
"101","ENSG00000140092","ENSG00000128262",0.784918316778698
"102","ENSG00000110092","ENSG00000204252",0.784804521121108
"103","ENSG00000125730","ENSG00000188488",0.783436119499722
"104","ENSG00000166710","ENSG00000231389",0.782629991935625
"105","ENSG00000196735","ENSG00000204287",0.781620767707483
"106","ENSG00000125730","ENSG00000249306",0.781138599002596
"107","ENSG00000026297","ENSG00000181804",0.781036432338139
"108","ENSG00000149131","ENSG00000006042",0.780032113783957
"109","ENSG00000112936","ENSG00000164106",0.779064683842759
"110","ENSG00000125730","ENSG00000198734",0.779052183685325
"111","ENSG00000204482","ENSG00000180638",0.778490634333561
"112","ENSG00000162520","ENSG00000125730",0.778099652145193
"113","ENSG00000101160","ENSG00000005243",0.777334955957589
"114","ENSG00000101160","ENSG00000244509",0.777227311236874
"115","ENSG00000174348","ENSG00000171631",0.776132758550125
"116","ENSG00000242574","ENSG00000026297",0.775988571454128
"117","ENSG00000198483","ENSG00000101160",0.775801587471212
"118","ENSG00000159403","ENSG00000101160",0.774670452201358
"119","ENSG00000242574","ENSG00000231389",0.773400723234035
"120","ENSG00000079931","ENSG00000181804",0.773164300876139
"121","ENSG00000153029","ENSG00000010704",0.772098493813601
"122","ENSG00000129009","ENSG00000100055",0.771883233640796
"123","ENSG00000079931","ENSG00000069535",0.770859147915311
"124","ENSG00000006042","ENSG00000005243",0.77003171102893
"125","ENSG00000206337","ENSG00000204287",0.769160483295199
"126","ENSG00000006042","ENSG00000244509",0.767105262817121
"127","ENSG00000153029","ENSG00000113578",0.766748581469632
"128","ENSG00000095303","ENSG00000159403",0.766363435119582
"129","ENSG00000243649","ENSG00000204482",0.764424082309227
"130","ENSG00000101160","ENSG00000150977",0.764210174881571
"131","ENSG00000162520","ENSG00000198734",0.763508759949335
"132","ENSG00000206337","ENSG00000234745",0.762779299442957
"133","ENSG00000188501","ENSG00000110092",0.761915379317298
"134","ENSG00000196735","ENSG00000231389",0.760081434102179
"135","ENSG00000113578","ENSG00000069535",0.756529922567692
"136","ENSG00000159403","ENSG00000188488",0.756368165047518
"137","ENSG00000110092","ENSG00000006756",0.755884424260342
"138","ENSG00000010704","ENSG00000069535",0.753874037000572
"139","ENSG00000181804","ENSG00000131386",0.752209080238657
"140","ENSG00000206337","ENSG00000204264",0.751365235644385
"141","ENSG00000101104","ENSG00000006042",0.749584998509041
"142","ENSG00000206337","ENSG00000231389",0.749239061758215
"143","ENSG00000125730","ENSG00000171631",0.748134439464206
"144","ENSG00000113578","ENSG00000132274",0.744051104521774
"145","ENSG00000198483","ENSG00000168306",0.743512375831225
"146","ENSG00000222009","ENSG00000146122",0.742845161046448
"147","ENSG00000010704","ENSG00000163453",0.739572299900959
"148","ENSG00000168306","ENSG00000244509",0.73889443168369
"149","ENSG00000129009","ENSG00000110092",0.738614296100766
"150","ENSG00000182326","ENSG00000131386",0.736361357971245
"151","ENSG00000125730","ENSG00000146122",0.735900660599816
"152","ENSG00000182326","ENSG00000148735",0.734878460450782
"153","ENSG00000188501","ENSG00000204252",0.734133929668285
"154","ENSG00000231852","ENSG00000174348",0.73317072972091
"155","ENSG00000162520","ENSG00000249306",0.730863838754902
"156","ENSG00000079931","ENSG00000204287",0.729762859287367
"157","ENSG00000197943","ENSG00000249306",0.728753378950978
"158","ENSG00000204261","ENSG00000204287",0.7276058385631
"159","ENSG00000166278","ENSG00000006756",0.726837063267839
"160","ENSG00000101160","ENSG00000168306",0.726532992968195
"161","ENSG00000182326","ENSG00000006042",0.724648554051539
"162","ENSG00000182326","ENSG00000163661",0.72461575386876
"163","ENSG00000133321","ENSG00000240065",0.723889170902943
"164","ENSG00000204261","ENSG00000240065",0.723854936597122
"165","ENSG00000160307","ENSG00000095303",0.721142313774199
"166","ENSG00000182326","ENSG00000262001",0.720503810508129
"167","ENSG00000174348","ENSG00000139178",0.719833652846881
"168","ENSG00000159403","ENSG00000006042",0.719075565739481
"169","ENSG00000153029","ENSG00000131386",0.717994816080476
"170","ENSG00000204252","ENSG00000006756",0.717924677839771
"171","ENSG00000125730","ENSG00000222009",0.717550093660276
"172","ENSG00000242574","ENSG00000196735",0.717140858859242
"173","ENSG00000149131","ENSG00000101104",0.71696226857953
"174","ENSG00000166710","ENSG00000234745",0.716655721956651
"175","ENSG00000101104","ENSG00000101160",0.715704841070212
"176","ENSG00000198483","ENSG00000244509",0.714934851588267
"177","ENSG00000188501","ENSG00000125730",0.714034971321046
"178","ENSG00000133321","ENSG00000234745",0.713544498668895
"179","ENSG00000149131","ENSG00000262001",0.713062178266765
"180","ENSG00000006042","ENSG00000168306",0.709247623671773
"181","ENSG00000165633","ENSG00000204252",0.708664956150746
"182","ENSG00000163661","ENSG00000148735",0.708550100777121
"183","ENSG00000146122","ENSG00000110092",0.704974872369557
"184","ENSG00000005243","ENSG00000244509",0.704487655182657
"185","ENSG00000231852","ENSG00000128262",0.700249380519255
"186","ENSG00000113578","ENSG00000145721",0.699664574721028
"187","ENSG00000165633","ENSG00000110092",0.697511267612293
"188","ENSG00000149131","ENSG00000150977",0.697481631592646
"189","ENSG00000243649","ENSG00000166741",0.695045093492842
"190","ENSG00000163661","ENSG00000166741",0.690838959197118
"191","ENSG00000159403","ENSG00000150977",0.687143731187293
"192","ENSG00000157150","ENSG00000180638",0.686807917707144
"193","ENSG00000159403","ENSG00000148735",0.684421918542054
"194","ENSG00000231852","ENSG00000159403",0.682520046032201
"195","ENSG00000198734","ENSG00000107611",0.671274024197338
"196","ENSG00000133321","ENSG00000130055",0.671137504695177
"197","ENSG00000157150","ENSG00000166278",0.666647213329491
"198","ENSG00000129009","ENSG00000222009",0.666154017097015
"199","ENSG00000149131","ENSG00000157150",0.666010207245351
"200","ENSG00000056998","ENSG00000006756",0.665243711597151
"201","ENSG00000153029","ENSG00000262001",0.662982081352721
"202","ENSG00000197943","ENSG00000107611",0.662090347339793
"203","ENSG00000160307","ENSG00000198734",0.660345602985788
"204","ENSG00000204257","ENSG00000204287",0.6545058592158
"205","ENSG00000101104","ENSG00000005243",0.653955292679485
"206","ENSG00000171631","ENSG00000188488",0.652829715566266
"207","ENSG00000113578","ENSG00000160219",0.647409173717475
"208","ENSG00000160219","ENSG00000069535",0.640305332091731
"209","ENSG00000160307","ENSG00000197943",0.636661224118405
"210","ENSG00000153029","ENSG00000160219",0.635469165465358
"211","ENSG00000165633","ENSG00000006756",0.622394275665556
"212","ENSG00000149131","ENSG00000250942",0.620455462604924
"213","ENSG00000204257","ENSG00000026297",0.613556344701991
"214","ENSG00000164761","ENSG00000250942",0.605882097534615
"215","ENSG00000250942","ENSG00000069535",0.598653274283394
"216","ENSG00000249306","ENSG00000107611",0.597871722134712
"217","ENSG00000186204","ENSG00000244509",0.581999697528857
"218","ENSG00000056998","ENSG00000110092",0.578710814607653
"219","ENSG00000145721","ENSG00000132274",0.577613532653249
"220","ENSG00000145721","ENSG00000069535",0.576092015831007
"221","ENSG00000125730","ENSG00000163395",0.573937536131831
"222","ENSG00000186204","ENSG00000168306",0.569871378485279
"223","ENSG00000151468","ENSG00000140092",0.568415854042576
"224","ENSG00000151468","ENSG00000149131",0.552489769017506
"225","ENSG00000125730","ENSG00000151468",0.551259954431308
"226","ENSG00000107562","ENSG00000110092",0.54990079634286
"227","ENSG00000056998","ENSG00000166278",0.547793155574072
"228","ENSG00000204264","ENSG00000130055",0.5371015203399
"229","ENSG00000174348","ENSG00000163395",0.530041585848286
"230","ENSG00000240065","ENSG00000130055",0.52797471982082
"231","ENSG00000166710","ENSG00000134343",0.52746707469266
"232","ENSG00000198483","ENSG00000186204",0.516903871724696
"233","ENSG00000163395","ENSG00000128262",0.511504085046524
"234","ENSG00000206337","ENSG00000134343",0.509345885569977
"235","ENSG00000107562","ENSG00000165633",0.467485289325997
"236","ENSG00000107562","ENSG00000006756",0.444254349322369
"237","ENSG00000234745","ENSG00000134343",0.333437649860684
