"gene_ENSG","frequency"
"RPL19",2
"RPL22",2
"RPL30",2
"RPL31",2
"RRAGA",2
"RSF1",2
"RTFDC1",2
"RYK",2
"SACM1L",2
"SCAF1",2
"SCAMP4",2
"SCAP",2
"SEC14L1",2
"SEC31A",2
"SECISBP2",2
"SECISBP2L",2
"SENP3",2
"SENP6",2
"SEP15",2
"SH2B1",2
"SIK3",2
"SIN3B",2
"SIRT2",2
"SLC25A3",2
"SLC35A4",2
"SMAD2",2
"SMARCAD1",2
"SMARCE1",2
"SMU1",2
"SNX14",2
"SNX2",2
"SORCS1",2
"SOX12",2
"SPG11",2
"SPIN1",2
"SPTAN1",2
"SRP68",2
"SSRP1",2
"ST7L",2
"SUMO1",2
"SUPT5H",2
"SYNCRIP",2
"SYVN1",2
"TCEA1",2
"TCF25",2
"TCTN1",2
"TERF2IP",2
"TMED8",2
"TMEM106B",2
"TMEM129",2
"TMEM167A",2
"TMEM222",2
"TMEM55B",2
"TMEM59",2
"TPD52L2",2
"TRIM28",2
"TRIM36",2
"TRIM41",2
"TUSC2",2
"UBA3",2
"UBAP2L",2
"UBE2E1",2
"UBE2O",2
"UBE3B",2
"UBL7",2
"UBR7",2
"ULK3",2
"URGCP",2
"URM1",2
"USF2",2
"USP21",2
"USP39",2
"VPS26B",2
"VPS4A",2
"WASF3",2
"WBSCR22",2
"WDR48",2
"WHSC1L1",2
"XAB2",2
"XPO7",2
"YIPF3",2
"YWHAB",2
"ZDHHC20",2
"ZDHHC3",2
"ZNF251",2
"ZNF512",2
"ZNF606",2
"ZNF622",2
"ZNF76",2
"ZNF776",2
"ZSWIM8",2
"AAGAB",1
"ABCB7",1
"ABHD16A",1
"ABHD2",1
"AC007238.1",1
"AC016747.3",1
"ACO2",1
"ACOT13",1
"ACSS2",1
"ACTN1",1
"ADAM10",1
"ADAM22",1
"ADAM23",1
"ADARB1",1
"ADCY9",1
"ADNP",1
"ADO",1
"ADRM1",1
"AFG3L1P",1
"AFG3L2",1
"AGFG1",1
"AGO1",1
"AGO2",1
"AGO3",1
"AHCTF1",1
"AHCYL1",1
"AKAP13",1
"AKT2",1
"AKT3",1
"AKTIP",1
"ALKBH5",1
"ALS2",1
"ALYREF",1
"AMD1",1
"AMMECR1L",1
"ANAPC13",1
"ANAPC4",1
"ANKEF1",1
"ANKFY1",1
"ANKH",1
"ANKIB1",1
"ANKRD11",1
"ANKRD46",1
"ANKS1B",1
"ANKS3",1
"ANP32E",1
"ANXA7",1
"AP1M1",1
"AP2A1",1
"AP2A2",1
"AP2M1",1
"AP3M2",1
"APBA2",1
"APBB1",1
"APC",1
"AQR",1
"ARFGAP2",1
"ARFGAP3",1
"ARFIP1",1
"ARFIP2",1
"ARFRP1",1
"ARHGAP23",1
"ARHGAP33",1
"ARHGEF17",1
"ARHGEF28",1
"ARHGEF9",1
"ARID4B",1
"ARIH1",1
"ARL1",1
"ARL8B",1
"ARPC2",1
"ASAH1",1
"ASNA1",1
"ASXL2",1
"ATF6",1
"ATF6B",1
"ATG3",1
"ATM",1
"ATP13A1",1
"ATP2B1",1
"ATP5C1",1
"ATP5F1",1
"ATP6AP2",1
"ATP6V0A1",1
"ATP6V0D1",1
"ATP6V1E1",1
"ATP6V1F",1
"ATP6V1G2",1
"ATPAF1",1
"ATRNL1",1
"B4GALT2",1
"BACE1",1
"BAZ2A",1
"BBX",1
"BCAP31",1
"BCL2L13",1
"BCL2L2",1
"BCL9L",1
"BCR",1
"BLCAP",1
"BRAF",1
"BRD2",1
"BRD8",1
"BRD9",1
"BTBD1",1
"BTD",1
"BTF3L4",1
"BTRC",1
"C11orf49",1
"C16orf62",1
"C19orf43",1
"C19orf66",1
"C1orf43",1
"C22orf39",1
"C2orf49",1
"C3orf18",1
"C6orf89",1
"CAB39",1
"CACHD1",1
"CADM2",1
"CADPS",1
"CALM1",1
"CALU",1
"CAMK2D",1
"CAMK4",1
"CAMSAP2",1
"CAND1",1
"CAP1",1
"CAPN1",1
"CAPNS1",1
"CASC3",1
"CASC4",1
"CASP8AP2",1
"CBLL1",1
"CBX1",1
"CCDC12",1
"CCDC120",1
"CCDC25",1
"CCDC92",1
"CCNT1",1
"CCNT2",1
"CCT2",1
"CCT5",1
"CCT8",1
"CD2BP2",1
"CDAN1",1
"CDC16",1
"CDC37",1
"CDC40",1
"CDC42",1
"CDH2",1
"CELF1",1
"CEP120",1
"CEP57",1
"CEP89",1
"CES2",1
"CHD2",1
"CHD4",1
"CHD6",1
"CHD9",1
"CHKA",1
"CHMP3",1
"CHMP4B",1
"CHMP5",1
"CHN1",1
"CHRDL1",1
"CHTOP",1
"CIC",1
"CKAP5",1
"CKB",1
"CLCC1",1
"CLCN5",1
"CLCN6",1
"CLDN12",1
"CLNS1A",1
"CLTA",1
"CLTC",1
"CMTR1",1
"CNEP1R1",1
"CNGA1",1
"CNKSR2",1
"CNOT1",1
"CNOT10",1
"CNOT6L",1
"COL4A3BP",1
"COPA",1
"COPB2",1
"COPE",1
"COPS8",1
"COPZ1",1
"COQ4",1
"COX7A2",1
"COX7A2L",1
"CPLX2",1
"CPNE3",1
"CPT1C",1
"CRAMP1",1
"CRBN",1
"CRKL",1
"CRTAP",1
"CRTC3",1
"CSDE1",1
"CSK",1
"CSNK1G3",1
"CSNK2A1",1
"CSNK2A2",1
"CSNK2B",1
"CTAGE5",1
"CTDNEP1",1
"CTSB",1
"CTSD",1
"CUL5",1
"CWC15",1
"CWC22",1
"CYFIP2",1
"CYLD",1
"DCLK2",1
"DCLRE1A",1
"DCP1A",1
"DCTN3",1
"DCTN6",1
"DCTPP1",1
"DDAH1",1
"DDX19A",1
"DDX19B",1
"DDX6",1
"DEK",1
"DENND5B",1
"DENR",1
"DEXI",1
"DGKD",1
"DHX57",1
"DIDO1",1
"DIRAS1",1
"DLG2",1
"DMWD",1
"DNAJB6",1
"DNAJC14",1
"DNAJC2",1
"DNAL1",1
"DNM1",1
"DNM2",1
"DOCK3",1
"DOCK7",1
"DPH1",1
"DR1",1
"DTX3",1
"DUSP22",1
"EAF2",1
"EDF1",1
"EEF1G",1
"EFTUD2",1
"EGLN2",1
"EHMT1",1
"EIF1",1
"EIF2AK1",1
"EIF2B5",1
"EIF2D",1
"EIF3A",1
"EIF3D",1
"EIF3I",1
"EIF3L",1
"EIF4G1",1
"EIF5A",1
"ELOVL4",1
"EML4",1
"ENSA",1
"ENTPD4",1
"EP400",1
"EPB41L5",1
"EPS15L1",1
"EPS8",1
"EPT1",1
"ERCC2",1
"ERLEC1",1
"ERMARD",1
"ERP44",1
"EVI5L",1
"EXD2",1
"EXOC2",1
"EXOC5",1
"EXOSC10",1
"FAM102B",1
"FAM104B",1
"FAM120B",1
"FAM133B",1
"FAM134A",1
"FAM168A",1
"FAM3C",1
"FAM8A1",1
"FANCF",1
"FBRS",1
"FBXL3",1
"FBXO18",1
"FBXW11",1
"FCHSD2",1
"FEM1B",1
"FLII",1
"FOXK2",1
"FOXO3",1
"FSTL1",1
"FUZ",1
"FXR1",1
"FYN",1
"GABRB3",1
"GABRG2",1
"GAK",1
"GALE",1
"GALNT1",1
"GATAD1",1
"GCC2",1
"GGA1",1
"GGNBP2",1
"GID8",1
"GIGYF1",1
"GIGYF2",1
"GIPC1",1
"GIT1",1
"GIT2",1
"GLO1",1
"GLTSCR1L",1
"GLTSCR2",1
"GMPR2",1
"GNS",1
"GOLGA2",1
"GOLGA4",1
"GOLGA5",1
"GOLPH3",1
"GOLT1B",1
"GOT1",1
"GOT2",1
"GPATCH2",1
"GPATCH2L",1
"GPN1",1
"GRHPR",1
"GRK2",1
"GSK3A",1
"GSK3B",1
"GTF2F1",1
"GTF2H1",1
"GTF2H5",1
"GTF3C3",1
