from,to,distance
ENSG00000160307,ENSG00000162520,1.2835354317031644
ENSG00000160307,ENSG00000204261,1.1299339368672374
ENSG00000160307,ENSG00000182326,0.4990941018697314
ENSG00000160307,ENSG00000111801,0.26182036262244807
ENSG00000160307,ENSG00000206337,0.2212957955523199
ENSG00000160307,ENSG00000242574,0.007824903377390656
ENSG00000160307,ENSG00000188501,1.4083881351347558
ENSG00000160307,ENSG00000125730,1.0263459395515588
ENSG00000160307,ENSG00000095303,0.16601582288662925
ENSG00000160307,ENSG00000196735,0.03478198373769989
ENSG00000160307,ENSG00000079931,0.1642964120754605
ENSG00000160307,ENSG00000198734,0.014568148939138425
ENSG00000160307,ENSG00000243649,0.03910845145593426
ENSG00000160307,ENSG00000112936,0.006306427445671961
ENSG00000160307,ENSG00000231852,0.9541244903148698
ENSG00000160307,ENSG00000204264,0.25774200246642787
ENSG00000160307,ENSG00000153029,0.21516644086334752
ENSG00000160307,ENSG00000113578,1.2639527994129136
ENSG00000160307,ENSG00000198483,0.7785810973418616
ENSG00000160307,ENSG00000166710,1.4631720806339654
ENSG00000160307,ENSG00000107562,0.6536367885823441
ENSG00000160307,ENSG00000159403,0.3876515876423887
ENSG00000160307,ENSG00000133321,0.10342155450520535
ENSG00000160307,ENSG00000234745,1.1195006238420495
ENSG00000160307,ENSG00000204257,0.010578965229371896
ENSG00000160307,ENSG00000163661,1.3855221707557994
ENSG00000160307,ENSG00000151468,0.74850065087168
ENSG00000160307,ENSG00000204287,0.8771169162650435
ENSG00000160307,ENSG00000231389,0.39118320128952466
ENSG00000160307,ENSG00000149131,1.1435644794939983
ENSG00000160307,ENSG00000240065,0.9386951303691495
ENSG00000160307,ENSG00000129009,0.7083074705934695
ENSG00000160307,ENSG00000197943,0.5901593857539711
ENSG00000160307,ENSG00000056998,0.7339660613193686
ENSG00000160307,ENSG00000174348,0.4289924220876739
ENSG00000160307,ENSG00000026297,0.06415414829668038
ENSG00000160307,ENSG00000157150,1.2905284556989245
ENSG00000160307,ENSG00000101104,0.44433941691861945
ENSG00000160307,ENSG00000130055,0.27862421864175924
ENSG00000160307,ENSG00000222009,1.1972153091660116
ENSG00000160307,ENSG00000101160,0.2544137452534991
ENSG00000160307,ENSG00000171631,1.116366006671144
ENSG00000160307,ENSG00000160219,0.7854112498791779
ENSG00000160307,ENSG00000164761,0.8012931279767259
ENSG00000160307,ENSG00000166741,0.5816896700406099
ENSG00000160307,ENSG00000165633,0.12642729624936164
ENSG00000160307,ENSG00000140092,0.7788868129897815
ENSG00000160307,ENSG00000145721,2.8433200977032858
ENSG00000160307,ENSG00000186204,1.1005631876990185
ENSG00000160307,ENSG00000006042,0.330008059019139
ENSG00000160307,ENSG00000188488,0.547789512791179
ENSG00000160307,ENSG00000250942,1.5468826512639229
ENSG00000160307,ENSG00000163395,1.4003473506543802
ENSG00000160307,ENSG00000005243,0.743988348384644
ENSG00000160307,ENSG00000204482,1.1542284088581312
ENSG00000160307,ENSG00000168306,0.6112925095122129
ENSG00000160307,ENSG00000010704,0.7993807582600092
ENSG00000160307,ENSG00000181804,0.27717016115468285
ENSG00000160307,ENSG00000180638,0.4459056777704456
ENSG00000160307,ENSG00000164106,0.02086980589455421
ENSG00000160307,ENSG00000249306,1.129191228821271
ENSG00000160307,ENSG00000107611,0.7081565209257609
ENSG00000160307,ENSG00000134343,0.37256341690161165
ENSG00000160307,ENSG00000205542,1.9075008772946078
ENSG00000160307,ENSG00000244509,0.25144563304370926
ENSG00000160307,ENSG00000139178,0.09376330684987158
ENSG00000160307,ENSG00000163453,0.12232753953901053
ENSG00000160307,ENSG00000150977,0.9593874074222852
ENSG00000160307,ENSG00000132274,0.11367298348422511
ENSG00000160307,ENSG00000146122,0.049263973142433755
ENSG00000160307,ENSG00000100055,1.1991517168317787
ENSG00000160307,ENSG00000166278,0.5065632577757789
ENSG00000160307,ENSG00000069535,0.5257022690734366
ENSG00000160307,ENSG00000110092,0.030910746347248667
ENSG00000160307,ENSG00000128262,1.2838076090981483
ENSG00000160307,ENSG00000262001,0.6941789055621876
ENSG00000160307,ENSG00000131386,0.5555259342949478
ENSG00000160307,ENSG00000148735,0.7703447953972886
ENSG00000160307,ENSG00000204252,0.32359302427159387
ENSG00000160307,ENSG00000006756,0.10489698398216002
ENSG00000162520,ENSG00000204261,0.031247585526662888
ENSG00000162520,ENSG00000182326,1.9190352640313022
ENSG00000162520,ENSG00000111801,1.1216638461854935
ENSG00000162520,ENSG00000206337,0.859406999894271
ENSG00000162520,ENSG00000242574,1.1646621253520029
ENSG00000162520,ENSG00000188501,0.06987928546349165
ENSG00000162520,ENSG00000125730,2.2470001864899403
ENSG00000162520,ENSG00000095303,0.796674572638962
ENSG00000162520,ENSG00000196735,1.2316747046378578
ENSG00000162520,ENSG00000079931,1.5276504343048871
ENSG00000162520,ENSG00000198734,1.0907828704914222
ENSG00000162520,ENSG00000243649,1.2355457669309997
ENSG00000162520,ENSG00000112936,1.255074588337016
ENSG00000162520,ENSG00000231852,0.09870338790000789
ENSG00000162520,ENSG00000204264,1.1534159109557436
ENSG00000162520,ENSG00000153029,0.9757758345896068
ENSG00000162520,ENSG00000113578,3.4222117886740273
ENSG00000162520,ENSG00000198483,0.8244573436518411
ENSG00000162520,ENSG00000166710,2.704236408064074
ENSG00000162520,ENSG00000107562,0.8299510768891165
ENSG00000162520,ENSG00000159403,1.7660272948436946
ENSG00000162520,ENSG00000133321,1.2682044339198988
ENSG00000162520,ENSG00000234745,2.3964284227134307
ENSG00000162520,ENSG00000204257,1.2733727168112554
ENSG00000162520,ENSG00000163661,0.04455824143444735
ENSG00000162520,ENSG00000151468,0.8955421031188125
ENSG00000162520,ENSG00000204287,2.166052846732394
ENSG00000162520,ENSG00000231389,1.847866525336392
ENSG00000162520,ENSG00000149131,2.38327599997969
ENSG00000162520,ENSG00000240065,0.18032178070971733
ENSG00000162520,ENSG00000129009,0.2645631888622646
ENSG00000162520,ENSG00000197943,0.48124838475583687
ENSG00000162520,ENSG00000056998,0.7675851916066536
ENSG00000162520,ENSG00000174348,0.49332618029139297
ENSG00000162520,ENSG00000026297,1.9977850472064138
ENSG00000162520,ENSG00000157150,0.0007211978295175633
ENSG00000162520,ENSG00000101104,0.9759470339994487
ENSG00000162520,ENSG00000130055,1.5096838343901062
ENSG00000162520,ENSG00000222009,0.030627502527836054
ENSG00000162520,ENSG00000101160,2.367123670109817
ENSG00000162520,ENSG00000171631,0.028088441944110122
ENSG00000162520,ENSG00000160219,0.746063692417278
ENSG00000162520,ENSG00000164761,0.19481566115158003
ENSG00000162520,ENSG00000166741,0.3586348991622253
ENSG00000162520,ENSG00000165633,2.274039864769573
ENSG00000162520,ENSG00000140092,0.22201736390388604
ENSG00000162520,ENSG00000145721,4.741873730552419
ENSG00000162520,ENSG00000186204,0.06612850798688794
ENSG00000162520,ENSG00000006042,2.9308074485798263
ENSG00000162520,ENSG00000188488,1.9060793079696239
ENSG00000162520,ENSG00000250942,0.11904315541295962
ENSG00000162520,ENSG00000163395,0.0744543154902627
ENSG00000162520,ENSG00000005243,1.0329210195029606
ENSG00000162520,ENSG00000204482,0.017270542325735095
ENSG00000162520,ENSG00000168306,1.238000345803092
ENSG00000162520,ENSG00000010704,0.4771120398515962
ENSG00000162520,ENSG00000181804,0.7722868158143678
ENSG00000162520,ENSG00000180638,0.473197870078167
ENSG00000162520,ENSG00000164106,1.2192009690395724
ENSG00000162520,ENSG00000249306,0.08426447884299809
ENSG00000162520,ENSG00000107611,3.2672255574281976
ENSG00000162520,ENSG00000134343,0.5600706013799782
ENSG00000162520,ENSG00000205542,3.3490071279148523
ENSG00000162520,ENSG00000244509,1.8446207327810251
ENSG00000162520,ENSG00000139178,1.3342237122491825
ENSG00000162520,ENSG00000163453,1.648668047618514
ENSG00000162520,ENSG00000150977,0.4139884973020605
ENSG00000162520,ENSG00000132274,1.6995933007641202
