"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t1","c1_3",-1.81101956965047,3.11732876743114,-5.32981744032236,1.30285329667944e-06,2.60920338890033e-06
"t3","c1_7",-1.66748167635641,2.87025534454792,-5.27458589509995,1.59824521683256e-06,2.60920338890033e-06
"t2","c1_5",-1.20699069497516,2.07760693397364,-5.14949083856147,2.40194958077836e-06,2.60920338890033e-06
"t","c1_2",-1.58994044114142,2.7367827265549,-5.13844373772274,2.60920338890033e-06,2.60920338890033e-06
