"","Module","Mean","SD","Median","Min","Max"
"c1_2","c1_2",5.32361040496489e-17,4.99137523803621,-1.28858424455246,-4.39412734578528,23.2862536357565
"c1_3","c1_3",5.77293222333265e-17,4.76019174081728,-1.37971853654022,-4.39396944278469,20.163113282588
"c1_5","c1_5",8.81580782873459e-19,4.38515356708677,-0.827010523696734,-3.95106753562965,19.1968128795801
"c1_7","c1_7",-6.83936058971184e-17,3.09615071102207,-1.06530923847265,-2.55628431794431,12.9748332548881
"c1_9","c1_9",1.81890022169634e-16,2.68778596955858,-0.821779260310152,-2.80780754378188,12.1033916987765
