"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t1","c1_3",-1.53520018381985,2.64255769346039,-5.54473691499016,4.95303614667876e-07,2.1728779661612e-06
"t6","c1_8",-1.05519269049811,1.81631528692297,-5.37531414123637,8.09018553903546e-07,2.1728779661612e-06
"t5","c1_7",-1.11655514496712,1.9219391839598,-5.40009527025534,9.31233414069084e-07,2.1728779661612e-06
"t2","c1_4",-1.31359993456863,2.2611146414706,-5.10382731328394,2.89650750667485e-06,5.06888813668099e-06
"t","c1_2",-1.88238053933927,3.24016322345285,-5.01484322817905,4.25785577315216e-06,5.96099808241303e-06
"t4","c1_6",-0.912104337962896,1.57001566370662,-4.72528350227249,1.24979300963998e-05,1.45809184457998e-05
"t3","c1_5",-1.0003699166461,1.72194821717771,-4.54316431457996,2.36140577060088e-05,2.36140577060088e-05
