"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t2","c1_5",-1.30745008865914,2.25052884113459,-5.1569795656043,2.51379916562129e-06,7.54139749686386e-06
"t","c1_2",-1.15072289284343,1.9807525204682,-4.7516891977234,1.11636147412361e-05,1.67454221118541e-05
"t1","c1_3",-1.1809129159718,2.03271895372196,-4.64772471856705,1.68109634040721e-05,1.68109634040721e-05
