sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
149,0.061124418,0.10313985,0.17335463,-0.10021752,-0.10744599,-0.07147692,-0.07903214,-0.2313786,0.033768706,-0.0026494507,0.25431946,-0.13364597,0.32169315,-0.0435913,0.06677578,0.16096674,MGS1
153,0.055947017,0.10748534,0.15361886,-0.07214096,-0.08106574,-0.06641721,-0.03063877,-0.1787937,0.007900275,-0.0010965173,0.16690494,-0.11641639,0.253099,-0.02821022,0.049930904,0.13099697,MGS1
162,0.015864167,0.04716498,0.077430435,-0.055607293,-0.08038596,-0.039265633,-0.030196898,-0.123906195,0.0071923584,0.014104516,0.12675604,-0.08693432,0.15607613,-0.03334383,0.050398547,0.0779804,MGS1
163,0.014204528,0.01758545,0.038849276,-0.011568705,-0.027237076,-0.023678573,0.010499876,-0.004958201,0.008256277,-0.020478586,0.020835988,-0.019476477,0.056388713,0.020356746,0.031637553,0.016226968,MGS1
172,-0.0057048285,-0.019950401,-0.0082311155,0.021524603,0.010946037,0.018235903,-0.032395102,-0.017523777,-0.0114543475,-0.0026478884,-0.025121234,0.012773048,-0.019261807,-0.004632378,0.002011517,-0.00261671,MGS1
173,0.054405686,0.04477224,0.08091579,-0.043335505,-0.062990725,-0.045512203,-0.057494715,-0.123914376,0.024144901,-0.00051012123,0.1164471,-0.05731249,0.16620073,-0.036714494,0.03131277,0.08153697,MGS1
177,0.010247223,0.0477383,0.0545687,-0.029520566,-0.04875867,-0.040827096,-0.017006638,-0.0563808,0.01505026,-0.012309577,0.06633804,-0.045643553,0.1026314,-0.017984191,0.013977826,0.053170253,MGS1
189,-0.007867183,0.025919745,0.032833003,-0.017586606,-0.0013890332,-0.02066761,-0.008809929,-0.051525146,0.011751672,-0.000478992,0.046523564,-0.016407944,0.05435185,-0.0023007058,-0.01218423,0.06018521,MGS1
217,0.02727874,0.05753221,0.093521774,-0.044159032,-0.07931448,-0.034021083,-0.041594464,-0.13727385,0.031170921,0.008074584,0.16795978,-0.09339934,0.21357614,-0.05517021,0.04692818,0.097907856,MGS1
218,0.007716831,0.056354765,0.05735219,-0.017390994,-0.05357053,-0.035857033,-0.06190769,-0.10961777,0.01609244,-0.0007945162,0.094811276,-0.06503032,0.122791804,-0.04494971,0.001125643,0.07763017,MGS1
229,0.04298803,0.09799659,0.15409605,-0.08120643,-0.111653544,-0.07521764,-0.072082125,-0.21472415,0.026767531,-0.007087581,0.20568877,-0.14296205,0.27479854,-0.039835934,0.06489519,0.14833574,MGS1
237,-0.022719003,-0.011609111,-0.029194217,0.008376725,-0.002335345,0.002701865,0.0131729245,0.045883954,0.022540098,0.01022139,-0.048229247,-0.014973667,-0.05433327,-0.00011704676,-0.015402378,-0.006379104,MGS1
243,0.014064375,0.058793586,0.067635655,-0.030338453,-0.027763175,-0.022002624,-0.0010669958,-0.055329993,-0.0036576968,-0.005132869,0.06572969,-0.057352923,0.11137673,-0.015312695,0.022199862,0.04627678,MGS1
246,0.04074319,0.13059174,0.19210951,-0.08050451,-0.13498041,-0.108459376,-0.0850451,-0.2668798,0.05333776,-0.0019688806,0.25983542,-0.17582786,0.35373515,-0.0636581,0.067643344,0.18250978,MGS1
251,0.03962045,0.07322078,0.0988882,-0.048955806,-0.077857465,-0.05213589,-0.050074946,-0.14621578,0.032215223,0.0011375344,0.1628904,-0.09546101,0.21102187,-0.05015344,0.025909148,0.10712091,MGS1
254,-0.012162631,-0.00730557,-0.025274139,0.0116858445,-0.018821163,0.0118706655,-0.023815874,-0.040321447,0.008785641,-0.0009666288,0.008757215,-0.037561953,0.00046516582,-0.0022741538,0.009709438,0.011614084,MGS1
264,0.0074631665,-0.008742623,-0.03538314,0.02362855,0.0464058,0.017607206,0.023362432,0.079332635,0.00028742664,-0.018905977,-0.07121501,0.036645286,-0.0819586,0.02049874,-0.003433749,-0.03609532,MGS1
265,-0.019090133,-0.0035768524,-0.036267944,0.025363596,-0.02218836,-0.012230877,-0.00050544715,0.016682759,0.004570931,-0.006311925,0.006036032,0.014295952,-0.013877835,-0.0008438416,0.0016282639,0.0015903767,MGS1
266,0.06307787,0.098619774,0.14603782,-0.07474071,-0.11165734,-0.07875174,-0.050049815,-0.18909444,0.013942512,0.025900569,0.19194633,-0.12801962,0.27907103,-0.058212966,0.038981948,0.12509216,MGS1
286,0.02363642,0.03725349,0.08153173,-0.046414055,-0.08021864,-0.044904914,-0.070120506,-0.11348343,0.023530623,-0.032784123,0.12054396,-0.081176676,0.1458754,-0.02071112,0.036594946,0.085341,MGS1
288,0.02311112,0.055948094,0.07591361,-0.039175816,-0.062216565,-0.04987011,-0.06417414,-0.13648279,0.014473798,0.0026143005,0.10960248,-0.082178935,0.15893078,-0.021513693,0.014741075,0.10694989,MGS1
291,0.041451823,0.05198788,0.10283608,-0.04638812,-0.07664049,-0.04721045,-0.04376136,-0.13433167,0.006899275,-0.004536297,0.14294052,-0.09746395,0.16919756,-0.032857683,0.023232732,0.10349862,MGS1
292,0.067515135,0.12810995,0.15772167,-0.104690775,-0.114341654,-0.077285185,-0.027781678,-0.15825288,0.038358502,-0.011508803,0.2021468,-0.12580317,0.30055627,-0.020478465,0.05607349,0.11597142,MGS1
293,-0.0048228092,0.035898507,0.049628623,-0.02961214,-0.0689919,-0.033008892,-0.04891174,-0.13045566,0.018131351,-0.012381616,0.12720853,-0.05536253,0.13838765,-0.04274279,0.03160783,0.07120065,MGS1
295,0.01336766,0.06035617,0.101145044,-0.04185519,-0.06327374,-0.04399002,-0.043093543,-0.11665568,0.01332557,-0.006388055,0.122343116,-0.06443174,0.15346217,-0.022448994,0.017526237,0.081873134,MGS1
307,0.034117624,0.03856166,0.0853289,-0.03612638,-0.06642845,-0.037854597,-0.055845484,-0.112303,0.010480223,0.0073607494,0.13283035,-0.06433065,0.15292697,-0.047849696,0.035783116,0.06094166,MGS1
308,0.014987882,0.023256397,0.040835414,-0.030133734,-0.04351063,-0.031430647,-0.0067534316,-0.048165254,0.017798522,0.00974343,0.05776731,-0.024170473,0.07327965,-0.01457993,0.023411501,0.051308554,MGS1
311,0.041553542,0.0724211,0.15173587,-0.05724935,-0.106514126,-0.058265645,-0.07592483,-0.17969258,0.011821711,0.0007957809,0.16654068,-0.1272263,0.22691539,-0.05455977,0.028863031,0.123899646,MGS1
313,0.027069677,0.04663323,0.06638532,-0.03318393,-0.04329957,-0.03436281,-0.023218257,-0.05669587,0.019045351,0.004856904,0.07788929,-0.0542162,0.1293044,-0.021383578,0.02143322,0.036434665,MGS1
314,0.010560492,0.0030996418,-0.009550481,-0.0047399825,0.00412493,0.012948121,0.013724238,0.038515333,0.0078030024,0.009344637,-0.035933696,0.0019653654,-0.030847184,0.00093540177,0.004383674,-0.034595106,MGS1
315,0.03215163,0.07001607,0.09297448,-0.045552835,-0.073328465,-0.04474521,-0.032084692,-0.10676399,-0.0028460044,0.0031883558,0.12895176,-0.06822107,0.15514547,-0.0038927495,0.02728219,0.08649749,MGS1
316,0.041399825,0.1257562,0.14753118,-0.082428746,-0.11987674,-0.09494921,-0.07737948,-0.20844409,0.06483525,-0.016827775,0.22492322,-0.15322013,0.293182,-0.043674763,0.078424424,0.13263011,MGS1
317,0.025151655,0.06853917,0.10598553,-0.026757086,-0.07235883,-0.049970735,-0.059919957,-0.122762665,0.020424115,0.002060218,0.14604214,-0.07074073,0.17123762,-0.030911222,0.037214957,0.08309962,MGS1
318,0.039340526,0.08214635,0.13966355,-0.04696587,-0.12531637,-0.053931396,-0.07232338,-0.18871734,0.03773567,-0.017419118,0.18627787,-0.12136633,0.22958004,-0.0350356,0.05072964,0.12685516,MGS1
319,0.022244543,0.04781386,0.068776965,-0.032895382,-0.017811071,-0.023176864,-0.0065388936,-0.048348956,-0.007964648,-0.0007640617,0.053812288,-0.019173177,0.09572149,-0.022506602,0.0195381,0.08042242,MGS1
320,-0.009801881,-0.009587094,0.0030891811,0.013404692,0.029701082,0.009565948,-0.0083795125,-0.0032552853,-0.020884985,0.006349546,-0.007673785,0.00123474,-0.0022100545,-0.0020717978,-0.00075358525,-0.0039226683,MGS1
321,0.028742984,0.090963975,0.10189035,-0.03112462,-0.07915018,-0.04711312,-0.05539883,-0.17070305,0.023405021,0.0068804924,0.14522819,-0.08697029,0.21320194,-0.050012626,0.044682052,0.11887157,MGS1
322,0.03267974,0.10820341,0.13715474,-0.061948586,-0.107573435,-0.07732914,-0.04422381,-0.17346457,0.04829569,-0.0023789494,0.20511815,-0.10266238,0.26451942,-0.04948934,0.046539396,0.12512556,MGS1
324,0.025041074,0.07310347,0.10683785,-0.06446316,-0.092743665,-0.065910496,-0.066517405,-0.15043494,0.016314672,0.009096657,0.16725418,-0.10068766,0.1998677,-0.041415233,0.025179226,0.09393445,MGS1
335,0.061572555,0.09217109,0.14514433,-0.07317409,-0.10024641,-0.07506643,-0.07544755,-0.22446631,0.035302162,-0.0078165,0.20648196,-0.15283644,0.3106655,-0.03783791,0.04755288,0.13750044,MGS1
347,0.04124217,0.083989665,0.14777283,-0.06874059,-0.12931234,-0.103455804,-0.10106822,-0.19567148,0.050864115,-0.0010858881,0.21892032,-0.1445767,0.27925375,-0.06856965,0.05577993,0.1267004,MGS1
348,0.018291399,0.057217043,0.057577256,-0.029211277,-0.03861031,-0.028908405,-0.040405944,-0.07946605,0.011740843,0.007187044,0.10042332,-0.082462326,0.13057916,-0.0022364333,0.03352581,0.04129624,MGS1
349,0.003011983,0.020114642,0.039025977,-0.009794384,-0.0135207465,-0.016460074,-0.010944404,-0.032256596,0.029874774,-0.015629916,0.049424548,-0.027189571,0.06221012,0.011297701,0.053633906,0.0119825965,MGS1
350,0.04210267,0.074299574,0.100503705,-0.07397501,-0.07750391,-0.040022027,-0.03038027,-0.13520291,0.034633376,0.01130498,0.13130969,-0.08514116,0.19490996,-0.033642117,0.040140226,0.1009621,MGS1
351,-0.049719796,-0.107675165,-0.13065141,0.069665276,0.090966314,0.046101205,0.072840884,0.18822485,-0.012634998,0.013134701,-0.18039843,0.14654861,-0.2363747,0.061141253,-0.027180396,-0.12019444,MGS1
352,0.05149616,0.14957365,0.19961089,-0.09467891,-0.10136631,-0.07593512,-0.07742492,-0.22553267,0.047694117,-0.0048333528,0.25572544,-0.12690215,0.3138756,-0.053853452,0.05887191,0.15993127,MGS1
353,0.0039167684,0.008164459,0.022734169,-0.0030923137,-0.010571762,0.0071045314,-0.00804262,-0.01114995,0.011332372,-0.005561834,0.028662553,-0.021868376,0.048779868,-0.024404846,0.01555512,0.0018119896,MGS1
354,-0.016968083,-0.045903843,-0.05537352,0.0441192,0.021056367,0.038471583,0.01734099,0.06307938,-0.018948887,0.00050933403,-0.090558104,0.044751838,-0.093432374,0.009477394,-0.0074580573,-0.05150521,MGS1
355,0.040754702,0.088429704,0.098759316,-0.05267378,-0.0893169,-0.056570783,-0.05440837,-0.15513138,0.0479728,0.00063434115,0.18320683,-0.09137899,0.23273021,-0.039197527,0.04431317,0.10958519,MGS1
356,-0.0059356196,0.049267482,0.059348766,-0.03356391,-0.02950799,-0.012900666,-0.0013287351,-0.06014511,-0.0037950184,-0.006200376,0.062588125,-0.03540647,0.08733469,-0.0071294885,0.026087906,0.050287448,MGS1
375,-0.0029416243,0.0010312097,0.023124529,-0.0040142904,-0.032078855,0.002559988,0.0007652461,-0.01820214,0.015012061,-0.010188332,0.013829682,0.0009860508,0.016093489,-0.016306777,0.003640841,0.026045352,MGS1
376,0.0016252752,0.0004787203,0.013333461,-0.020611113,0.0068755057,0.013822388,-0.0031882115,0.009413917,-0.019969776,0.005676829,0.0063785985,-0.02004611,-0.0016808584,0.008171221,0.0039170687,0.0049295463,MGS1
377,0.008171236,0.07811562,0.104067154,-0.046123963,-0.056886233,-0.020320848,-0.0452859,-0.12021275,0.024541764,-0.005975279,0.1464541,-0.06441928,0.18165925,-0.024349168,0.02786865,0.083486766,MGS1
379,0.033842873,0.06063529,0.09066834,-0.056497097,-0.07099703,-0.060971357,-0.035105206,-0.123995095,0.022045536,0.0030313984,0.14194813,-0.09709838,0.16914433,-0.037311964,0.038873523,0.08518839,MGS1
384,0.0046028458,-0.048755426,-0.06967922,0.020936573,0.028340844,0.027786551,0.030453227,0.087341204,0.022204192,-0.008415356,-0.078150906,0.042518914,-0.09967076,0.016182868,-0.023027897,-0.07253132,MGS1
386,0.048840743,0.0971317,0.15810363,-0.05657443,-0.106670916,-0.055427924,-0.067215055,-0.20812112,0.030242277,0.01539762,0.19113243,-0.12974355,0.27157438,-0.06076826,0.039017174,0.13854577,MGS1
389,0.024992168,0.013927963,0.026899371,-0.0045472053,-0.040261157,-0.033959534,-0.02011121,-0.055365272,-0.0013879184,0.00064112025,0.027907152,-0.037218682,0.0847999,-0.03193871,0.0022512765,0.041790355,MGS1
