from,to,weight
C1R,SERPING1,0.3263207413990842
C1R,HLA-DRA,0.11889879229654161
C1R,B2M,0.08500780134861312
C1R,APOBEC3C,0.0040670826219073655
C1R,HLA-DPA1,0.08496607982031526
C1R,MAOB,0.06134736834572826
C1R,SLC18B1,0.041009746264107055
C1R,SNX19,0.0
C1R,AL365181.1,0.000943825360347495
C1R,TRMT5,0.028772235088606112
C1R,TRAPPC2,0.017225819452756128
C1R,TMEM19,0.022567442093784217
C1R,TP53I11,0.016555343281287264
C1R,RP1-101K10.6,0.023291498282857984
C1R,COL2A1,0.0
C1R,RP3-406A7.7,0.06535251392776785
C1R,CXCR6,0.0
C1R,PNPLA7,0.014104946384626029
C1R,RNF168,0.0505461110590677
C1R,GLRX5,0.017798902987802782
C1R,MTFR1L,0.011805522141991836
C1R,RPS6KA5,0.06781501784196478
C1R,BPHL,0.0
C1R,TAGAP,0.03649195664200461
C1R,OPCML,0.0
C1R,RP11-92K15.3,0.004206196786627388
C1R,ZWINT,0.0
C1R,KCTD21,0.0
C1R,CDC42EP1,0.04795421580425667
C1R,PCDHA10,0.01367336120772916
C1R,TRIM21,0.05326597540629394
C1R,LINC01278,0.003343026432833614
C1R,CDH22,0.048286024151301586
C1R,DUSP7,0.0313224088151193
C1R,FAM35A,0.09680258227491238
C1R,SACS,0.026442234389978888
C1R,OAZ3,0.01611189961508337
C1R,EIF3F,0.0
C1R,PPARD,0.016323311764094264
C1R,EIF1B,0.002087608237011059
C1R,CAMK1G,0.0119863578350097
C1R,RP11-429P3.8,0.0021992435561700406
C1R,IFI16,0.07651615601746631
C1R,RP11-417L19.5,0.03508556579215498
C1R,SRGAP1,0.05394759665006763
C1R,MTRF1,0.0
C1R,TRAM2-AS1,0.03795878698683806
C1R,API5,0.037303931171623235
C1R,ATP11B,0.044371894520238854
C1R,C2CD3,0.0050300298055530645
C1R,ZNF3,0.012529578331065579
C1R,AC024560.3,0.0
C1R,PRPH,0.008735844898036855
C1R,RAB17,0.02221691578005333
C1R,SRF,0.05818477374930028
C1R,AL022393.9,0.0
C1R,CREBL2,0.056329041701098585
C1R,ZNF609,0.0
C1R,ERICH2,0.0
C1R,CARMIL2,0.01941670598666333
C1R,PDXP,0.021323168970266506
C1R,LRRC6,0.04444109489409778
C1R,KRBA2,0.018049652471681776
C1R,RPS15,0.015780091268038424
C1R,HIGD1A,0.0756345162252152
C1R,GHITM,0.017910538306961755
C1R,RP11-395A13.2,0.03609094792110074
C1R,FRMD6,0.0
C1R,RPS12,0.030860960599231612
C1R,GALNT7,0.02160449491013856
C1R,CMB9-55F22.1,0.026985454886034738
C1R,LPAR1,0.06903985958179429
C1R,LRRC39,0.06306494817444065
C1R,CDR2L,0.03688420448403337
C1R,PTPN5,0.0
C1R,LCMT1,0.016474284418121325
C1R,ACRBP,0.04700312710991802
C1R,MTND2P28,0.0
C1R,SLC45A3,0.0
C1R,ZNF446,0.0
C1R,FSTL4,0.0
C1R,TNFRSF10D,0.036129571838966604
C1R,P4HA2,0.04416048237122797
C1R,CTD-2369P2.12,0.013673361207729143
C1R,LINC00652,0.0
C1R,DMAP1,0.0035937759167126086
C1R,SPATA18,0.0
C1R,CERS2,0.1184373440806539
C1R,TBX3,9.25134958607684e-05
C1R,CXXC4,0.05248386391566617
C1R,DUSP27,0.0
C1R,ELOVL5,0.0
C1R,TTC21A,0.010480903572310352
C1R,LONRF3,0.0032432496029816886
C1R,RACGAP1,0.020641547726492845
C1R,IL1RAP,0.0
C1R,RP11-6L6.2,0.010311212951597306
C1R,RP11-480I12.5,0.011204959761384123
C1R,NSUN4,0.006104612308357736
C1R,BRPF1,0.0
C1R,CEP57,0.02655386970913786
C1R,PPARGC1B,0.02156277338184068
C1R,NEDD1,0.0045380051336723045
C1R,NPIPB4,0.004861052601842211
C1R,RP11-1280N14.3,0.0025616283592080173
C1R,ANKRD36B,0.011986357835009728
C1R,GYS1,0.06910977337265539
C1R,QTRT1,0.011123187481215954
C1R,CASP8,0.0023800792491879327
C1R,SAFB2,0.03217372067960606
C1R,NLRP3P1,0.0
C1R,FBXO8,0.0
C1R,NRROS,0.0
C1R,PLPP3,0.010230154088431403
C1R,ZBTB7C,0.0
C1R,USP24,0.04182172079372567
C1R,MAMDC2-AS1,0.0
C1R,MDM4,0.013561725888570169
C1R,CLUH,0.0
C1R,LRRC28,0.03183505285518216
C1R,MFSD3,0.009155571585626705
C1R,DYX1C1,0.006687170139281657
C1R,TMEM98,0.02831007345571622
C1R,SNRNP27,0.016443707962128292
C1R,MAN2B2,0.010550103946169263
C1R,RPSAP41,0.031210773495960367
C1R,CNNM2,0.0
C1R,MSI2,0.004429467424945333
C1R,AC002310.12,0.030610211115352615
C1R,MDN1,0.09841967185677071
C1R,RP11-793H13.10,0.021393082761127644
C1R,RIMS2,0.090245069606521
C1R,KCND3,0.044371894520238854
C1R,USP48,0.03293711420354786
C1R,ZNF106,0.036923541818901465
C1R,MATR3,0.07531456636747727
C1R,RTN4R,0.06686982667977422
C1R,GRIK2,0.044079423508062016
C1R,ZNF827,0.016053844313529284
C1R,ICMT,0.007610779988059258
C1R,HMX1,0.016000264295924386
C1R,CD47,0.09788830985002189
C1R,FYN,0.038027987360696985
C1R,AC003075.4,0.0
C1R,TMPO-AS1,0.04569651308992032
C1R,AMPD3,0.0013360732023762938
C1R,LINC00667,0.015692172927493527
C1R,ZNF696,0.0028116644260847926
C1R,CTD-2047H16.4,0.011955781379016686
C1R,AC073052.1,0.014285782077643912
C1R,RP11-949J7.8,0.001906772543993176
C1R,CNOT8,0.0
C1R,NUCB1,0.03182319436587513
C1R,CD3EAP,0.0275978757559495
C1R,MAP4,0.0
C1R,ABC14-1188822O7.1,0.0
C1R,ACTB,0.04176128129874184
C1R,CLDN1,0.024797665962559515
C1R,PLA2G7,0.0
C1R,MGST2,0.0
C1R,RP5-857K21.4,0.0
C1R,PPP2R1A,0.003050555420656758
C1R,RP11-632C17__A.1,0.04530426524789152
C1R,KCNH1,0.03541737413919995
C1R,XXbac-BPG116M5.17,0.009354834595206057
C1R,AC072062.1,0.0
C1R,PNPLA8,0.0
C1R,ACSF3,0.0
C1R,TANK,0.0
C1R,YTHDF1,0.0020994667263181063
C1R,HYDIN,0.07503324042760527
C1R,AP4E1,0.007160476844476386
C1R,RBP1,0.043016699494564374
C1R,TRIP12,0.019736655844401256
C1R,FAAH,0.0
C1R,KRT8P12,0.022036080087035413
C1R,COX15,0.012529578331065569
C1R,LMTK3,0.01630459379740828
C1R,SNX11,0.0
C1R,HBB,0.0
C1R,ALAD,0.0788454432990913
C1R,SLC16A9,0.026803905776014634
C1R,RP11-344N10.5,0.0
C1R,SAMD11,0.012861386678110504
C1R,B3GAT3,0.062128766419353804
C1R,PWWP2B,0.017478953130064884
C1R,TPBGL,0.0
C1R,KLRC1,0.010591825474467133
C1R,GTF2A2,0.05969094142900179
C1R,C14orf169,0.0036049209890174545
C1R,NDUFS4,0.036340983987977554
C1R,PTP4A1,0.0
C1R,DPEP1,0.0
C1R,MYL12B,0.058097103936984015
C1R,BCAP29,0.010299354462290277
C1R,LRFN1,0.0020994667263181063
C1R,EYA2,0.0014446109111032833
C1R,RP11-510M2.2,0.0
C1R,GCNT1P1,0.0
C1R,RNF10,0.0
C1R,NRSN1,0.0
C1R,AC142472.6,0.0
C1R,ZNF271P,0.023291498282857977
C1R,CCDC24,0.00466835841951728
C1R,RP11-16N11.2,0.029466428238689033
C1R,AC092192.1,0.032213058014474105
C1R,RBM11,0.03174213550270915
C1R,COL4A3,0.006074035852364685
C1R,RBM23,0.0
C1R,TMEM183A,0.0
C1R,ARMCX5,0.037315789660930285
C1R,MRPS21,0.0
C1R,TEPSIN,0.059708945978685556
C1R,RP11-212I21.2,0.05704099087263669
C1R,PEX11A,0.026192198323102076
C1R,ECI2,0.0
C1R,SFXN1,0.012429801501213616
C1R,HUNK,0.0
C1R,TMEM158,0.0
C1R,COL19A1,0.0
C1R,ARPC4,0.0
C1R,TCEA3,0.0
C1R,MED29,0.0
C1R,SLC20A2,0.02509914638184008
C1R,DAAM1,0.0
C1R,NIF3L1,0.03865013105471763
C1R,LLPH,0.0
C1R,EGFL6,0.0
C1R,AP5Z1,0.0
C1R,RP11-474G23.2,0.0
C1R,SAPCD1-AS1,0.0
C1R,PROX1-AS1,0.0
C1R,ACY1,0.06068375165163832
C1R,MDH1B,0.054841343459854426
C1R,ZNF658,0.02461611685253942
C1R,PLEK,0.03114085970509922
C1R,RP11-115C21.2,0.020017268367271062
C1R,HDHD2,0.01622353493424234
C1R,CACNA1H,0.0028116644260848104
C1R,SDS,0.05344609768230962
C1R,RP11-435O5.4,0.0
C1R,RP11-498C9.15,0.0
C1R,VPS8,0.008624209578877873
C1R,UBE2V2,0.014424896242363925
C1R,RP11-27I1.4,0.0
C1R,CHD8,0.01862273600672847
C1R,PPP1R11,0.0
C1R,LRRC37B,0.038891157714490726
C1R,EIF2AK1,0.036591733471856534
C1R,ARHGEF4,0.03309047105100469
C1R,TPM4,0.0
C1R,CCDC74B,0.02319100803600382
C1R,LRRC8D,0.09691350417706909
C1R,ESRRB,0.021523436046972613
C1R,TCIRG1,0.0759447432588472
C1R,NCKAP5L,0.04781510163953665
C1R,SEMA4C,0.04017405475587433
C1R,RP11-299H21.1,0.012209628473327672
C1R,TK2,0.021785330603156444
C1R,GAA,0.023291498282857977
C1R,FAM127C,0.03862854974130472
C1R,PC,0.0031621907398157304
C1R,WDTC1,0.03362183305775348
C1R,PLEKHH2,0.003535720615158535
C1R,GALNT13,0.05425192615155152
C1R,ARL5B,0.0
C1R,RP11-392P7.6,0.017005646424870156
C1R,RP11-96D1.10,0.0
C1R,CBY1,0.001806995714141251
C1R,RNU1-2,0.0245163400226875
C1R,DOCK9,0.021885107433008352
C1R,ISOC1,0.006366506864541541
C1R,SLC25A40,0.04268489114751944
C1R,SRPK2,0.04914043362622033
C1R,C11orf63,0.0
C1R,SEC22B,0.12651969896531903
C1R,CDC5L,0.0
C1R,HCG17,0.0
C1R,HARBI1,0.0
C1R,TNIP1,0.03327130674402256
C1R,GPSM1,0.005600729147169947
C1R,PCDHA12,0.0
C1R,CCDC30,0.0
C1R,ABHD18,0.011805522141991863
C1R,ARFIP1,0.0
C1R,RP11-111M22.2,0.012810190853935387
C1R,KIAA1143,0.0
C1R,RP11-574K11.31,0.0
C1R,SLC4A8,0.04637884775069621
C1R,RPL3,1.1454632694828668e-05
C1R,PSD,0.016854673770843095
C1R,AC092675.3,0.025579064036185123
C1R,TMEM41A,0.016655120111139208
C1R,APOBEC3F,0.007399367839048361
C1R,ALDH18A1,0.025968927684784194
C1R,FAM167B,0.07302103965699118
C1R,FLAD1,0.0
C1R,RP11-61I13.3,0.0
C1R,GLS2,0.0006937892934706925
C1R,NTRK1,0.01934750561280442
C1R,RPS6KA4,0.0
C1R,RP11-32B5.7,0.032535392065641815
C1R,CTB-47B11.3,0.0002316276605807908
C1R,KAZALD1,0.0
C1R,SLC22A23,0.06460973977200811
C1R,ADAMTSL3,0.003856383889898651
C1R,PXN,0.03817896001472404
C1R,NELFE,0.07296369777243934
C1R,SUGP1,0.03515547958301613
C1R,RP11-147L13.13,0.01994806799341215
C1R,DOC2B,0.04137141765014279
C1R,HIST4H4,0.04434131806424584
C1R,RP11-230F18.5,0.0
C1R,TMEM132D,0.0
C1R,CTC-510F12.7,0.020710748100351756
C1R,TMTC2,0.0
C1R,RNF139,0.0025609149422058156
C1R,SERPINB8,0.00994954156556155
C1R,TULP4,0.0
C1R,VMAC,0.0
C1R,FCHSD2,0.023372557146023897
C1R,SMG5,0.02500598050113843
C1R,RP11-650L12.2,0.011636544938280991
C1R,PGR,0.04226516445992961
C1R,ZNF746,0.01004931839541352
C1R,ZNF136,0.01640508404426245
C1R,CFDP1,0.02559092252549218
