"gene","frequency"
"FBXO11",2
"FBXO3",2
"FCGR3A",2
"FKBP2",2
"FKBP8",2
"FRYL",2
"FSTL1",2
"FUCA2",2
"GABBR2",2
"GABPA",2
"GABRG2",2
"GADD45GIP1",2
"GAK",2
"GART",2
"GLTP",2
"GMFB",2
"GNAQ",2
"GPD2",2
"GPR137",2
"GPR85",2
"GRIA4",2
"GTF2A1",2
"GYG2",2
"HACL1",2
"HDAC5",2
"HECTD1",2
"HIF1A-AS2",2
"HMGN3",2
"HNMT",2
"HNRNPM",2
"HPCAL1",2
"HSF2",2
"IDH1",2
"IMPA1",2
"ING2",2
"INO80",2
"IPO13",2
"IPO7",2
"IQSEC3",2
"ITFG1",2
"ITGB1",2
"ITGB2",2
"ITM2B",2
"JAKMIP1",2
"JKAMP",2
"KEAP1",2
"KIF1A",2
"KIF27",2
"KIF2A",2
"KLHL9",2
"LAMP2",2
"LAMTOR4",2
"LAPTM5",2
"LEMD3",2
"LGALS3",2
"LHFPL4",2
"LIMK1",2
"LLGL1",2
"LMF1",2
"LRCH4",2
"LRIT2",2
"LRP1",2
"LRRC8A",2
"MAB21L1",2
"MAP2",2
"MAP3K10",2
"MAP3K2",2
"MAP3K5",2
"MAP9",2
"MAPK3",2
"MAPK8IP2",2
"MARC1",2
"MCAT",2
"MCRS1",2
"MEN1",2
"METAP2",2
"MFSD8",2
"MINK1",2
"MIR100HG",2
"MKLN1",2
"MORF4L1",2
"MRPL4",2
"MRPS30",2
"MRPS35",2
"MTA1",2
"MTMR2",2
"NAE1",2
"NAMPT",2
"NAP1L1",2
"NAP1L2",2
"NAPA",2
"NCAPH2",2
"NCK1",2
"NCOA3",2
"NDUFA7",2
"NEK5",2
"NEK9",2
"NFIB",2
"NFKB2",2
"NPAS2",2
"NRCAM",2
"NT5C3A",2
"NT5DC1",2
"NUBP2",2
"NUDT21",2
"OCIAD1",2
"ORC3",2
"OSGIN2",2
"PACS2",2
"PAFAH1B1",2
"PAK3",2
"PARP14",2
"PBLD",2
"PC",2
"PCDH7",2
"PCDH9",2
"PCGF2",2
"PCID2",2
