"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t3","c1_5",-1.06577860418155,1.83453694162397,-5.25473194217815,1.34505670381624e-06,3.43502504281959e-06
"t2","c1_4",-1.10689187700918,1.90530568993384,-5.25418216290507,1.71751252140979e-06,3.43502504281959e-06
"t","c1_2",-1.33824385851264,2.30353451055455,-5.03980157204803,3.67926894251012e-06,4.90569192334683e-06
"t1","c1_3",1.32198121289485,-2.27554143203211,4.81737509435002,8.75358294696203e-06,8.75358294696203e-06
