"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t5","c1_7",-1.2340822044861,2.124239860181,-5.31776625910202,1.17676341209859e-06,2.5845558976826e-06
"t2","c1_4",-1.59106931015793,2.73872586174725,-5.32731567666389,1.29496802064354e-06,2.5845558976826e-06
"t6","c1_8",-0.847688903905469,1.45913663787007,-5.21903086018294,1.53415702165977e-06,2.5845558976826e-06
"t1","c1_3",-1.50686528071312,2.59378449958815,-5.23213896788043,1.81356106509106e-06,2.5845558976826e-06
"t","c1_2",-1.89878010218109,3.26839197916418,-5.23782545144973,1.84611135548757e-06,2.5845558976826e-06
"t3","c1_5",0.851826661122859,-1.46625900685082,4.97223000763719,4.87953130429863e-06,5.69278652168174e-06
"t4","c1_6",-0.863816479836035,1.4868972193899,-4.78199382485305,1.03231519743639e-05,1.03231519743639e-05
