"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t2","c1_4",-0.917234633067951,1.57884649954319,-5.99051000922135,7.4567442787108e-08,2.98269771148432e-07
"t1","c1_3",-1.42142877791168,2.44672166689715,-5.69319810289764,2.54110844567435e-07,5.0822168913487e-07
"t3","c1_5",-1.09148823459928,1.87879122349057,-5.29868526737777,1.12712725754785e-06,1.50283634339713e-06
"t","c1_2",-1.96914701425878,3.38951535241265,-4.99125872993655,4.69544267898103e-06,4.69544267898103e-06
