gene,frequency
MTDH,2
MTSS1L,2
MTURN,2
MXRA8,2
MYBBP1A,2
MYL6B,2
MYO9B,2
NAA10,2
NAT14,2
NCKAP1,2
NDEL1,2
NDUFS2,2
NFIL3,2
NIPAL2,2
NLE1,2
NLGN4Y,2
NLRC5,2
NOC3L,2
NOL6,2
NOL9,2
NOS2P3,2
NUCB1,2
NUDCD1,2
NUMA1,2
NXF1,2
OGG1,2
OIP5-AS1,2
OSCP1,2
OSGIN2,2
OSTM1-AS1,2
OTUB1,2
P3H2,2
P3H3,2
P4HA2,2
PACS2,2
PAIP2B,2
PAQR4,2
PCDH7,2
PCGF5,2
PCNP,2
PCYT1B,2
PDDC1,2
PDGFRA,2
PDPN,2
PELO,2
PEX6,2
PFKFB3,2
PFKFB4,2
PGM2L1,2
PHF7,2
PIDD1,2
PIGU,2
PIKFYVE,2
PIM2,2
PIN1,2
PLEC,2
PLEKHB1,2
PLEKHO2,2
PLEKHS1,2
PLIN2,2
PLOD2,2
PLRG1,2
PLXNB2,2
PLXND1,2
PNKP,2
PNPLA2,2
PNPLA4,2
POLD1,2
POLR3B,2
PPP1CB,2
PPP1R12C,2
PPP1R26,2
PPP2R5B,2
PPP6R1,2
PRELID1,2
PRKD1,2
PRMT1,2
PRRC2A,2
PSMB8,2
PTP4A3,2
PTPN23,2
PTPRU,2
PWP1,2
RAB11B,2
RAB11FIP2,2
RAB20,2
RAB3B,2
RALGAPB,2
RANBP2,2
RAX2,2
RBP3,2
RDH12,2
RELA,2
RERE,2
REXO1,2
REXO4,2
RGL2,2
RHBDD2,2
RHOT2,2
RHPN1,2
RIMS4,2
RLF,2
RNF123,2
RNF24,2
RP11-1085N6.3,2
RP11-109J4.1,2
RP11-10L12.4,2
RP11-16P6.1,2
RP11-274G22.1,2
RP11-314B1.2,2
RP11-441O15.3,2
RP11-517B11.7,2
RP11-713P17.3,2
RP11-754B17.1,2
RP13-516M14.2,2
RP4-563E14.1,2
RP5-965G21.3,2
RPL18A,2
RPS6KB1,2
RUNX1T1,2
S100B,2
SACM1L,2
SBF1,2
SCAMP4,2
SCAMP5,2
SCAPER,2
SCN2A,2
SCRIB,2
