"gene","frequency"
"FLOT2",2
"FMNL2",2
"FPR1",2
"FSD1L",2
"FUT11",2
"FZR1",2
"G2E3",2
"GABRA2",2
"GCA",2
"GNAI2",2
"GNAQ",2
"GNB2",2
"GNB3",2
"GNGT1",2
"GOLGA1",2
"GPR107",2
"GPR84",2
"GRIA4",2
"GRK6",2
"GS1-358P8.4",2
"GSKIP",2
"GTPBP4",2
"HACE1",2
"HDAC5",2
"HEBP2",2
"HGS",2
"HIBCH",2
"HIGD2A",2
"HMP19",2
"HNRNPLL",2
"ICAM1",2
"IFFO2",2
"IL1R1",2
"ITGA10",2
"ITM2B",2
"KCND3",2
"KCNJ14",2
"KCTD13",2
"KDM4B",2
"KDR",2
"KHDRBS1",2
"KIAA0513",2
"KIF21B",2
"KLHDC3",2
"KLHL14",2
"KLHL7",2
"KPNA5",2
"LAMTOR4",2
"LANCL2",2
"LCORL",2
"LIX1",2
"LMAN2",2
"LMOD1",2
"LRCH2",2
"LRFN2",2
"LRP8",2
"LRRCC1",2
"LZTS2",2
"MACF1",2
"MAFF",2
"MAGI2-AS3",2
"MAP1LC3A",2
"MAP4K5",2
"MAPK3",2
"MAPK8IP3",2
"MAPK9",2
"MARCH6",2
"MECR",2
"MEN1",2
"MGME1",2
"MIA3",2
"MID1",2
"MID2",2
"MIER1",2
"MINA",2
"MLLT1",2
"MMP14",2
"MOGS",2
"MRM2",2
"MRPL50",2
"MUC1",2
"MYBBP1A",2
"MYH9",2
"MYL12B",2
"MYO1B",2
"MYO5A",2
"NAA50",2
"NCLN",2
"NCOR2",2
"NDUFA13",2
"NDUFAF4",2
"NELFB",2
"NEURL1",2
"NFIL3",2
"NLRC5",2
"NOP58",2
"NR1H2",2
"NRN1",2
"NRXN2",2
"NT5C3A",2
"NUDT12",2
"NUDT9",2
"NUP88",2
"NXN",2
"NYNRIN",2
"OARD1",2
"OLFM3",2
"OSBP2",2
"OSGIN2",2
"OXSM",2
"P3H2",2
"PAPPA",2
"PAQR4",2
"PATL1",2
"PBLD",2
"PCDH11Y",2
"PCDH9",2
"PCGF6",2
"PCMTD1",2
"PCYOX1L",2
"PDIA5",2
"PDK2",2
"PDS5A",2
"PDXK",2
"PER1",2
"PEX1",2
"PFKFB3",2
"PGM2L1",2
"PHAX",2
"PHC3",2
"PHYHIPL",2
"PIGQ",2
"PIH1D2",2
"PIK3CA",2
"PITPNM1",2
"PITPNM2",2
"PITRM1-AS1",2
"PKN1",2
"PLCL2",2
"PLD3",2
"PLEKHH2",2
"PLOD1",2
"PLP1",2
"PLXNB2",2
"PNRC1",2
"PODXL2",2
"POGZ",2
"POT1",2
"PPFIA3",2
"PPP1CB",2
"PPP1R11",2
"PPP1R15A",2
"PPP1R16A",2
"PPP1R26",2
"PPP5C",2
"PPP6R2",2
"PRDX6",2
"PRELID1",2
"PRKCSH",2
"PRMT1",2
"PRPH2",2
"PRR12",2
"PSMD1",2
"PSMD12",2
"PTGES2",2
"PTPN4",2
"PTPRU",2
"PYROXD1",2
"RAB11B",2
"RAB1A",2
"RAB3C",2
"RAD21",2
"RANBP3L",2
"RBCK1",2
"RBM10",2
"RBM26",2
"RBPJ",2
"RCHY1",2
"RCL1",2
"RGS11",2
"RHCG",2
"RNF165",2
"RNF20",2
"RNF40",2
"RP11-268J15.5",2
"RP11-293M10.6",2
"RP11-517B11.7",2
"RP11-54O7.3",2
"RP11-574K11.32",2
"RP11-585P4.5",2
"RPF1",2
"RPL36",2
"RPL8",2
"RPL9",2
"RPLP0",2
"RPS19BP1",2
"RPS6KB1",2
"RPUSD1",2
"RRH",2
"RSL1D1",2
"RTF1",2
"RTN4IP1",2
"RUFY1",2
"RUFY2",2
"RYBP",2
"SAMD1",2
"SCAF1",2
"SCAMP1",2
"SDCBP",2
"SENP1",2
"SEPT5",2
"SERTAD2",2
"SFPQ",2
"SFXN3",2
"SGTA",2
"SHC1",2
"SHMT2",2
"SIN3B",2
"SIRPA",2
"SIX3-AS1",2
"SLC24A1",2
"SLC25A22",2
"SLC29A4",2
"SLC35D1",2
"SLC39A14",2
"SLC5A3",2
"SLC8A1",2
"SMOX",2
"SND1",2
"SNTA1",2
"SNUPN",2
"SNX14",2
"SON",2
"SPATA20",2
"SPOCK2",2
"SPOCK3",2
"SQRDL",2
"SREK1",2
"SRGN",2
"SRSF6",2
"STC2",2
"STX2",2
"STX3",2
"SUV39H1",2
"SYNM",2
"SYNPO2",2
"SYT6",2
"TAB3",2
"TADA3",2
"TAF9B",2
"TATDN3",2
"TBCEL",2
"TBX2",2
"TELO2",2
"THUMPD1",2
"TIAL1",2
"TIGD4",2
"TLR6",2
"TMED4",2
"TMEM115",2
"TMEM130",2
"TMEM178B",2
"TMEM179B",2
"TMEM246",2
"TMEM263",2
"TMEM67",2
"TNFAIP8",2
"TNFRSF1A",2
"TNFSF10",2
"TP73-AS1",2
"TPPP",2
"TPRA1",2
"TRAM2-AS1",2
"TRAPPC2",2
"TRUB2",2
"TSR3",2
"TTC1",2
"TTC19",2
"TTI2",2
"TUBB3",2
"TUFM",2
"UBA6",2
"UBE2K",2
"UBE2Q2P1",2
"UBE2S",2
"UBQLN1",2
"UBR1",2
"UBTF",2
"UBXN11",2
"UBXN6",2
"UCHL5",2
"UGP2",2
"UPF1",2
"USP1",2
"USP11",2
"USP16",2
"UTP11",2
"VIMP",2
"VPS51",2
"WDR3",2
"XPO1",2
"YAP1",2
"YIPF2",2
"YRDC",2
"ZBTB17",2
"ZBTB41",2
"ZCCHC12",2
"ZDHHC17",2
"ZDHHC9",2
"ZFP3",2
"ZMIZ1",2
"ZMYM4",2
"ZNF117",2
"ZNF24",2
"ZNF25",2
"ZNF276",2
"ZNF33A",2
"ZNF35",2
"ZNF365",2
"ZNF441",2
"ZNF502",2
"ZNF511",2
"ZNF542P",2
"ZNF554",2
"ZNF569",2
"ZNF596",2
"ZNF644",2
"ZNF692",2
"ZNF701",2
"AAAS",1
"AAK1",1
"AAMP",1
"AASDH",1
"AASDHPPT",1
"AASS",1
"ABAT",1
"ABCA3",1
"ABCB10",1
"ABCC2",1
"ABCC3",1
"ABCD1",1
"ABCD2",1
"ABCD3",1
"ABCF3",1
"ABCG1",1
"ABCG2",1
"ABHD13",1
"ABHD16A",1
"ABHD3",1
"ABTB1",1
"AC002467.7",1
"AC004069.2",1
"AC004076.9",1
"AC005301.9",1
"AC007191.4",1
"AC012613.2",1
"AC020951.1",1
"AC062029.1",1
"AC068282.3",1
"AC083843.1",1
"AC092192.1",1
"AC092620.3",1
"AC092835.2",1
"AC093642.1",1
"AC100830.3",1
"AC145676.2",1
"ACAD11",1
"ACAD8",1
"ACAP2-IT1",1
"ACAP3",1
"ACAT1",1
"ACBD3",1
"ACBD4",1
"ACO2",1
"ACOT9",1
"ACOX1",1
"ACP2",1
"ACP5",1
"ACTB",1
"ACTG1",1
"ACTG1P1",1
"ACTR3",1
"ADAM1A",1
"ADAMTS1",1
"ADAMTS4",1
"ADAMTS9",1
"ADCK4",1
"ADCY10P1",1
"ADCY5",1
"ADD1",1
"ADGRB2",1
"ADGRG1",1
"ADGRG2",1
"ADGRG6",1
"ADGRV1",1
"ADM",1
"ADRA2C",1
"ADRM1",1
"ADSL",1
"ADSSL1",1
"AES",1
"AFF3",1
"AFG3L2",1
"AFTPH",1
"AGAP3",1
"AGGF1",1
"AGGF1P2",1
"AGL",1
"AGPAT3",1
"AGT",1
"AGTPBP1",1
"AHCTF1",1
"AHCYL1",1
"AHDC1",1
"AHSA1",1
"AIFM1",1
"AIMP1",1
"AK3",1
"AK8",1
"AKAP8L",1
"AKR7A3",1
"AKT2",1
"AKT3",1
"AL022397.1",1
"AL109923.1",1
"ALCAM",1
"ALDH3A2",1
"ALDH4A1",1
"ALG10B",1
"ALKBH1",1
"ALKBH5",1
"ALKBH8",1
"ALMS1",1
"ALOX12-AS1",1
"ALOX5",1
"AMER3",1
"AMZ2",1
"ANAPC11",1
"ANGPT2",1
"ANGPTL1",1
"ANKAR",1
"ANKMY1",1
"ANKRD13D",1
"ANKRD36B",1
"ANKRD45",1
"ANKRD9",1
"ANKS1B",1
"ANO2",1
"ANO4",1
"ANO5",1
"ANXA1",1
"ANXA4",1
"ANXA6",1
"AP001062.7",1
"AP1G1",1
"AP2M1",1
"AP4S1",1
"AP5M1",1
"APBA2",1
"APBA3",1
"APBB3",1
"APC2",1
"APH1A",1
"APOE",1
"APP",1
"ARAP1",1
"ARF1",1
"ARFGEF2",1
"ARFIP1",1
"ARHGAP1",1
"ARHGAP10",1
"ARHGAP42",1
"ARHGAP45",1
"ARHGAP5",1
"ARHGDIG",1
"ARHGEF10L",1
"ARHGEF17",1
"ARHGEF3",1
"ARID1A",1
"ARL1",1
"ARL15",1
"ARL17A",1
"ARL4A",1
"ARL4C",1
"ARMC5",1
"ARMC9",1
"ARMCX3",1
"ARNT2",1
"ARPP19",1
"ARRDC3",1
"ARSJ",1
"ASAP2",1
"ASAP3",1
"ASB16",1
"ASB6",1
"ASB8",1
"ASCL1",1
"ASIC2",1
"ASL",1
"ASPSCR1",1
"ASXL3",1
"ATF3",1
"ATF5",1
"ATF6B",1
"ATG101",1
"ATG4B",1
"ATP13A4",1
"ATP1B1",1
"ATP1B3",1
"ATP5D",1
"ATP5H",1
"ATP5J2",1
"ATP5S",1
"ATP6V0D2",1
"ATP6V1B2",1
"ATP6V1E2",1
"ATRN",1
"ATRX",1
"ATXN1",1
"AUP1",1
"AZI2",1
"B3GALNT1",1
"B3GALT6",1
"B3GNT7",1
"B9D2",1
"BACE2",1
"BACH2",1
"BAD",1
"BAG3",1
"BANF1",1
"BAZ1B",1
"BAZ2B",1
"BCAN",1
"BCAR3",1
"BCL2",1
"BCL2L1",1
"BCL2L15",1
"BCL6",1
"BCL7A",1
"BCL7B",1
"BCL9",1
"BEND6",1
"BIVM-ERCC5",1
"BLOC1S6",1
"BLVRB",1
"BMI1",1
"BMP3",1
"BMS1",1
"BMS1P4.1",1
"BRPF1",1
"BRPF3",1
"BRWD1",1
"BTF3",1
"BTF3L4",1
"BTRC",1
"BUB3",1
"BUD31",1
"BZW1",1
"C10orf10",1
"C10orf95",1
"C11orf58",1
"C11orf87",1
"C11orf95",1
"C12orf10",1
"C12orf43",1
"C16orf13",1
"C16orf45",1
"C17orf49",1
"C19orf48",1
"C19orf66",1
"C1orf112",1
"C1orf132",1
"C1orf21",1
"C1orf229",1
"C1orf52",1
"C1QL3",1
"C1QTNF3",1
"C1RL",1
"C2CD2",1
"C2orf71",1
"C3orf70",1
"C4A",1
"C4orf33",1
"C5orf45",1
"C6orf106",1
"C6orf226",1
"C6orf3",1
"C7orf43",1
"C9orf142",1
"C9orf172",1
"C9orf64",1
"C9orf69",1
"CA3-AS1",1
"CA9",1
"CAB39",1
"CABIN1",1
"CABP4",1
"CACNA1A",1
"CACNA1B",1
"CACNB1",1
"CACNB4",1
"CACTIN",1
"CAD",1
"CADPS",1
"CADPS2",1
"CALM1",1
"CAMK2A",1
"CAMK2B",1
"CAMSAP3",1
"CANT1",1
"CAPN1",1
"CARD8",1
"CARMIL2",1
"CASKIN2",1
"CASP1",1
"CASP4",1
"CASQ2",1
"CAT",1
"CATSPER2P1",1
"CAV1",1
"CBLN1",1
"CBX3P2",1
"CC2D1A",1
"CC2D2A",1
"CCDC107",1
"CCDC12",1
"CCDC142",1
"CCDC151",1
"CCDC22",1
"CCDC85C",1
"CCDC88B",1
"CCHCR1",1
"CCNDBP1",1
"CCNJ",1
"CCSER1",1
"CCSER2",1
"CCT2",1
"CCT3",1
"CCT6A",1
"CCT6B",1
"CD200",1
"CD226",1
"CD300A",1
"CD320",1
"CD44",1
"CD53",1
"CD58",1
"CD68",1
"CD9",1
"CDC123",1
"CDC27",1
"CDC42",1
"CDC7",1
"CDH18",1
"CDH7",1
"CDHR1",1
"CDK16",1
"CDK20",1
"CDKN2C",1
"CDKN2D",1
"CDYL2",1
"CEBPA",1
"CELF3",1
"CELF4",1
"CENPC",1
"CEP131",1
"CEP350",1
"CERKL",1
"CERS1",1
"CES2",1
"CFAP221",1
"CFAP36",1
"CFAP44",1
"CFAP47",1
"CFB",1
"CFI",1
"CGNL1",1
"CH17-264B6.3",1
"CH507-9B2.4",1
"CHAF1B",1
"CHAMP1",1
"CHCHD10",1
"CHCHD4",1
"CHD5",1
"CHD7",1
"CHD9",1
"CHI3L1",1
"CHL1",1
"CHMP1A",1
"CHMP1B",1
"CHN2",1
"CHRNA4",1
"CHRNA7",1
"CHRND",1
"CHST3",1
"CINP",1
"CKAP5",1
"CLCF1",1
"CLCN2",1
"CLCN4",1
"CLDN9",1
"CLEC2B",1
"CLIC1",1
"CLK3",1
"CLN6",1
"CLNS1A",1
"CLRN1",1
"CLSTN1",1
"CMB9-22P13.1",1
"CNIH1",1
"CNOT3",1
"CNOT6",1
"CNPY3",1
"CNTN1",1
"CNTNAP3B",1
"COL11A1",1
"COL14A1",1
"COL19A1",1
"COL23A1",1
"COL27A1",1
"COL4A2",1
"COL4A3",1
"COL4A3BP",1
"COL5A3",1
"COL8A1",1
"COL9A2",1
"COLEC12",1
"COMMD3",1
"COMMD7",1
"COMTD1",1
"COPG1",1
"COPS2",1
"COPS3",1
"COPS5",1
"COPS6",1
"COPZ1",1
"COQ2",1
"COQ4",1
"CORO1B",1
"CORO1C",1
"CORO2A",1
"CORO7",1
"COX18",1
"COX8A",1
"CP",1
"CPA6",1
"CPEB4",1
"CPLX2",1
"CPM",1
"CPNE8",1
"CPSF3",1
"CPSF7",1
"CPT1B",1
