"gene","frequency"
"MRM2",8
"MSANTD2",8
"MTDH",8
"MTSS1L",8
"NACAD",8
"NAPA",8
"NARS",8
"NKIRAS2",8
"NOL11",8
"PIGV",8
"PLPPR5",8
"POT1",8
"PTPRK",8
"RABL6",8
"RANBP2",8
"RGS6",8
"RHO",8
"RP11-258F22.1",8
"RP11-295P9.13",8
"RPL13A",8
"SAMD9L",8
"SCAF11",8
"SLC25A22",8
"SLC25A46",8
"SLC30A9",8
"SNRPA1",8
"STK11IP",8
"STK25",8
"STX1B",8
"TAB3",8
"TGFB2-OT1",8
"TMEM116",8
"TNK2",8
"TPI1",8
"TRAF1",8
"UBN1",8
"UGP2",8
"ZBTB8OS",8
"ZMYM2",8
"ZNF75A",8
"ZYX",8
"ABHD14A",7
"AGBL5",7
"AHCTF1",7
"APH1A",7
"BTBD11",7
"CDC40",7
"CEP295",7
"CHAMP1",7
"CIZ1",7
"CMB9-22P13.1",7
"COPS2",7
"COX4I1",7
"CPT1A",7
"CTD-2383M3.1",7
"CTDSPL2",7
"CYP17A1",7
"CYR61",7
"DCTN4",7
"DCUN1D4",7
"DGAT1",7
"DNAJC16",7
"DNM1",7
"DYNLL1",7
"EDF1",7
"EEF1A2",7
"ERGIC3",7
"ERICD",7
"EXD2",7
"FAM76B",7
"FOXN3",7
"GARNL3",7
"GEMIN8",7
"GLRB",7
"GPATCH11",7
"GRIA2",7
"GRIA3",7
"GSDMB",7
"ILF2",7
"KCMF1",7
"KCNC1",7
"KDM2A",7
"KIF9",7
"KLHL11",7
"KLHL9",7
"KRAS",7
"LAMA4",7
"LMAN2",7
"LRP1",7
"MARC1",7
"MARS2",7
"MIR29A",7
"MOB1B",7
"MRPS35",7
"N6AMT1",7
"NDUFS8",7
"NOL3",7
"NOL4L",7
"NOP56",7
"NORAD",7
"PFDN1",7
"PPARD",7
"PPP2R1A",7
"PTPRN2",7
"RAD1",7
"RARS2",7
"RBM38",7
"RBPJ",7
"RCN2",7
"REEP6",7
"RFTN2",7
"RIBC1",7
"RNF165",7
"RP1",7
"RPGRIP1L",7
"RPL26",7
"RPS19",7
"RPS25",7
"RS1",7
"SCN2A",7
"SDAD1P1",7
"SERTAD4",7
"SLC38A3",7
"SLC4A10",7
"SNX10",7
"SPG11",7
"STAT3",7
"SV2C",7
"SYN2",7
"SYNJ2BP",7
"TBCK",7
"TCF25",7
"THOP1",7
"TIGD6",7
"TLE1",7
"TOP1",7
"TOX3",7
"TP53BP2",7
"UBE2D1",7
"USP32",7
"VPS51",7
"XPNPEP1",7
"YTHDF2",7
"ZDHHC21",7
"ZMYM6",7
"ZNF488",7
"ZNF573",7
"ABHD13",6
"ACSL3",6
"ADAM22",6
"ADAT2",6
"AGAP3",6
"AMPD2",6
"ANKRD13B",6
"AP1B1",6
"AP3S1",6
"APEH",6
"ARHGAP20",6
"ATAD1",6
"ATP13A1",6
"BROX",6
"BVES",6
"C15orf40",6
"CCDC43",6
"CD2BP2",6
"CD300A",6
"CERS1",6
"CHST3",6
"CITF22-92A6.1",6
"CLASRP",6
"CNTNAP1",6
"CREBRF",6
"CSAD",6
"CTD-2012K14.5",6
"CTD-3138B18.6",6
"CTSL",6
"DDR1",6
"DDX52",6
"DHX30",6
"DRP2",6
"DYNC2LI1",6
"E2F4",6
"EDC4",6
"EEF1A1P13",6
"ELOVL5",6
"FAM118A",6
"FBXO44",6
"FBXW2",6
"GNPAT",6
"GPAA1",6
"GRIK5",6
"GRINA",6
"HHAT",6
"HK2",6
"HNRNPH3",6
"HSPH1",6
"IGFBP5",6
"IK",6
"INPP5B",6
"KCNV2",6
"KDM6B",6
"KIF1A",6
"KIN",6
"KPNA1",6
"LAMC1",6
"LANCL2",6
"LANCL3",6
"LIF",6
"LZTS2",6
"MAF",6
"MAP2K2",6
"MARCH6",6
"MED13",6
"MPV17L2",6
"MRPS31P5",6
"MTA2",6
"MUS81",6
"NAMPT",6
"NFASC",6
"NRTN",6
"OGG1",6
"OMG",6
"PANK3",6
"PCDH19",6
"PCNX3",6
"PDE5A",6
"PHIP",6
"PIN1",6
"PITPNB",6
"PLCD4",6
"PNMAL2",6
"POMP",6
"PPIA",6
"PPM1A",6
"PPP1R9A",6
"PRKAR1A",6
"PRKD1",6
"PRPH2",6
"PSMA5",6
"PSPN",6
"PTMS",6
"QTRT2",6
"RAB11A",6
"RAB18",6
