"gene","frequency"
"NUMA1",7
"PCDH11Y",7
"PHF20L1",7
"PHIP",7
"PIK3CA",7
"PLA2G6",7
"PLEKHG3",7
"POP5",7
"PPA2",7
"PPP1R12A",7
"RAB11FIP2",7
"RASGRP1",7
"RD3",7
"RP11-159D12.8",7
"RP11-293P20.2",7
"RP11-574K11.32",7
"RP11-99J16__A.2",7
"S100B",7
"SCAP",7
"SEC23IP",7
"SEPT5",7
"SH2D4A",7
"SLC35A5",7
"SMC4",7
"SPOCK3",7
"SPOPL",7
"STT3B",7
"SYDE2",7
"SYMPK",7
"TCF25",7
"TGFB1",7
"TMEM170B",7
"TMEM246",7
"TNK2",7
"TRPM2",7
"UFC1",7
"UQCRC1",7
"VPS72",7
"WDR47",7
"ZBTB48",7
"ZNF148",7
"ZNF776",7
"AC084219.2",6
"ACAP2",6
"ACP5",6
"ADNP",6
"AGAP3",6
"AGPS",6
"AL022067.1",6
"ARFGEF1",6
"ARHGDIA",6
"ARIH1",6
"ATAD5",6
"ATP13A1",6
"B3GAT3",6
"BRWD1",6
"C16orf45",6
"C3",6
"C6orf48",6
"C9orf114",6
"CAMSAP3",6
"CAPN15",6
"CASQ1",6
"CCDC43",6
"CIT",6
"CNNM1",6
"CRB2",6
"CRELD1",6
"CUL3",6
"DHDDS",6
"DNAJB2",6
"DUS1L",6
"EFNA1",6
"EPB41",6
"EVI5L",6
"FAM199X",6
"FEM1B",6
"FKBP2",6
"FYTTD1",6
"GAD1",6
"GNE",6
"GPC1",6
"GPR137",6
"GRIK3",6
"GRN",6
"GUCA1B",6
"HBEGF",6
"HGF",6
"IKZF5",6
"JMY",6
"KCNB1",6
"KCNJ9",6
"KIAA1429",6
"KIFC3",6
"LRIT2",6
"LRRTM4",6
"LSM14A",6
"LZTR1",6
"MAP4K3",6
"MAPK10",6
"MARCH9",6
"MARCKSL1",6
"MOSPD1",6
"MZT1",6
"NCKAP1",6
"NIPBL",6
"NYNRIN",6
"OSBPL10",6
"PAG1",6
"PDE6G",6
"PDLIM1",6
"PDZD4",6
"PHYHIP",6
"PIGQ",6
"PLXNC1",6
"PNRC1",6
"POLI",6
"POLR3F",6
"POP4",6
"PPP1R37",6
"PPP2R5B",6
"RBBP4",6
"RNF24",6
"ROBO1",6
"RP11-146B14.1",6
"RP11-366L20.2",6
"RP11-439C15.4",6
"RP11-77P6.2",6
"RP3-405J10.3",6
"RP4-683L5.1",6
"RP5-1159O4.2",6
"SALL2",6
"SAP18",6
"SBF1",6
"SCAMP5",6
"SCRT1",6
"SEC14L2",6
"SERPINA5",6
"SGTB",6
"SH2B1",6
"SLC30A9",6
"SMG9",6
"SMIM7",6
"STK35",6
"STUB1",6
"SYNE1",6
"TFCP2",6
"TNRC18",6
"TSR2",6
"UBAC2-AS1",6
"UBE2W",6
"UCHL5",6
"UTP20",6
"VPS28",6
"YPEL2",6
"ZNF106",6
"ZNF16",6
"ZNF268",6
"ZNF316",6
"ZNF358",6
"ZNF397",6
"ZNF804A",6
"ABCA3",5
"ACKR4",5
"ADGRL2",5
"AFAP1",5
"APBB1",5
"ARHGAP5",5
"ARMC6",5
"ARMCX5",5
"ATG2B",5
"ATG9A",5
"ATP6V1D",5
"AURKAIP1",5
"BCAP31",5
"BCAR1",5
"BCCIP",5
"BCL6",5
"BMT2",5
"BRSK1",5
"BTF3",5
"CACNA2D3",5
"CAMTA2",5
"CCDC85C",5
"CELF4",5
"CENPT",5
"CERKL",5
"CERS6",5
"COMMD10",5
"CREB1",5
"CTB-131B5.5",5
"DCTN4",5
"DDHD2",5
"DDX39A",5
"DHX34",5
"DIS3L",5
"DLG4",5
"EIF2B3",5
"ERBIN",5
"EXOC5",5
"FAIM2",5
"FAM162A",5
"FAM179B",5
"FAM234A",5
"FBXW2",5
"FKTN",5
"FMR1",5
"GAGE1",5
"GGTA2P",5
"GNAI2",5
"GNB3",5
"GNG4",5
"GPM6A",5
"GTF2F1",5
"HEPH",5
"HILPDA",5
"HNRNPM",5
"HSPA12A",5
"HSPA8",5
"IFI16",5
"INTS8",5
"ITGA10",5
"KAT14",5
"KHDRBS1",5
"KIAA1841",5
"KIF3B",5
"KPTN",5
"LAMP2",5
"LGI2",5
"LMOD1",5
"LPGAT1",5
"MORC3",5
"MYNN",5
"NCAM1",5
"NDRG4",5
"NDUFA3",5
"NEBL",5
"NEK9",5
"NFKB2",5
"NOL4L",5
"NOM1",5
"NT5DC1",5
"NUP35",5
"PAK3",5
"PANK3",5
"PAPOLA",5
"PBDC1",5
"PDDC1",5
"PDE4A",5
"PDPN",5
"PIM1",5
"PIP5K1C",5
"PITPNM1",5
"PLOD2",5
"POLR2E",5
"PRDX2",5
"PTPN12",5
"PYCRL",5
"PYGB",5
"RAB10",5
"RANGRF",5
"RASD1",5
"RB1",5
"RBM48",5
"RCN2",5
"RIOK3",5
"RMDN1",5
"RMND5A",5
"RNF19B",5
"RP1-265C24.8",5
"RP11-268J15.5",5
"RP11-424G14.1",5
"RP5-1065J22.8",5
"RPE",5
"RPL23",5
"RPL35",5
"RPLP0",5
"RRAGA",5
"RTF1",5
"SAMD7",5
"SEPT8",5
"SLC1A3",5
"SLC8A1",5
"SNHG18",5
"SNTA1",5
"SPOCK2",5
"SRGAP3",5
"SSNA1",5
"STARD9",5
"STIM2",5
"SYNE3",5
"SYT2",5
"TADA2A",5
"TMEM145",5
"TMEM184B",5
"TMEM184C",5
"TMEM185B",5
"TPP2",5
"TRAM1",5
"TRIP11",5
"TRMT10C",5
"TSEN2",5
"TSPOAP1",5
"UBE4A",5
"UBXN1",5
"UBXN6",5
"UFL1",5
"UPF1",5
"USP20",5
"VMA21",5
"VPS29",5
"WWC2",5
"XAB2",5
"XPO6",5
"XYLT2",5
"YEATS2",5
"ZBTB24",5
"ZC3H18",5
"ZER1",5
"ZFP36",5
"ZFX",5
"ZMAT5",5
"ZNF200",5
"ZNF248",5
"ZNF395",5
"ZNF692",5
"ZW10",5
"ABI2",4
"AC074286.1",4
"ACOT7",4
"ADCY8",4
"ADGRL1",4
"ANKIB1",4
"ANO10",4
"ARFGAP1",4
"ARHGAP29",4
"ATL1",4
"ATP11A",4
"BNIP3L",4
"BRF1",4
"BRPF1",4
"BRPF3",4
"C12orf10",4
"C1orf145",4
"C7orf61",4
"CASD1",4
"CCDC127",4
"CCDC22",4
"CEP126",4
"CEP19",4
"CEPT1",4
"CHD5",4
"CHMP1B",4
"CNOT11",4
"COPRS",4
"COQ10A",4
"COQ9",4
"CRKL",4
"CSTF2T",4
"CTC-543D15.8",4
"CTD-2600H12.2",4
"CTDSPL2",4
"CXXC1",4
"CYC1",4
"CYP4X1",4
"DBNDD1",4
"DDX1",4
"DDX3Y",4
"DDX42",4
"DGAT1",4
"DHTKD1",4
"DICER1-AS1",4
"DNAJC3-AS1",4
"DYNC2H1",4
"EBF3",4
"EFNA3",4
"EIF3H",4
"EIF3L",4
"EIF4A2",4
"ELAVL3",4
"ENO1P4",4
"FAM69C",4
"FANCF",4
"FAR2",4
"FBRS",4
"FUT9",4
"GAPDH",4
"GATB",4
"GFAP",4
"GLMN",4
"GMFB",4
"GNA11",4
"GPAA1",4
"GRAMD1A",4
"GRIN2B",4
"HPCAL1",4
"INAFM1",4
"IPO7",4
"JAKMIP2-AS1",4
"KCNC4",4
"KCNJ10",4
"KDELC1",4
"KHNYN",4
"KIAA0825",4
"KLC1",4
"KPNA5",4
"KYAT1",4
"LA16c-380H5.5",4
"LAMTOR4",4
"LITAF",4
"LMBRD2",4
"MAGED1",4
"MAN1A1",4
"MAP3K9",4
"MAPK8IP3",4
"MECR",4
"MICU3",4
"MMP15",4
"MPC1",4
"MRPL3",4
"MRPS5",4
"NBEAL1",4
"NCS1",4
"NECTIN3",4
"NEFL",4
"NGLY1",4
"NIPA2",4
"NOL12",4
"NPDC1",4
"NRARP",4
"ORMDL2",4
"OSBP2",4
"OSMR",4
"PAPPA",4
"PAQR4",4
"PARP2",4
"PCDH19",4
"PHF3",4
"PHF6",4
"PHTF2",4
"PIK3CB",4
"PIN1",4
"PLCD4",4
"PLOD1",4
"PPDPF",4
"PPP4R2",4
"PPP6R2",4
"PRDX3",4
"PTPRG",4
"PYGO2",4
"QRICH2",4
"RAB37",4
"RAD21",4
"RANBP3",4
"RAP1A",4
"RAP1GDS1",4
"RB1CC1",4
"RBBP5",4
"RBM10",4
"RBMS1",4
"RBPJ",4
"RICTOR",4
"RNF152",4
"RNF170",4
"ROCK2",4
"RP1",4
"RP11-156P1.3",4
"RP11-318A15.2",4
"RP11-439C15.5",4
"RPL18",4
"RPL31",4
"RPL4",4
"RPL8",4
"RPS5",4
"RUFY3",4
"RYR2",4
"SCOC",4
"SEC14L1",4
"SF3B5",4
"SGK494",4
"SH3BGRL2",4
"SLC22A4",4
"SLC24A3",4
"SMARCA4",4
"SMIM13",4
"SRI",4
"STAG2",4
"STK11",4
"STK25",4
"STK38",4
"STMN3",4
"STX4",4
"TADA2B",4
"TANGO6",4
"TATDN3",4
