"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t3","c1_5",-1.0254276242517,1.76508033682669,-5.22561337758591,1.46094003488773e-06,6.14068487037253e-06
"t1","c1_3",-1.07429069090571,1.84918889418196,-5.15719473889678,2.47307955520445e-06,6.14068487037253e-06
"t2","c1_4",-1.45326069869627,2.501514317428,-5.05179712893721,3.68441092222352e-06,6.14068487037253e-06
"t4","c1_9",1.1867967757972,-2.04284690915911,4.93432908059547,5.71753497037471e-06,7.05083067251789e-06
"t","c1_2",-1.25902654399922,2.16717683803144,-4.86804208346089,7.05083067251789e-06,7.05083067251789e-06
