"","Module","Mean","SD","Median","Min","Max"
"c1_2","c1_2",9.8879238130678e-17,3.80682494373771,-1.18746329961042,-3.67737932370129,15.4288062127806
"c1_3","c1_3",-3.60026216489613e-17,4.03632737391054,-1.01688713839398,-4.00272847730022,18.356886285156
"c1_4","c1_4",1.43399067665788e-16,3.24941460467853,0.990018937269099,-13.9089821876177,2.96818978584055
"c1_5","c1_5",8.81580782873459e-19,3.19496750329414,-0.595774197364147,-3.70176668848469,13.6224325006777
