"","Module","Mean","SD","Median","Min","Max"
"c1_2","c1_2",-6.22022274957398e-18,3.1926014241005,-0.630448485504739,-5.24920183653543,12.5941517638881
"c1_3","c1_3",-1.38436354393812e-16,2.38181775200424,0.514092306617934,-7.5133094598388,3.68721412507046
"c1_4","c1_4",-8.70604018770884e-17,3.09085462907164,0.619608938734346,-9.19846517634518,6.01043078052219
"c1_5","c1_5",-3.21287308926866e-16,2.58749431129904,-0.255451240520651,-4.71631899999596,9.60104796287989
"c1_9","c1_9",3.26602997292538e-17,2.61729213665059,0.465893911974941,-6.85386547231945,5.33036857937359
