"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t","c1_2",1.28831695760721,-2.21759476309439,5.32177122349637,1.23838108705177e-06,2.81816836069635e-06
"t3","c1_5",1.02033864995431,-1.75632062697053,5.30721477003686,1.31823849429417e-06,2.81816836069635e-06
"t1","c1_3",-1.63909803576564,2.82139825828511,-5.30257412496278,1.42347986007882e-06,2.81816836069635e-06
"t4","c1_8",-1.41972848431439,2.44379493201658,-5.2294412651886,1.8787789071309e-06,2.81816836069635e-06
"t2","c1_4",-1.17717306110469,2.02628149862283,-4.94129919973186,5.66227999723686e-06,6.79473599668423e-06
"t5","c1_10",-0.923807731416984,1.59016084916038,-4.59411809632034,2.08607335223595e-05,2.08607335223595e-05
