sample_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,mgs_level
172,2.1083593,2.3657942,4.8340507,2.7272482,4.7151546,1.1073935,4.073711,0.0,2.9662375,3.697441,3.748657,0.9314891,1.3290215,2.760325,1.0043697,2.4224446,MGS1
173,1.3937477,4.039034,1.4291716,2.843521,0.98495746,0.62303954,2.349593,0.0,0.9337617,0.0,1.741245,1.9945538,3.5643163,4.519611,1.1985341,2.8074744,MGS1
177,4.154869,1.4524276,3.1124635,1.7287363,3.1085966,1.1569657,2.123674,0.0,3.2758093,2.8827472,1.158804,2.6514175,2.52198,2.7475376,1.2263588,2.5196893,MGS1
189,4.1155233,1.7021561,2.9609878,1.1194888,2.436842,0.98246235,1.86351,0.0,2.2324293,1.6868804,0.0,1.4037913,1.1092334,2.636331,0.6104289,2.2899892,MGS1
217,2.249994,0.49235535,3.3752375,3.384659,4.2078137,0.44394225,2.3721435,0.0,2.386429,4.1919017,1.8330237,3.1395142,2.429568,1.8239667,1.1140054,2.6451106,MGS1
218,2.8499196,1.2945209,4.9955964,3.3916695,3.0740805,1.0299776,3.1481237,0.0,4.0092993,3.2700372,3.5613687,4.189844,3.7547226,1.5299317,0.93670744,0.88018155,MGS1
229,3.140159,3.0833917,2.3765273,0.93049514,2.4175742,0.43846238,2.0715525,0.0,1.5933135,0.790537,0.61181897,0.006399788,0.7382559,3.719937,0.34054804,2.9872158,MGS1
237,1.1683497,1.0542209,3.3162756,3.5523715,3.462242,0.65003175,2.5342908,0.0,2.156009,3.3921895,3.614503,3.6157172,3.623472,1.7384368,1.5388871,1.8005182,MGS1
243,1.9336159,1.1193929,1.9557178,3.63441,3.2306442,0.40203354,2.129698,0.0,4.8519583,3.5830026,4.1357985,2.7993026,3.059841,1.8079455,0.8940711,2.3441453,MGS1
246,3.5024042,4.5662875,2.0372148,1.2251966,1.7739018,0.37931028,2.499104,0.0,2.0537004,0.0,0.63404095,1.1927735,2.7461843,5.1627917,0.5544022,3.2667446,MGS1
251,3.1773264,2.6124046,1.1821237,1.3468028,1.7475448,0.65650594,1.1149012,0.0,1.702508,0.75763035,0.4434244,2.2375226,3.31806,3.816487,1.1268853,2.9051917,MGS1
254,1.2668823,3.18064,3.9251087,2.8397279,2.5334346,0.7466703,3.8226635,0.0,3.4472291,1.574044,4.3073406,0.6563034,1.7351665,2.7207563,0.49375314,1.4033933,MGS1
264,3.4574356,2.9570634,1.8267467,0.83242023,2.523541,1.0570133,2.1637912,0.0,2.0722675,0.99591947,0.4432293,0.0,0.53723526,3.931513,1.0282891,3.1597404,MGS1
265,1.0787752,0.27472478,3.4006565,4.9689965,3.2546132,0.43618298,2.7067404,0.0,2.8387604,3.8404822,3.6964483,3.15489,1.9027579,0.97539335,1.0547478,2.157115,MGS1
266,5.150177,1.0260478,1.6667713,0.6064341,2.8808212,0.8433642,0.042138766,0.0,4.0723124,2.3534849,2.0990458,1.1174378,0.98241293,2.5884361,0.3623696,3.0179675,MGS1
286,1.457315,4.3463182,2.5845704,2.189104,1.5398468,0.52691954,3.456713,0.0,3.407125,0.42799646,3.5035245,1.2374377,3.376942,3.9866743,0.5943546,1.7023985,MGS1
288,2.4721353,3.462441,2.9558933,1.4354527,2.6172574,0.8316477,3.166247,0.0,2.6128316,1.2485217,1.756529,0.18354303,1.4807274,3.6001935,0.543127,2.2189825,MGS1
291,2.3118317,3.3021798,3.2156177,1.6676158,2.584202,0.64030045,3.0033224,0.0,2.026842,1.1222287,1.933097,0.36921635,1.3768015,3.4717052,0.42025137,2.256923,MGS1
292,2.841527,3.5286984,0.0,1.3530391,1.2003217,0.12953764,1.4622871,0.0,5.007886,0.41626868,3.535685,0.69650793,2.4148006,4.534375,0.6302212,3.5187154,MGS1
293,4.4873323,2.670375,3.2612884,1.8198707,1.5518919,1.4550874,2.333719,0.0,3.4707997,1.3181466,0.87848556,4.384656,4.8137927,3.5214396,1.4235871,1.7971528,MGS1
295,4.2159843,1.326417,3.6750991,1.7502431,2.9270847,1.1149244,2.2102737,0.0,3.330658,2.8553627,1.2697086,3.1444035,2.7571023,2.4232736,1.055852,2.1348562,MGS1
307,3.690429,1.5850291,4.319545,2.0162063,2.3721454,1.0123649,2.3160415,0.0,1.9980471,1.988223,1.4870768,3.1168802,2.5190768,2.3218975,0.82524854,1.7663047,MGS1
308,2.0302439,2.8981774,2.298379,1.9777368,1.0952594,0.9580595,2.0906768,0.0,1.1511235,0.41562563,1.7570466,3.5490854,4.61464,3.4849696,1.5911106,1.9200407,MGS1
311,3.2676327,3.3815527,3.021506,0.9394927,2.5058324,0.6533511,2.3668268,0.0,1.182894,0.57113856,0.5696407,0.07931326,0.7923125,3.907566,0.38899148,2.899202,MGS1
313,4.442235,1.6645572,3.2280695,0.72492623,3.3091862,1.1557868,1.6725044,0.0,2.0096138,2.2643542,0.16473663,1.7459865,1.6098287,2.9810905,1.0316076,2.8783634,MGS1
314,3.5354545,0.46735972,2.1707282,5.1432385,1.792516,0.95599955,0.9534811,0.0,0.80904186,2.112053,0.0,3.1789186,1.3001249,2.1049235,0.90562385,3.3421152,MGS1
315,1.9331316,2.08032,0.6795827,4.095565,2.133835,0.32266113,1.0462317,0.0,1.2228796,1.2097828,2.0890443,0.6246832,0.52643424,3.4487824,0.65456486,4.077008,MGS1
316,3.7609398,1.7430469,2.9981158,2.7741382,0.4157946,0.4328055,1.9480207,0.0,2.2417254,0.9119051,0.08008915,4.2861476,3.6040568,2.2606807,0.3381966,1.3587255,MGS1
317,3.41893,0.4095772,3.0787325,3.255806,3.3741765,0.66587216,1.5861586,0.0,1.259201,3.3562737,0.0,4.079379,3.0317206,1.9836422,1.1652436,2.6813705,MGS1
318,2.6073143,4.2473497,2.1090317,1.7603499,0.9122362,0.6218419,2.756048,0.0,2.796964,0.0,1.8426183,1.5666058,3.2113285,4.3536205,0.58555734,2.210723,MGS1
319,2.5095282,1.3754061,2.518129,5.6629066,3.0092158,0.6576638,2.2579432,0.0,0.9022569,2.898918,1.3720665,1.5318553,0.048638314,2.8103118,0.70854104,4.197813,MGS1
320,2.7220066,3.4527016,3.7054238,2.0109413,2.1893687,1.2338603,3.466685,0.0,2.563193,0.94737405,2.1431432,0.24764496,0.9277865,3.5411599,0.6388275,2.0923958,MGS1
321,4.299408,0.32838413,3.5608072,1.9533815,2.779003,0.6984329,1.4763881,0.0,2.4400876,2.9300785,0.024814188,3.9978821,2.8594687,1.5505469,0.7341642,1.7416242,MGS1
322,4.0480385,1.3290664,2.8553157,3.7517228,0.65319985,0.61398625,1.3572732,0.0,2.5732288,1.0362763,1.8064636,2.4245052,0.93450826,2.1445985,0.0,2.3039489,MGS1
324,3.5781589,0.87739885,3.458588,3.0132968,1.7723227,0.4781838,2.0769398,0.0,1.7290885,2.1387658,0.02176261,3.309224,1.9823377,1.6332227,0.3613233,1.8678744,MGS1
335,2.6487753,2.9783173,1.2953436,0.047203332,2.9683528,0.27673614,1.30572,0.0,1.2476745,1.1120462,0.93286264,0.45664218,2.2344375,3.759773,0.665228,2.7197132,MGS1
347,3.9557889,1.3986585,2.8018205,1.6652585,1.4079481,0.6246708,1.3809319,0.0,2.4251516,1.5042409,0.27052855,4.033711,3.8252792,2.289377,0.66822433,1.5737303,MGS1
348,2.0534792,1.1664461,0.32964945,3.7238207,1.8197471,0.1256752,0.33164266,0.0,0.6946589,1.2434541,0.8663167,1.130993,0.5734314,2.5999043,0.4681943,3.5858111,MGS1
349,1.904014,1.9105598,2.6651154,4.393661,0.95022184,0.79295504,2.825872,0.0,2.3630164,1.5513892,1.6295613,4.0395737,3.5533493,2.557325,1.2402437,2.0036383,MGS1
350,1.8372614,3.0929472,2.7775152,4.1027946,1.7556242,0.44525063,3.045905,0.0,0.39950228,0.76429355,0.8362303,1.4038619,1.4061961,3.5304947,0.5642552,3.0574572,MGS1
351,4.7121744,0.08448729,2.8901029,4.4758053,2.4268668,1.7039242,1.0406384,0.0,2.287147,2.7769513,0.31298834,3.9341214,1.8686788,2.4157705,1.6585586,3.314969,MGS1
352,1.6742692,3.6524441,0.9514775,3.7986846,0.13463393,0.0,2.377488,0.0,0.6812356,0.0,0.0,2.492699,3.1347473,3.91175,0.41545963,2.7233639,MGS1
353,4.4907484,1.2353017,2.6036627,1.9867988,1.551286,1.3464968,1.5617539,0.0,3.6184392,2.033294,0.1405662,4.9036245,4.6303763,2.4252844,1.4486432,1.4636315,MGS1
354,3.628277,0.6854385,3.4911978,3.2081258,1.5830989,0.95871395,2.182049,0.0,1.9438045,2.046483,0.0,3.3477316,1.8648987,1.638321,0.7784909,1.6788472,MGS1
355,3.3141613,0.17084709,3.5237424,2.1375053,3.680056,0.55816656,2.1826131,0.0,3.259533,4.1489983,1.1733048,3.266189,2.2852347,1.3240758,0.80929327,1.9033442,MGS1
356,2.0266347,1.1301588,3.1925192,4.876799,3.5688183,0.2998322,3.0881457,0.0,0.2588786,3.4651406,0.0,1.9588413,0.59765023,2.2824705,0.66600996,3.5870926,MGS1
375,3.0917056,1.5828241,2.2621865,2.9148176,2.0720263,1.0790448,1.5359409,0.0,1.4845097,1.9122326,0.4751134,4.688904,4.696445,2.9357028,1.7477474,2.3087604,MGS1
376,2.4432707,1.921673,3.1726665,3.5297768,4.5190077,0.93922806,3.1080549,0.0,1.434727,3.7320628,1.7522868,1.5704803,1.5074339,3.4188206,1.5178146,3.9468744,MGS1
377,1.4999633,4.24159,1.3181775,3.5484278,0.0020079017,0.4579311,2.881401,0.015245669,0.7736703,0.0,0.61883366,1.959374,3.05482,4.442406,0.7773427,2.6781156,MGS1
379,3.9966583,1.4530684,3.7995205,2.1143703,3.2947872,1.0315707,2.3199642,0.0,3.215406,3.0543296,1.8379141,2.9528613,2.641802,2.563328,1.0625094,2.4412735,MGS1
384,1.3767725,2.8028276,0.00392963,2.7652295,0.76883674,0.74986404,0.63631856,0.0,0.22031327,0.0,1.6814492,1.4077694,2.3059814,3.986272,1.3881807,3.326221,MGS1
386,2.392301,3.3299556,3.524545,2.0192432,2.5596693,0.59709346,3.1204581,0.0,2.1476011,1.1117175,2.146356,0.5778222,1.3811014,3.4281409,0.2963431,2.2796786,MGS1
389,3.610945,1.0153966,3.359362,1.6866468,3.45915,1.070559,2.0794563,0.0,3.0747318,3.3147385,1.4300809,2.845978,2.61634,2.2097757,1.2348119,2.157313,MGS1
394,3.6790752,0.40488023,1.7788203,0.87907386,3.2411358,0.75994164,1.0244578,0.0,2.5813012,3.2039163,0.0,3.501167,3.739854,1.8121673,1.3523549,1.713922,MGS1
396,2.8229525,1.1808201,0.604279,2.5477736,3.039372,0.38996878,0.3416024,0.0,1.8183839,2.6564884,1.8515404,2.4142876,2.6960087,2.8886917,1.1674181,3.6171348,MGS1
