sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
321,1.127617,0.0017711886,2.3572967,1.957567,0.20412418,5.3380227,3.4133675,2.8922687,MGS1
322,0.8821899,0.0,1.6537868,2.6961148,1.6807462,2.9235826,2.0446792,1.5585469,MGS1
324,0.0,0.28867638,2.5648434,2.209808,0.79705703,3.5611048,2.131789,2.1511135,MGS1
335,2.5882545,2.1809711,2.3103673,0.47175667,2.1987264,2.1734276,3.7958617,6.1282864,MGS1
347,1.8322549,0.0,1.9666882,2.2382557,0.5764154,6.19178,1.3309431,5.737892,MGS1
348,2.5780172,0.00088839914,1.8542587,0.10159297,3.3695424,3.3723617,1.8048923,0.9899143,MGS1
349,0.8648598,1.6223541,2.6714606,2.0507472,2.4122303,3.9945745,0.6202738,2.5724087,MGS1
350,1.2114513,1.499621,2.9397373,0.48882145,3.9888644,2.724116,1.9268852,1.651656,MGS1
351,2.9010396,0.28601214,2.619837,0.967107,1.3906051,5.963365,2.5187762,0.43538636,MGS1
352,0.8576538,0.882644,3.2200232,0.03546685,4.7295895,2.6303725,0.0,3.2065072,MGS1
353,1.3279028,0.97399324,2.6409423,2.7544937,0.2931957,6.5157266,1.0027753,4.367368,MGS1
354,0.0,0.8967118,2.9665883,2.1806552,0.5616302,4.3524947,1.7589664,1.5111095,MGS1
355,1.4440336,1.6252211,3.08482,2.685102,0.7221122,3.3134289,4.899689,2.6607056,MGS1
356,0.44072634,1.3835026,3.9649217,0.40896416,2.914927,3.3786607,3.2873423,0.78309524,MGS1
375,1.1648828,1.1864878,1.8893799,1.1266377,2.04436,6.1316667,0.9446578,3.5544224,MGS1
376,2.5882897,2.5253015,3.5330484,0.65771556,3.1086876,3.5066764,4.459931,2.1229868,MGS1
377,1.3160515,1.7413868,2.95113,1.4726031,3.9630032,3.178691,0.0,3.483633,MGS1
379,2.5935817,1.6289561,2.7418475,2.8261533,1.0271862,3.9565105,4.2657995,3.3587432,MGS1
384,3.4069643,0.7633685,0.40223688,0.7597818,4.0213704,4.3436103,0.0,2.0006971,MGS1
386,3.28026,1.9684318,2.452048,2.1552448,3.0123212,2.1225557,3.7007742,3.4525065,MGS1
389,2.176708,1.9441664,2.8621824,2.4516304,0.89353514,3.9469378,3.9821153,3.2367663,MGS1
394,0.30497473,1.053177,2.3105452,0.979682,0.0,4.7968583,2.7455397,4.302331,MGS1
396,1.7257919,0.13162853,0.9958782,0.86118656,2.1473048,3.128636,1.929578,2.568678,MGS1
404,4.08562,1.7884508,3.1143198,1.8447526,2.4819539,1.6844442,4.8718863,4.3797197,MGS1
405,3.1249862,1.3730004,1.0966225,5.5877705,0.6545123,1.8849827,3.292101,1.8052775,MGS1
406,1.5942246,3.436582,1.6652427,4.060946,2.9045522,0.0,0.8763751,1.7834066,MGS1
413,3.6657796,2.6438117,3.248741,1.2629635,2.458814,2.3900275,6.512679,4.610654,MGS1
414,0.25036508,4.528288,2.1218092,3.6608827,2.784842,1.9454241,3.7095227,1.4761306,MGS1
415,2.1646051,2.5509305,1.6350684,5.630398,0.6738323,1.4974107,5.189451,2.2432928,MGS1
425,4.431792,1.8509865,3.2069104,1.3567789,2.6927412,1.6682246,4.0374656,4.9874296,MGS1
447,1.7483819,0.71863216,1.0924858,4.1118855,1.4536469,4.3195677,2.7093713,0.6564838,MGS1
452,5.756081,0.45339406,2.2707307,1.0360394,0.378126,5.00215,3.206518,2.926755,MGS1
466,2.4031267,2.5586853,2.4572356,2.6390536,3.5524466,3.2633357,2.045168,5.8252807,MGS1
468,0.5066138,2.6117918,2.5674365,4.669714,1.4841509,3.601389,3.31787,2.3281002,MGS1
480,4.14017,2.5380013,2.5081913,0.6731391,2.1911614,2.84936,5.57765,3.26868,MGS1
490,3.4542778,3.2118328,0.76739806,2.1592875,3.9712422,3.892581,2.3533852,5.220292,MGS1
491,0.7040962,3.4848158,0.16652137,3.711716,3.8404462,3.1482558,0.7345792,3.470705,MGS1
495,3.5356255,1.6745136,1.890877,1.048904,2.7522247,1.4925325,3.849035,3.9820304,MGS1
499,3.5699668,1.0065429,3.1161363,1.3093002,0.7341696,3.0429926,4.916038,4.1223645,MGS1
501,1.8723662,1.9607153,0.64751416,4.0288706,2.51888,0.72653663,1.0652627,1.4383208,MGS1
