"gene","frequency"
"TRAPPC8",2
"TRIP12",2
"TRPC4AP",2
"TSPAN3",2
"TSR2",2
"UBAC2",2
"UBE2Z",2
"UBE3A",2
"UBE4A",2
"UBE4B",2
"UBQLN1",2
"UBXN4",2
"UNC50",2
"UPF1",2
"UQCRC2",2
"USF2",2
"USP11",2
"USP48",2
"UVRAG",2
"VPS33B",2
"WHSC1L1",2
"XRN2",2
"YME1L1",2
"ZC3H11A",2
"ZC3H15",2
"ZC3H3",2
"ZFP91",2
"ZMYM4",2
"ZNF197",2
"ZYG11B",2
"AAAS",1
"AAGAB",1
"AAK1",1
"AAMP",1
"AARS",1
"AASDHPPT",1
"ABCA3",1
"ABCB7",1
"ABCD4",1
"ABHD16A",1
"ABL2",1
"ABR",1
"ACAD8",1
"ACAP3",1
"ACBD5",1
"ACBD6",1
"ACD",1
"ACIN1",1
"ACSL4",1
"ACTR1A",1
"ACTR6",1
"ADAM19",1
"ADAM22",1
"ADAM23",1
"ADCK4",1
"ADCY6",1
"ADGRB2",1
"ADGRL2",1
"ADO",1
"AEBP2",1
"AGAP3",1
"AGBL5",1
"AGO1",1
"AK1",1
"AKAP10",1
"AKTIP",1
"ALAD",1
"ALDH3A2",1
"ALDH4A1",1
"ALS2",1
"AMIGO2",1
"ANKFY1",1
"ANKIB1",1
"ANKRD13C",1
"ANKRD17",1
"ANXA7",1
"AP1M1",1
"AP2B1",1
"AP2S1",1
"AP3D1",1
"APBB2",1
"AREL1",1
"ARF3",1
"ARF5",1
"ARFGAP2",1
"ARFIP2",1
"ARGLU1",1
"ARHGAP21",1
"ARHGAP5",1
"ARHGEF10L",1
"ARHGEF12",1
"ARHGEF2",1
"ARL1",1
"ARL2BP",1
"ARL5A",1
"ARL5B",1
"ARL8A",1
"ARL8B",1
"ARRB2",1
"ASH1L",1
"ASH2L",1
"ASXL1",1
"ASXL2",1
"ATF2",1
"ATF6",1
"ATG101",1
"ATG9A",1
"ATM",1
"ATMIN",1
"ATOX1",1
"ATP13A1",1
"ATP1A1",1
"ATP2B2",1
"ATP5A1",1
"ATP5F1",1
"ATP5J",1
"ATP5J2",1
"ATP5O",1
"ATP6AP2",1
"ATP6V0A1",1
"ATP6V1B2",1
"ATP6V1C1",1
"ATP6V1E1",1
"ATP6V1G1",1
"ATP6V1G2",1
"ATP8A2",1
"ATP9A",1
"ATRN",1
"ATXN10",1
"ATXN2",1
"ATXN7L3",1
"ATXN7L3B",1
"AURKAIP1",1
"B4GALT2",1
"B4GAT1",1
"BABAM1",1
"BBX",1
"BCAP29",1
"BCL9",1
"BDH1",1
"BIN1",1
"BLOC1S6",1
"BNIP2",1
"BOD1L1",1
"BPTF",1
"BRAT1",1
"BRD2",1
"BRD8",1
"BRF1",1
"BRK1",1
"BSDC1",1
"BTBD1",1
"BTBD9",1
"BTF3L4",1
"C11orf54",1
"C11orf58",1
"C12orf49",1
"C14orf159",1
"C16orf58",1
"C1orf43",1
"C2CD2",1
"C2orf49",1
"C5orf51",1
"C6orf1",1
"C9orf142",1
"C9orf72",1
"C9orf78",1
"CACUL1",1
"CAMSAP2",1
"CAMSAP3",1
"CAMTA1",1
"CAMTA2",1
"CAP1",1
"CAPNS1",1
"CAPZA2",1
"CARF",1
"CARM1",1
"CASC3",1
"CASD1",1
"CC2D2A",1
"CCDC12",1
"CCDC191",1
"CCDC90B",1
"CCDC97",1
"CCNI",1
"CD200",1
"CD276",1
"CDC16",1
"CDC27",1
"CDC37",1
"CDC42",1
"CDC42BPB",1
"CDC73",1
"CDIPT",1
"CDON",1
"CENPQ",1
"CENPT",1
"CEP295",1
"CEP97",1
"CERS2",1
"CFAP221",1
"CFLAR",1
"CHCHD4",1
"CHD2",1
"CHD3",1
"CHD6",1
"CHD9",1
"CHMP1A",1
"CHMP2A",1
"CHMP4B",1
"CHMP5",1
"CHRNB3",1
"CHTOP",1
"CIAO1",1
"CIC",1
"CKB",1
"CLASP1",1
"CLASP2",1
"CLCN6",1
"CLIP4",1
"CLK3",1
"CLK4",1
"CLTA",1
"CLUH",1
"CNNM1",1
"CNOT11",1
"CNOT9",1
"CNPPD1",1
"CNTN1",1
"CNTN4",1
"COA1",1
"COA3",1
"COA4",1
"COMMD8",1
"COPA",1
"COPE",1
"COPS4",1
"COPS6",1
"COPZ1",1
"COQ6",1
"CORO1B",1
"COX7B",1
"COX7C",1
"CPD",1
"CPNE1",1
"CPNE3",1
"CPNE8",1
"CPSF3",1
"CRCP",1
"CREB1",1
"CREBL2",1
"CRK",1
"CRTC1",1
"CSK",1
"CSNK1D",1
"CSNK1G1",1
"CTB-50L17.10",1
"CTDSP1",1
"CTNNA1",1
"CUL4B",1
"CYB5B",1
"CYB5D2",1
"CYFIP2",1
"DAD1",1
"DAZAP1",1
"DCAF1",1
"DCAF10",1
"DCAF11",1
"DCAF12",1
"DCLRE1A",1
"DCTN2",1
"DCTN6",1
"DDI2",1
"DDOST",1
"DDX24",1
"DDX42",1
"DDX54",1
"DFFA",1
"DGKZ",1
"DHX15",1
"DHX33",1
"DHX35",1
"DHX36",1
"DLG2",1
"DLG3",1
"DLGAP4",1
"DMAP1",1
"DMWD",1
"DMXL1",1
"DNAJA3",1
"DNAJB14",1
"DNAJC11",1
"DNAJC13",1
"DNAJC21",1
"DNM3",1
"DNTTIP1",1
"DOCK7",1
"DOCK9",1
"DPY19L1P1",1
"DSCR3",1
"DST",1
"DTNB",1
"DUSP22",1
"DYNC1I2",1
"DYNC1LI1",1
"DYNLT3",1
