"gene","frequency"
"MGAT4A",2
"MLF2",2
"MRPS24",2
"MTX2",2
"MUM1",2
"MXD4",2
"NAA40",2
"NCSTN",2
"NDUFS5",2
"NDUFS8",2
"NELFCD",2
"NFATC2IP",2
"NOL7",2
"NOVA1",2
"NPEPPS",2
"NRDC",2
"NUDT9",2
"NUMA1",2
"NUP214",2
"ORC4",2
"OSBPL11",2
"PAIP1",2
"PARP6",2
"PATZ1",2
"PAXBP1-AS1",2
"PDAP1",2
"PDDC1",2
"PELI2",2
"PHF1",2
"PIKFYVE",2
"PJA1",2
"PLA2G6",2
"PMM1",2
"PNKD",2
"POLD3",2
"POLR2C",2
"POP4",2
"PPHLN1",2
"PPP1R13B",2
"PPP2R2A",2
"PPP2R5D",2
"PPP3CA",2
"PRKCI",2
"PRPF19",2
"PRPF40B",2
"PRPF4B",2
"PSMB5",2
"PSMC1",2
"PSMD1",2
"PYGO2",2
"QSER1",2
"R3HDM1",2
"R3HDM4",2
"RAB10",2
"RAB2A",2
"RAB3GAP1",2
"RAD23A",2
"RANBP3",2
"RASA1",2
"REEP3",2
"RIC8A",2
"RIMKLB",2
"RIOK3",2
"RNF10",2
"RNF115",2
"RNF170",2
"RNPS1",2
"RP11-147L13.11",2
"RP5-1187M17.10",2
"RPL11",2
"RPL27",2
"RPL6",2
"RPN1",2
"RPS17",2
"RPS7",2
"RSL24D1",2
"RTFDC1",2
"RWDD1",2
"SACM1L",2
"SAMD8",2
"SAR1A",2
"SCAF8",2
"SCOC",2
"SCP2",2
"SCYL2",2
"SDHC",2
"SDHD",2
"SEC31A",2
"SENP2",2
"SENP5",2
"SETD2",2
"SF3B3",2
"SH2B1",2
"SH3GLB2",2
"SKIL",2
"SLC25A42",2
"SLC35A4",2
"SLC39A9",2
"SMARCD1",2
"SMIM13",2
"SMPD1",2
"SMPD4",2
"SNAP91",2
"SNTB1",2
"SNX14",2
"SON",2
"SPG21",2
"SRPK2",2
"SRRD",2
"SRSF4",2
"SSR3",2
"STAU2",2
"STX3",2
"SUCLG1",2
"SUMO2",2
"SYNJ2BP",2
"SYNRG",2
"TAF11",2
"TAF6",2
"TCAIM",2
"TCEA1",2
"TCEA2",2
"TCEB1",2
"TCF12",2
"TCF4",2
"TERF2",2
"TLK2",2
"TMCC1",2
"TMEM126B",2
"TMEM167A",2
"TMEM167B",2
"TMEM254",2
"TMEM259",2
"TMX2",2
"TNPO2",2
"TP53BP2",2
"TRIM33",2
"TRPC4AP",2
"TSC2",2
"TSG101",2
"TSPAN3",2
"TTBK2",2
"TTC33",2
"UBAC1",2
"UBAP2L",2
"UBE2K",2
"UBE2L3",2
"UBE2N",2
"UBE3C",2
"UBE4A",2
"UBE4B",2
"UBL3",2
"UBXN4",2
"UFC1",2
"UGP2",2
"ULK3",2
"UQCC1",2
"UROS",2
"USP20",2
"USP22",2
"USP33",2
"USP39",2
"VDAC2",2
"VPS37A",2
"VPS39",2
"VPS41",2
"VPS9D1",2
"WASL",2
"WDR7",2
"WSCD2",2
"XPO7",2
"XRCC6",2
"XRN2",2
"YIPF3",2
"YIPF6",2
"YME1L1",2
"YTHDF1",2
"YWHAE",2
"ZCCHC6",2
"ZFP91",2
"ZKSCAN5",2
"ZNF181",2
"ZNF225",2
"ZNF264",2
"ZNF451",2
"ZNF76",2
"ZNF768",2
"ABAT",1
"ABCB7",1
"ABCD3",1
"ABHD18",1
"ABHD2",1
"ABL1",1
"AC024560.3",1
"ACBD5",1
"ACER3",1
"ACIN1",1
"ACTR1B",1
"ACTR2",1
"ACTR3",1
"ADH5",1
"ADNP",1
"ADO",1
"AGFG1",1
"AGO1",1
"AGPAT1",1
"AKAP1",1
"ALAD",1
"ALG1",1
"ALKBH8",1
"AMMECR1L",1
"AMY2B",1
"AMZ2",1
"ANAPC7",1
"ANGEL1",1
"ANKFY1",1
"ANKLE2",1
"ANKRD39",1
"ANKRD52",1
"ANKRD54",1
"ANO10",1
"ANP32B",1
"AP1AR",1
"AP2A2",1
"AP2B1",1
"AP2M1",1
"APLP2",1
"APMAP",1
"APP",1
"ARFGAP3",1
"ARGLU1",1
"ARHGEF25",1
"ARHGEF6",1
"ARIH2",1
"ARL14EP",1
"ARL2BP",1
"ARL5A",1
"ARL6IP1",1
"ARL8B",1
"ARPC2",1
"ASB3",1
"ASCC1",1
"ASNA1",1
"ASXL1",1
"ASXL2",1
"ATCAY",1
"ATG16L1",1
"ATG4B",1
"ATMIN",1
"ATP11B",1
"ATP1A1",1
"ATP2B2",1
"ATP5A1",1
"ATP5F1",1
"ATP5J2",1
"ATP6V0A2",1
"ATP9A",1
"ATXN1",1
"ATXN2",1
"B3GAT3",1
"B4GALT3",1
"BAG1",1
"BAG6",1
"BAZ2B",1
"BCAP31",1
"BCL2L2",1
"BICD1",1
"BLCAP",1
"BMT2",1
"BNIP2",1
"BOD1L1",1
"BPTF",1
"BRAF",1
"BRCC3",1
"BRD2",1
"BRF1",1
"BRIX1",1
"BRSK1",1
"BSDC1",1
"BTBD1",1
"BTBD2",1
"BTF3",1
"BTF3L4",1
"C12orf49",1
"C16orf52",1
"C22orf39",1
"C2CD5",1
"C3orf33",1
"C5orf24",1
"C6orf62",1
"CA11",1
"CACHD1",1
"CADM4",1
"CALCOCO1",1
"CALM1",1
"CAMK4",1
"CAMKK2",1
"CAND1",1
"CAPN1",1
"CARM1",1
"CASC3",1
"CBFB",1
"CBLL1",1
"CBX3",1
"CBX7",1
"CCAR1",1
"CCAR2",1
"CCDC191",1
"CCDC47",1
"CCDC92",1
"CCDC97",1
"CCNB1IP1",1
"CCNJ",1
"CCNT2",1
"CCNY",1
"CCSER2",1
"CCT5",1
"CD2BP2",1
"CD59",1
"CDC16",1
"CDC42",1
"CEP350",1
"CEPT1",1
"CFAP20",1
"CFL1",1
"CHD7",1
"CHMP4B",1
"CHMP5",1
"CHP1",1
"CHTOP",1
"CIAO1",1
"CIZ1",1
"CKB",1
"CLASP1",1
"CLASRP",1
"CLCN3",1
"CLCN6",1
"CLPP",1
"CLTA",1
"CMTR1",1
"CNNM3",1
"CNOT2",1
"CNOT3",1
"CNOT7",1
"CNPY2",1
"CNTN1",1
"CNTN4",1
"COA7",1
"COASY",1
"COG1",1
"COG2",1
"COG7",1
"COPG1",1
"COPG2",1
"COPS3",1
"COPS7A",1
"COQ10A",1
"COQ7",1
"CORO2B",1
"COX4I1",1
"COX6A1",1
"COX6B1",1
"COX7C",1
"CPEB2",1
"CPEB3",1
"CPNE3",1
"CPPED1",1
"CRBN",1
"CRCP",1
"CREB1",1
"CREB3",1
"CREBBP",1
"CRMP1",1
"CRTC1",1
"CSNK1D",1
"CSNK1E",1
"CSNK2A2",1
"CSTF1",1
"CTDP1",1
"CUEDC2",1
"CUL2",1
"CUL4A",1
"CUL4B",1
"CUL5",1
"CUL7",1
"CUX1",1
"CXorf23",1
"CYFIP1",1
"CYTH1",1
"DBNL",1
"DCAF1",1
"DCAF13",1
"DCAF7",1
"DCTD",1
"DCTN3",1
"DCTN5",1
"DDX17",1
"DDX47",1
"DEK",1
"DENND5A",1
"DEPDC5",1
"DHPS",1
"DHX30",1
"DHX35",1
"DHX36",1
"DHX9",1
"DIABLO",1
"DICER1",1
"DIDO1",1
"DKK3",1
"DLD",1
"DLG2",1
"DMAP1",1
"DMTF1",1
"DNAJA3",1
"DNAJC30",1
"DNAJC7",1
"DNAJC8",1
"DNAL4",1
"DNM1",1
"DNMT1",1
"DOCK3",1
"DOCK9",1
"DOK4",1
"DPF2",1
"DPY30",1
"DRAP1",1
"DRC3",1
"DST",1
"DTX3",1
"DUS1L",1
"DUSP12",1
"DUSP16",1
"DYNC1H1",1
"E2F3",1
"ECD",1
"EDC3",1
"EDC4",1
"EDF1",1
"EEF2",1
"EHBP1",1
"EHMT2",1
"EI24",1
"EID1",1
"EIF2S1",1
"EIF3F",1
"EIF3H",1
"EIF3L",1
"EIF4A1",1
"EIF4E2",1
"EIF4G1",1
"EIF4H",1
"EIF5A",1
"ELOVL2",1
"ELP5",1
"EMC3",1
"EMC4",1
"EMC7",1
"EML5",1
"ENAH",1
"ENPP4",1
"ENSA",1
"ENTPD4",1
"EP300",1
"EPB41L2",1
"EPC1",1
"EPRS",1
"ERAL1",1
"ERGIC2",1
"ERH",1
"ERLIN2",1
"ERMARD",1
"ESRRG",1
"EXTL2",1
"FAM120C",1
"FAM134C",1
"FAM136A",1
"FAM174A",1
"FAM208A",1
"FAM208B",1
"FAM219B",1
"FAM220A",1
"FAM222B",1
"FAM24B",1
"FAM3A",1
"FAM3C",1
"FAM50B",1
"FAM63B",1
"FAM84B",1
"FAM8A1",1
"FAN1",1
"FANK1",1
"FAR1",1
"FASTKD2",1
"FBXO11",1
"FBXO18",1
"FBXO21",1
"FBXO28",1
"FER",1
"FERMT2",1
"FGD4",1
"FGD5-AS1",1
"FGD6",1
"FGF12",1
"FGFR1OP2",1
"FH",1
"FKBP4",1
"FLAD1",1
"FMN1",1
"FOCAD",1
"FOPNL",1
"FOXK2",1
"FRZB",1
"FUK",1
"FYN",1
"GABRB3",1
"GFOD2",1
"GFPT1",1
"GGA2",1
"GGNBP2",1
"GGPS1",1
"GGT7",1
"GID4",1
"GID8",1
"GINM1",1
"GIT1",1
"GLYR1",1
"GNAO1",1
"GNPAT",1
"GNPNAT1",1
"GOLGB1",1
"GOPC",1
"GORASP2",1
"GPBP1L1",1
"GPR162",1
"GPR180",1
"GPRASP2",1
"GPS1",1
"GPX4",1
"GRIK5",1
"GSS",1
"GTF2IRD1",1
"GTF3A",1
"GTF3C1",1
"GXYLT1",1
"GYG1",1
"H2AFV",1
"H3F3A",1
"HARS",1
"HARS2",1
"HBP1",1
"HCFC2",1
"HDAC5",1
"HDLBP",1
"HEATR5B",1
"HECTD3",1
"HECW2",1
"HEPH",1
"HERC4",1
"HERPUD2",1
"HID1",1
"HIF1A",1
"HINT2",1
"HIPK1",1
"HMGCL",1
"HNRNPA2B1",1
"HNRNPA3",1
"HNRNPAB",1
"HNRNPF",1
"HNRNPL",1
"HPCAL1",1
"HS6ST1",1
"HTT",1
"HUWE1",1
"IDS",1
"IFT122",1
"IFT81",1
"IGSF3",1
"ILF2",1
"IMPA1",1
"ING1",1
"INTS10",1
"INTS2",1
"INTS4",1
"INTS7",1
"IPO9",1
"IQCE",1
"IQGAP2",1
"ISCU",1
"ITCH",1
"ITFG2",1
"ITGB1",1
"ITM2B",1
"ITPR1",1
"ITSN1",1
"JKAMP",1
"JPH4",1
"KAT5",1
"KAT8",1
"KBTBD2",1
"KCND3",1
"KCNMA1",1
"KDELR1",1
"KEAP1",1
"KIAA0319L",1
"KIAA0513",1
"KIAA1429",1
"KIDINS220",1
"KIF1A",1
"KIF1B",1
"KIF3A",1
"KLC1",1
"KLC4",1
"KLHL9",1
"KMT2B",1
"KMT2E",1
"KMT5A",1
"KPNA1",1
"KPNA3",1
"KPNA5",1
"KRAS",1
"L2HGDH",1
"LAMTOR5",1
"LARP1",1
"LARP6",1
"LATS1",1
"LDB1",1
"LDOC1L",1
"LEMD2",1
"LHX4",1
"LINC00094",1
"LINC00294",1
"LINC00493",1
"LIX1",1
"LMBRD2",1
"LRIG1",1
"LRRC8A",1
"LRSAM1",1
"LSAMP",1
"LSM12",1
"LSM14B",1
"LUC7L2",1
"LUZP1",1
"LYN",1
"LYRM7",1
"LYSMD1",1
"M6PR",1
"MAD1L1",1
"MADD",1
"MAGEF1",1
"MAK",1
"MAML1",1
"MAN1B1",1
"MAN1C1",1
"MANBA",1
"MANBAL",1
"MAOA",1
"MAP2K2",1
"MAP3K2",1
"MAP4",1
"MAP4K2",1
"MAP4K3",1
"MAPK10",1
"MAPK14",1
"MAPKAPK5",1
"MAPKBP1",1
"MAPRE3",1
"MARCH7",1
"MARCH9",1
"MARK2",1
"MAST1",1
"MATR3",1
"MAVS",1
"MBD4",1
"MCM3AP",1
"MCOLN1",1
"MDC1",1
"MDH2",1
"MEAF6",1
"MED12",1
"MED12L",1
"MED21",1
"MED23",1
"MED24",1
"MED28",1
"MED4",1
"MEF2A",1
"MEGF10",1
"MEPCE",1
"METAP2",1
"METTL14",1
"METTL15",1
"METTL17",1
"METTL9",1
"MEX3C",1
"MFN1",1
"MIA3",1
"MIEF1",1
"MIEF2",1
"MIER3",1
"MINPP1",1
"MKL1",1
"MLLT10",1
"MLLT4",1
"MLLT6",1
"MOB1A",1
"MOCS2",1
"MPP2",1
"MPRIP",1
"MRAS",1
"MRPL22",1
"MRPL28",1
"MRPL57",1
"MRPL9",1
"MRPS14",1
"MRPS27",1
"MRRF",1
"MRS2",1
"MSI2",1
"MSN",1
"MTA3",1
"MTDH",1
"MTF2",1
"MTMR10",1
"MTMR9",1
"MTPN",1
"MTURN",1
"MTUS1",1
"MUS81",1
"MYL6B",1
"MYLK",1
"MYO9A",1
"MYT1L",1
"N4BP2L2",1
"NAA15",1
"NAA30",1
"NAA50",1
"NACA",1
"NADK2",1
"NAP1L1",1
"NAT10",1
"NAT9",1
"NBPF12",1
"NBR1",1
"NCOA1",1
"NCOR1",1
"NDST2",1
"NDUFA1",1
"NDUFA5",1
"NDUFB8",1
"NECAP1",1
"NEK9",1
"NELFB",1
"NEO1",1
"NEUROD4",1
"NFIB",1
"NFU1",1
"NIPBL",1
"NIPSNAP1",1
"NISCH",1
"NME4",1
"NMT1",1
"NONO",1
"NOVA2",1
"NR3C2",1
"NRCAM",1
