representation,model,accuracy,balanced_acc,roc_auc
CNC-VAE latent,NB,0.687,0.623,0.683
CNC-VAE latent,SVM,0.633,0.555,0.614
CNC-VAE latent,RF,0.621,0.564,0.614
PCA (4),NB,0.784,0.737,0.812
PCA (4),SVM,0.748,0.706,0.824
PCA (4),RF,0.753,0.723,0.75
Raw concatenated,NB,0.747,0.722,0.83
Raw concatenated,SVM,0.747,0.659,0.853
Raw concatenated,RF,0.765,0.722,0.803
