"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t","c1_2",-1.76665606883746,3.04096536439235,-5.3883511100339,9.74267435606464e-07,1.94316565497244e-06
"t3","c1_5",1.51157611048113,-2.60189330492653,5.37014611989835,1.05516477574098e-06,1.94316565497244e-06
"t2","c1_4",-0.916363955875279,1.57734779290007,-5.26978342027926,1.45737424122933e-06,1.94316565497244e-06
"t1","c1_3",-1.66123892038323,2.85950961705311,-5.1007418339797,3.18194956299596e-06,3.18194956299596e-06
