"","Module","Control_mean","Late_mean","t_statistic","p_value","FDR"
"t2","c1_4",-0.911107273455588,1.56829940512847,-5.76533848064119,1.94047126939698e-07,6.47631757485483e-07
"t1","c1_3",-1.49801754957486,2.57855479844853,-5.69596450655921,2.59052702994193e-07,6.47631757485483e-07
"t3","c1_5",-1.19207976238479,2.05194057459676,-5.47022598421989,5.86572317865064e-07,9.77620529775106e-07
"t4","c1_7",-0.88557116916789,1.52434381578079,-5.32714552823557,1.17138675495117e-06,1.46423344368896e-06
"t","c1_2",-1.91262445150993,3.29222241653349,-4.96313695502652,5.20476316719897e-06,5.20476316719897e-06
