from,to,weight
C1R,SERPING1,0.42770516162793465
C1R,HLA-DRA,0.16413893613801264
C1R,B2M,0.20550852376470358
C1R,CTSZ,0.18276465283163407
C1R,CFB,0.4338985856058655
C1R,CRKL,0.0
C1R,BCL7B,0.0
C1R,PHLPP1,0.0648895577911803
C1R,DFFA,0.0
C1R,RP11-700H6.1,0.04488585164357882
C1R,AHDC1,0.0
C1R,RP11-46H11.11,0.0
C1R,EI24,0.0
C1R,CROCCP3,0.0
C1R,CENPP,0.01083830108453936
C1R,GLYCTK,0.0343937192503483
C1R,RP11-218M22.1,0.0
C1R,GNAI2,0.08741481569301326
C1R,NPM1P37,0.012123877774213098
C1R,EGFL6,0.0983595719735832
C1R,PARVA,0.054925360149470276
C1R,SEMA4G,0.07226550015341793
C1R,MIR34A,0.1700277906794649
C1R,RHPN1,0.02034987483891008
C1R,HSPA1L,0.013681972789709633
C1R,FBN2,0.008119541868666338
C1R,CES3,0.017506203133739823
C1R,TSC22D3,0.09473685276066468
C1R,NDUFA6,0.09169166992438278
C1R,NPHP3,0.0
C1R,DNAJC13,0.0
C1R,RP11-75L1.2,0.0
C1R,ADAMTS18,0.06275392639904719
C1R,CD300E,0.0
C1R,RRAGC,0.0
C1R,IFITM1,0.08328556729816922
C1R,SOBP,0.026440240511474002
C1R,LIFR-AS1,0.0
C1R,ZNF552,0.0918931810554944
C1R,RMI1,0.0
C1R,RAI1,0.004170399035338877
C1R,SLC26A4,0.03265551867333513
C1R,GLOD5,0.04028257379180036
C1R,LITAF,0.21565153919029711
C1R,MRPS31P4,0.0
C1R,C7orf26,0.0
C1R,N4BP2L1,0.0
C1R,CAMKK2,0.0
C1R,FAM222B,0.025459681872614028
C1R,SLC45A2,0.035374277889208085
C1R,C19orf12,0.07052729957640494
C1R,AC129492.6,0.03134853641406632
C1R,ARHGEF6,0.08308405616705754
C1R,CSNK2A2,0.0
C1R,PAPLN,0.0663766456119657
C1R,ZNF230,0.021330433477770035
C1R,TCEAL5,0.04871008198760912
C1R,AF186192.5,0.07402510630002603
C1R,RP11-572P18.1,0.059708743562765176
C1R,PRAM1,0.015948108118243213
C1R,RP11-343C2.11,0.0
C1R,SPTBN5,0.0
C1R,UTRN,0.00034616869130862915
C1R,TAF2,0.06488955779118034
C1R,TTC13,0.06922031731713607
C1R,C12orf65,0.03439371925034818
C1R,PRSS50,0.10986476273066473
C1R,SRD5A3,0.02850486470889599
C1R,MARCH1,0.04825745810026974
C1R,CDK12,0.11861869454688247
C1R,SYT9,0.010838301084539322
C1R,AEN,0.030062959724392466
C1R,HLF,0.0
C1R,DDX20,0.08962704572696072
C1R,MSH3,0.04488585164357884
C1R,C19orf60,0.07893340220261844
C1R,OTX2,0.018012732315665275
C1R,C16orf45,0.0
C1R,ANKRD18B,0.0
C1R,SLC35A5,0.04184066880729698
C1R,ATE1-AS1,0.07324605879227784
C1R,HAP1,0.28953198793012636
C1R,TSPEAR,0.024680634364865856
C1R,SOAT1,0.05381988902131292
C1R,GPATCH11,0.055105465710986734
C1R,LINC00987,0.0
C1R,CDCA7,0.10218380231761344
C1R,STAMBP,0.02417410518294029
C1R,CFI,0.22957047111243783
C1R,AGPAT1,0.0
C1R,TSPYL5,0.07770173080753086
C1R,ZFYVE19,0.0
C1R,NAPSA,0.015746596987131566
C1R,GGT1,0.0070140707405091695
C1R,VSIG10L,0.0
C1R,RP11-497E19.1,0.012902925281961328
C1R,PLEKHA8P1,0.0
C1R,CRHR1,0.0
C1R,IFT43,0.0
