from,to,weight
C1R,SERPING1,0.42770516162793465
C1R,HLA-DRA,0.16413893613801264
C1R,B2M,0.20550852376470358
C1R,CTSZ,0.18276465283163407
C1R,CFB,0.4338985856058655
C1R,RP11-324I22.4,0.016727155625991558
C1R,ATP5S,0.01161734859228759
C1R,SNRNP70,0.0
C1R,FXR2,0.02468063436486572
C1R,ZHX1,0.0
C1R,IQCB1,0.006812559609397502
C1R,WRNIP1,0.0
C1R,SMIM14,0.012902925281961386
C1R,ANAPC5,0.018590268692301952
C1R,EXOC1,0.0
C1R,MTFR2,0.0
C1R,PLPP3,0.057442608234231536
C1R,DSP,0.0
C1R,PICK1,0.01496754947938339
C1R,RFT1,0.0
C1R,PPEF1,0.11046370467689667
C1R,SRRM4,0.0
C1R,C11orf84,0.0
C1R,CHEK1,0.01957082733116179
C1R,PHACTR3,0.00034616869130862915
C1R,RP11-736K20.4,0.0
C1R,KANK1,0.06488955779118034
C1R,METTL9,0.0
C1R,ZNF561-AS1,0.019772338462273536
C1R,GABRA4,0.0
C1R,AP006285.2,0.09169166992438274
C1R,C11orf80,0.030062959724392484
C1R,CCDC159,0.0
C1R,C20orf203,0.08592772787222785
C1R,USP40,0.0
C1R,NEDD1,0.009857742445679463
C1R,PEX16,0.026440240511473943
C1R,RP11-456K23.1,0.0
C1R,SEMA3B,0.044106804135830555
C1R,RIDA,0.0
C1R,CAMKMT,0.013681972789709633
C1R,IRS2,0.022414499036332122
C1R,PRSS23,0.11700669423679973
C1R,CPQ,0.1017311784302741
C1R,MAPK12,0.01594810811824329
C1R,ZMPSTE24,0.01192236664310147
C1R,GOLGA6L4,0.01574659698713162
C1R,MIER1,0.01594810811824327
C1R,MARS2,0.031550047545177894
C1R,NDUFV1,0.021836962659695522
C1R,ELP6,0.0
C1R,PLCD1,0.11907131843422175
C1R,CEP68,0.03155004754517791
C1R,MRPL2,0.0
C1R,NFKB1,0.0
C1R,ASB6,0.0
C1R,CDAN1,0.012902925281961367
C1R,FAM187A,0.05970874356276529
C1R,RP11-488C13.7,0.0
C1R,ENPP2,0.0705272995764049
C1R,EEF1E1,0.06431202141454377
C1R,ZNF519,0.10269033149953892
C1R,TADA3,0.006235023232760845
C1R,ATP6V0E1,0.07925982582302735
C1R,SORBS1,0.1561854573991384
C1R,PPP1R12A,0.0
C1R,LMAN2,0.022616010167443697
C1R,PIP5K1B,0.0
C1R,NAAA,0.06333146277568373
C1R,ATP11A,0.0
C1R,ZNF674-AS1,0.10553400320470913
C1R,ZNF717,0.047931034479860836
C1R,ACTR1B,0.0011252161990569541
C1R,PMS1,0.08975195821625812
C1R,FKBP3,0.013681972789709633
C1R,KDM8,0.026238729380362296
C1R,AC064875.2,0.0667030692323747
C1R,SLC37A2,0.12289554877825198
C1R,FGFRL1,0.05764411936534324
C1R,ACSS1,0.15825008159656043
C1R,SOD2,0.009857742445679368
C1R,GOSR1,0.08049149721811497
C1R,TM2D2,0.05970874356276523
C1R,RD3L,0.05744260823423159
C1R,TBC1D3F,0.0
C1R,TP73-AS1,0.06793474062746226
C1R,DPP10-AS1,0.0
C1R,RP11-199F11.2,0.0
C1R,PDE8B,0.1309953455760187
C1R,PNPLA7,0.0
C1R,CIR1,0.04184066880729698
C1R,F8,0.04236860355881756
C1R,MCM4,0.1273726263631002
C1R,ATXN1L,0.0
C1R,SLC15A4,0.06559759810421745
C1R,EMP2,0.17579173273161977
C1R,NAB2,0.03821794959437835
C1R,POLR3F,0.0709799234637442
C1R,WHAMMP3,0.059708743562765156
