"Module","Test","N_MGS1","N_MGS4","Control_mean","Late_mean","Control_median","Late_median","Median_diff_Late_minus_Control","W_statistic","p_value","Effect_rank_biserial","FDR"
"c1_4","Wilcoxon rank-sum (unpaired)",105,61,-1.45326069869627,2.501514317428,-1.70369866692488,1.25874825310225,2.96244692002713,1233,4.25093244808326e-11,0.614988290398127,2.12546622404163e-10
"c1_9","Wilcoxon rank-sum (unpaired)",105,61,1.1867967757972,-2.04284690915911,1.38074042585361,-1.03405182020607,-2.41479224605968,5122,1.29647525992723e-10,-0.599375487900078,2.35960992576353e-10
"c1_3","Wilcoxon rank-sum (unpaired)",105,61,-1.07429069090571,1.84918889418196,-1.34883573513341,0.404393291806393,1.7532290269398,1287,1.41576595545812e-10,0.598126463700234,2.35960992576353e-10
"c1_5","Wilcoxon rank-sum (unpaired)",105,61,-1.0254276242517,1.76508033682669,-1.25278206271661,1.01910065051646,2.27188271323307,1464,5.83794205414832e-09,0.542857142857143,7.2974275676854e-09
"c1_2","Wilcoxon rank-sum (unpaired)",105,61,-1.25902654399922,2.16717683803144,-1.61081040172473,0.50540894580599,2.11621934753072,1526,1.98080465666291e-08,0.523497267759563,1.98080465666291e-08
