row	col	rho
ENSG00000181804	ENSG00000069535	0.961912380471224
ENSG00000182326	ENSG00000069535	0.96028744768994
ENSG00000243649	ENSG00000149131	0.953582620527471
ENSG00000204287	ENSG00000069535	0.939014988305696
ENSG00000125730	ENSG00000159403	0.938017021771956
ENSG00000153029	ENSG00000149131	0.936895349676002
ENSG00000204287	ENSG00000231389	0.936543737501385
ENSG00000182326	ENSG00000181804	0.936503442936699
ENSG00000182326	ENSG00000204287	0.936109689576473
ENSG00000153029	ENSG00000069535	0.934216744373598
ENSG00000125730	ENSG00000128262	0.92966299592624
ENSG00000243649	ENSG00000180638	0.926931120497144
ENSG00000166278	ENSG00000204252	0.925650146542628
ENSG00000153029	ENSG00000181804	0.925583560840027
ENSG00000149131	ENSG00000069535	0.923143075155046
ENSG00000159403	ENSG00000149131	0.916651437132244
ENSG00000111801	ENSG00000204287	0.916418740368973
ENSG00000182326	ENSG00000153029	0.916328607979569
ENSG00000204287	ENSG00000181804	0.915545005560648
ENSG00000182326	ENSG00000149131	0.915087975794644
ENSG00000125730	ENSG00000166278	0.914819278214385
ENSG00000182326	ENSG00000243649	0.913343879437486
ENSG00000079931	ENSG00000069535	0.912480143216617
ENSG00000079931	ENSG00000204287	0.911282810564989
ENSG00000125730	ENSG00000149131	0.909821417774581
ENSG00000149131	ENSG00000180638	0.909741265163444
ENSG00000125730	ENSG00000140092	0.909635048247875
ENSG00000100055	ENSG00000166278	0.909355361895672
ENSG00000243649	ENSG00000069535	0.906881091811261
ENSG00000181804	ENSG00000132274	0.906715908988881
ENSG00000182326	ENSG00000159403	0.904889744855117
ENSG00000125730	ENSG00000110092	0.902311637469625
ENSG00000153029	ENSG00000010704	0.901800489693586
ENSG00000204264	ENSG00000240065	0.901792318960822
ENSG00000153029	ENSG00000204287	0.901525916259232
ENSG00000166710	ENSG00000204287	0.90100584044046
ENSG00000164761	ENSG00000069535	0.900314050903747
ENSG00000125730	ENSG00000204252	0.900222149271924
ENSG00000010704	ENSG00000069535	0.899389677597322
ENSG00000153029	ENSG00000164761	0.899079130719929
ENSG00000243649	ENSG00000153029	0.899030337121722
ENSG00000159403	ENSG00000140092	0.898861751184389
ENSG00000149131	ENSG00000166278	0.898556966963549
ENSG00000163453	ENSG00000069535	0.89847408998128
ENSG00000242574	ENSG00000204257	0.898230654434278
ENSG00000164761	ENSG00000181804	0.89783509320873
ENSG00000079931	ENSG00000205542	0.896918787133334
ENSG00000204287	ENSG00000164106	0.896858521345095
ENSG00000182326	ENSG00000079931	0.896482452052178
ENSG00000243649	ENSG00000159403	0.896288980530858
ENSG00000153029	ENSG00000132274	0.896030294672315
ENSG00000149131	ENSG00000140092	0.895993438536426
ENSG00000159403	ENSG00000139178	0.895747226386277
ENSG00000153029	ENSG00000163453	0.895464717348758
ENSG00000149131	ENSG00000204252	0.894187145053873
ENSG00000149131	ENSG00000181804	0.891886983768846
ENSG00000204287	ENSG00000149131	0.891476243444243
ENSG00000079931	ENSG00000166710	0.891264471010781
ENSG00000243649	ENSG00000181804	0.891153340855815
ENSG00000111801	ENSG00000181804	0.890903668202314
ENSG00000204287	ENSG00000205542	0.89054127949298
ENSG00000198734	ENSG00000188488	0.890032592937066
ENSG00000149131	ENSG00000164761	0.889593294218324
ENSG00000182326	ENSG00000112936	0.889172419576044
ENSG00000149131	ENSG00000204482	0.88913541365057
ENSG00000159403	ENSG00000128262	0.888979993323407
ENSG00000010704	ENSG00000181804	0.887982149184408
ENSG00000166278	ENSG00000128262	0.886913278091331
ENSG00000111801	ENSG00000069535	0.886892998305769
ENSG00000243649	ENSG00000166278	0.886339750874156
ENSG00000149131	ENSG00000010704	0.88632688883712
ENSG00000182326	ENSG00000166710	0.885150213749137
ENSG00000204264	ENSG00000234745	0.884849425586544
ENSG00000182326	ENSG00000163453	0.884611265026127
ENSG00000100055	ENSG00000128262	0.884327217933997
ENSG00000181804	ENSG00000164106	0.884258919078643
ENSG00000231389	ENSG00000164106	0.883987937167489
ENSG00000010704	ENSG00000163453	0.883430511711922
ENSG00000079931	ENSG00000181804	0.883419480976505
ENSG00000140092	ENSG00000128262	0.882926697276936
ENSG00000182326	ENSG00000164761	0.88237496230505
ENSG00000132274	ENSG00000069535	0.882229474710924
ENSG00000243649	ENSG00000164761	0.881679195513794
ENSG00000204287	ENSG00000026297	0.881597385566232
ENSG00000164106	ENSG00000069535	0.881436309230154
ENSG00000159403	ENSG00000166278	0.880806760637656
ENSG00000198734	ENSG00000166741	0.880246018977031
ENSG00000182326	ENSG00000164106	0.879337093699574
ENSG00000140092	ENSG00000110092	0.877880547841691
ENSG00000111801	ENSG00000231389	0.877225773564339
ENSG00000164761	ENSG00000249306	0.876685198500128
ENSG00000079931	ENSG00000243649	0.875394522771329
ENSG00000129009	ENSG00000146122	0.875342133503096
ENSG00000140092	ENSG00000166278	0.875050619438004
ENSG00000149131	ENSG00000101160	0.874032147972596
ENSG00000164761	ENSG00000140092	0.874000580864069
ENSG00000149131	ENSG00000163453	0.873519400991666
ENSG00000153029	ENSG00000164106	0.873099117800072
ENSG00000166278	ENSG00000110092	0.872658078636108
ENSG00000204287	ENSG00000010704	0.872368021118975
ENSG00000111801	ENSG00000205542	0.872356312834887
ENSG00000204287	ENSG00000249306	0.872163052128007
ENSG00000231389	ENSG00000026297	0.871973730046165
ENSG00000153029	ENSG00000180638	0.871962185718232
ENSG00000159403	ENSG00000171631	0.87127363243438
ENSG00000182326	ENSG00000113578	0.869559702481474
ENSG00000249306	ENSG00000069535	0.869322072403916
