"","row","col","weight"
"97","ENSG00000182326","ENSG00000112936",0.856873347465307
"98","ENSG00000204287","ENSG00000143226",0.856830707125934
"99","ENSG00000111348","ENSG00000204472",0.856780052030493
"100","ENSG00000079931","ENSG00000169432",0.856474114366581
"101","ENSG00000019582","ENSG00000100055",0.856023537261702
"102","ENSG00000206503","ENSG00000204642",0.855873835204183
"103","ENSG00000069535","ENSG00000129675",0.855767801951241
"104","ENSG00000204287","ENSG00000082074",0.855719392618905
"105","ENSG00000125730","ENSG00000144810",0.855656935915938
"106","ENSG00000069535","ENSG00000106066",0.855517950412231
"107","ENSG00000181804","ENSG00000151322",0.854624698913479
"108","ENSG00000159403","ENSG00000144810",0.854462076011404
"109","ENSG00000171860","ENSG00000162511",0.854447280329554
"110","ENSG00000073331","ENSG00000135046",0.854227667600313
"111","ENSG00000182326","ENSG00000106066",0.854194853142579
"112","ENSG00000151322","ENSG00000079215",0.854171438568433
"113","ENSG00000110077","ENSG00000162511",0.853663076628325
"114","ENSG00000019582","ENSG00000137841",0.853128566149204
"115","ENSG00000204472","ENSG00000150337",0.853081009790794
"116","ENSG00000149131","ENSG00000140092",0.852930581999154
"117","ENSG00000082074","ENSG00000110077",0.852397789695617
"118","ENSG00000180353","ENSG00000155659",0.852257710050337
"119","ENSG00000082074","ENSG00000203747",0.852138492174033
"120","ENSG00000203747","ENSG00000120708",0.85201008047564
"121","ENSG00000171860","ENSG00000150337",0.851960142061721
"122","ENSG00000181804","ENSG00000188404",0.851859480136056
"123","ENSG00000138964","ENSG00000137841",0.851653779902957
"124","ENSG00000275395","ENSG00000137841",0.851649448916178
"125","ENSG00000135046","ENSG00000197712",0.851197640404162
"126","ENSG00000019582","ENSG00000179583",0.851033097654629
"127","ENSG00000147065","ENSG00000197712",0.850930346724525
"128","ENSG00000165168","ENSG00000204472",0.850794052216121
"129","ENSG00000125730","ENSG00000143768",0.850640033505788
"130","ENSG00000125730","ENSG00000041982",0.850314287244359
"131","ENSG00000179583","ENSG00000137841",0.850214342301155
"132","ENSG00000204287","ENSG00000114013",0.849940321831763
"133","ENSG00000166278","ENSG00000143768",0.849872671300596
"134","ENSG00000164106","ENSG00000135046",0.849672235561716
"135","ENSG00000108846","ENSG00000273259",0.849610274748539
"136","ENSG00000082074","ENSG00000134516",0.849571469532882
"137","ENSG00000129009","ENSG00000041982",0.849389472163589
"138","ENSG00000049323","ENSG00000169432",0.848925239912401
"139","ENSG00000159403","ENSG00000128262",0.848794460633705
"140","ENSG00000254087","ENSG00000079215",0.848646927136691
"141","ENSG00000182326","ENSG00000166710",0.848441389953028
"142","ENSG00000125730","ENSG00000167244",0.848341285967108
"143","ENSG00000131095","ENSG00000273259",0.848249513793251
"144","ENSG00000204264","ENSG00000234745",0.847103541028196
"145","ENSG00000101160","ENSG00000019582",0.846315978774578
"146","ENSG00000019582","ENSG00000275395",0.846151300983933
"147","ENSG00000069535","ENSG00000150687",0.846007936641475
"148","ENSG00000137841","ENSG00000110876",0.845979943648748
"149","ENSG00000182326","ENSG00000163453",0.845708692338324
"150","ENSG00000019582","ENSG00000204252",0.845512443767692
"151","ENSG00000159403","ENSG00000171631",0.845229819606911
"152","ENSG00000069535","ENSG00000158270",0.844827897705091
"153","ENSG00000159403","ENSG00000041982",0.84471504769409
"154","ENSG00000204287","ENSG00000110934",0.844711452853977
"155","ENSG00000166278","ENSG00000128262",0.844421839335762
"156","ENSG00000125730","ENSG00000137841",0.844416884830201
"157","ENSG00000082074","ENSG00000174130",0.843893804717937
